Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
SCF MELAMPUS,9654878,636016376,Liberia,300,46,113876,93508,SODEGAURA / JPCHB,SODEGAURA / JPCHB,2021-03-30-06:00,10.9,23.96008 S/152.06384 E,97.0°,17.9 kn,-,2021-03-28,2021-03-22-05:08
VELIKIY NOVGOROD,9630004,636016219,Liberia,300,46,113876,93486,INDIAN OC. FOR ORDER,INDIAN OC. FOR ORDER,2021-04-13-21:01,11.5,33.80217 S/17.88227 E,274.2°,16.1 kn,-,2021-03-28,2021-03-01-12:55
GLOBAL ENERGY,9845013,538008899,Marshall Islands,295,46,113822,96000,TBC,TBC,2021-03-31-00:01,11.5,36.14677 N/13.44266 W,92.1°,17.8 kn,Under way,2021-03-28,2021-03-28-10:53
GLOBAL STAR,9859741,538009028,Marshall Islands,295,46,113822,95000,"GLADSTONE,AU","GLADSTONE,AU",2021-04-05-22:00,9.5,29.43798 N/123.12228 E,118.5°,15.8 kn,-,2021-03-28,2021-03-24-11:39
MINERVA PSARA,9854363,215865000,Malta,295,46,113817,93500,FOR ORDERS,FOR ORDERS,2021-04-07-12:00,11.4,26.13871 N/90.18555 W,126.9°,17.7 kn,-,2021-03-28,2021-03-26-15:43
MARAN GAS ANDROS,9810379,241670000,Greece,295,46,113793,96000,FOR ORDERS,FOR ORDERS,2021-04-27-21:00,11.2,26.03458 N/79.44922 W,41.3°,17.7 kn,-,2021-03-28,2021-03-21-19:29
MARAN GAS SPETSES,9767950,241579000,Greece,295,46,113763,94945,SINGAPORE,Singapore,2021-04-01-14:00,11.4,20.76203 S/115.67933 E,53.8°,14.6 kn,-,2021-03-28,2021-03-28-01:23
MARAN GAS CHIOS,9753014,241636000,Greece,295,46,113763,94945,FOR ORDERS,FOR ORDERS,2021-04-06-10:00,9.9,50.35273 N/10.87939 W,252.1°,16.2 kn,-,2021-03-28,2021-03-24-20:06
WOODSIDE CHANEY,9753026,241637000,Greece,295,46,113763,95000,FOR ORDERS,FOR ORDERS,2021-03-31-21:00,11.4,18.32488 S/117.9826 E,30.6°,19.8 kn,-,2021-03-28,2021-03-23-08:01
MARIA ENERGY,9659725,636017445,Liberia,290,46,113664,93301,SETUBAL,Setubal,2021-04-01-00:00,9.0,37.9904 N/10.99359 W,20.7°,7.5 kn,Under way,2021-03-28,2021-03-28-15:30
MARAN GAS ACHILLES,9682588,241365000,Greece,290,46,113502,92713,FOR ORDERS,FOR ORDERS,2021-04-07-00:30,11.7,34.50499 S/25.9308 E,75.3°,13.7 kn,-,2021-03-28,2021-03-27-16:22
MARAN GAS LETO,9682576,241355000,Greece,290,46,113502,81739,SINGAPORE,Singapore,2021-03-23-08:00,6.0,1.29953 N/103.65228 E,280.8°,0.0 kn,Moored,2021-03-28,2021-03-28-15:31
MARAN GAS ULYSSES,9709491,241404000,Greece,290,46,113502,92621,FOR ORDERS,FOR ORDERS,2021-03-28-09:30,9.6,10.19202 N/61.69821 W,148.7°,0.6 kn,Under way,2021-03-28,2021-03-28-10:22
MARAN GAS PERICLES,9709489,241424000,Greece,290,46,113502,92776,FOR ORDERS,FOR ORDERS,2021-04-05-23:01,11.1,22.35253 S/153.00823 E,15.0°,18.4 kn,-,2021-03-28,2021-03-26-19:08
MARAN GAS AGAMEMNON,9682590,241405000,Greece,290,46,113502,92762,AUSTRALIA,AUSTRALIA,2021-04-03-01:00,9.0,34.38924 N/137.09822 E,167.3°,14.8 kn,-,2021-03-28,2021-03-17-04:38
FLEX COURAGEOUS,9825439,538008206,Marshall Islands,295,46,113428,95618,FOR ORDERS,FOR ORDERS,2021-03-01-12:00,9.9,9.38888 N/79.96214 W,308.9°,0.0 kn,At anchor,2021-03-28,2021-03-28-15:29
CESI LIANYUNGANG,9672818,477151600,Hong Kong,290,46,113397,95713,GLADSTONE AUS,Gladstone,2021-03-29-01:30,9.3,36.22017 N/124.15216 E,175.6°,19.1 kn,-,2021-03-28,2021-03-18-09:23
CESI GLADSTONE,9672820,477348600,Hong Kong,290,46,113397,95638,"GLD,AUS","GLD,AUS",2021-04-03-17:30,9.2,22.44081 N/116.63343 E,115.7°,15.8 kn,-,2021-03-28,2021-03-22-09:43
CESI QINGDAO,9672832,477584200,Hong Kong,290,46,113397,95641,GLADSTONE.AUS,Gladstone,2021-03-31-14:00,9.4,38.35168 N/121.95494 E,99.7°,18.3 kn,-,2021-03-28,2021-03-20-15:30
CESI WENZHOU,9694751,477121700,Hong Kong,290,46,113397,95530,BHY CN,BHY CN,2021-03-30-22:00,11.4,23.28355 S/151.59788 E,16.5°,18.2 kn,-,2021-03-28,2021-03-20-03:25
CESI BEIHAI,9672844,477884800,Hong Kong,290,46,113397,95599,AU GLT,Gladstone,2021-04-07-00:01,9.3,22.15714 N/115.05296 E,112.2°,16.7 kn,-,2021-03-28,2021-03-26-12:12
BAHRAIN SPIRIT,9771080,408919000,Bahrain,295,46,113274,95289,FAR EAST FOR ORDERS,FAR EAST FOR ORDERS,2021-03-31-14:00,11.7,8.35744 N/79.45741 W,179.8°,17.5 kn,-,2021-03-28,2021-03-09-02:03
OAK SPIRIT,9681699,311000247,Bahamas,295,46,113263,95452,FOR ORDERS,FOR ORDERS,2021-04-15-18:30,10.9,24.00421 N/87.1154 W,126.0°,17.1 kn,-,2021-03-28,2021-03-17-00:52
MEGARA,9770945,311000478,Bahamas,295,46,113263,95212,-,-,-,9.7,24.53446 N/57.88216 E,123.1°,19.3 kn,-,2021-03-28,2021-03-04-08:22
MAGDALA,9770921,311000476,Bahamas,295,46,113263,95449,FOR ORDERS,FOR ORDERS,2021-04-06-22:00,11.1,26.6598 N/79.60317 W,5.7°,17.0 kn,-,2021-03-28,2021-03-24-13:28
TORBEN SPIRIT,9721401,311000520,Bahamas,295,46,113263,95253,QARLF,RasLaffan,2021-03-28-22:00,9.4,26.14541 N/53.01799 E,275.1°,16.1 kn,Under way,2021-03-28,2021-03-28-13:23
MUREX,9705641,311000475,Bahamas,295,46,113263,95235,AU GLT,Gladstone,2021-03-28-13:00,9.6,23.86802 S/151.63341 E,315.0°,0.0 kn,At anchor,2021-03-28,2021-03-28-15:30
MACOMA,9705653,311000472,Bahamas,295,46,113263,95253,FOR ORDERS,FOR ORDERS,2021-04-16-05:00,9.3,6.40836 S/105.14765 E,249.0°,14.3 kn,-,2021-03-28,2021-03-23-10:54
MYRINA,9770933,311000477,Bahamas,295,46,113263,95378,-,-,-,11.5,34.81259 N/129.18917 E,232.2°,15.3 kn,-,2021-03-28,2021-03-08-16:59
FLEX ENDEAVOUR,9762261,215386000,Malta,295,46,113049,95803,FANGCHENG CHINA,Fangcheng,2021-04-01-00:00,18.5,33.88722 N/134.89872 E,176.1°,14.2 kn,-,2021-03-28,2021-03-07-09:47
MARAN GAS VERGINA,9732369,241467000,Greece,295,46,113037,95194,PACIFIC OCEAN,PACIFIC OCEAN,2021-04-01-00:01,11.1,23.95621 S/152.25054 E,97.2°,18.0 kn,-,2021-03-28,2021-03-22-04:48
MARAN GAS ROXANA,9701229,241415000,Greece,295,46,113037,95194,FOR ORDERS,FOR ORDERS,2021-04-06-06:00,9.4,16.87296 N/68.45341 E,215.6°,15.1 kn,-,2021-03-28,2021-03-19-10:46
MARAN GAS AMPHIPOLIS,9701217,241414000,Greece,295,46,113037,95194,FAR EAST,FAR EAST,2021-04-09-06:00,11.5,32.68429 S/71.63541 W,330.6°,11.2 kn,-,2021-03-28,2021-03-08-13:18
TESSALA,9761243,605076060,Algeria,291,46,112867,94575,DZBTA,Arzew,2021-03-21-06:00,9.3,35.81564 N/0.2531 W,178.0°,0.0 kn,-,2021-03-28,2021-03-28-01:00
OUGARTA,9761267,605076070,Algeria,291,46,112867,94575,ESFRO,Ferrol,2021-03-22-08:25,9.0,43.47594 N/8.22936 W,65.2°,0.0 kn,-,2021-03-28,2021-03-22-11:37
PRACHI,9723801,563178000,Singapore,295,46,112791,90328, AU BWB >JIANGS CH,UBWB>JIANGSCH,2021-04-03-00:01,11.8,18.94075 S/115.8319 E,359.9°,17.9 kn,-,2021-03-28,2021-03-25-06:41
GASLOG GIBRALTAR,9707510,310757000,Bermuda,291,46,112764,87981,FRDKK>USS,FRDKK>USS,2021-03-12-01:00,9.3,50.75182 N/0.95701 E,234.0°,14.6 kn,Under way,2021-03-28,2021-03-28-15:30
GASLOG GENEVA,9707508,310755000,Bermuda,291,46,112764,87760,CAPE TOWN,CapeTown,2021-04-02-21:00,11.6,33.48341 S/17.79465 E,315.8°,11.9 kn,-,2021-03-28,2021-03-18-11:59
