Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,"Milford Haven, United Kingdom (UK)","Apr 22, 19:11 UTC",EG PSD>?? ???,,"May 1, 13:00
",9.5,,71.0°,15.6 kn,Under way,2021-04-27,2021-04-27-04:18
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,"Malta Anch., Malta","Apr 24, 22:04 UTC",MLF UK,,"May 1, 00:00
",12.0,,266.7°,15.2 kn,Under way,2021-04-27,2021-04-27-15:12
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"Singapore Anch. 1, Singapore","Apr 13, 06:20 UTC","Ras Laffan Anch., Qatar",,"Apr 21, 10:22 UTCARRIVED
",9.0,,146.6°,0.0 kn,At anchor,2021-04-27,2021-04-27-15:12
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,"Ras Laffan, Qatar","Apr 24, 09:09 UTC","As Suways / Suez Port, Egypt",,"May 2, 20:00
",12.2,,128.1°,17.0 kn,-,2021-04-27,2021-04-25-09:38
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,"Ras Laffan, Qatar","Apr 27, 05:31 UTC","INCHEON, S KOREA",,"Apr 27, 21:21
",12.2,,98.2°,18.4 kn,Under way,2021-04-27,2021-04-27-09:54
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,"As Suways (Suez) Anch., Egypt","Apr 25, 04:29 UTC","MILFORD HAVEN, UK",,"May 4, 00:00
",12.1,,280.6°,15.0 kn,Under way,2021-04-27,2021-04-27-10:54
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,"Ras Laffan Anch., Qatar","Apr 17, 12:26 UTC","Dalian, China",,"May 3, 23:23
",12.1,,48.0°,15.7 kn,-,2021-04-27,2021-04-26-13:59
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,"Milford Haven, United Kingdom (UK)","Apr 25, 07:23 UTC",GBGIB,,"Apr 28, 04:00
",9.4,,106.0°,18.7 kn,Under way,2021-04-27,2021-04-27-15:12
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,"Singapore Anch. 1, Singapore","Apr 24, 16:10 UTC","Doha, Qatar",,"May 3, 14:14
",9.5,,315.0°,18.5 kn,-,2021-04-27,2021-04-25-07:14
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,"Pyeongtaek, Korea","Apr 24, 22:48 UTC","Singapore, Singapore",,"May 2, 03:00
",9.5,,55.0°,16.1 kn,-,2021-04-27,2021-04-16-11:53
