Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,"Port Said Anch., Egypt",2021-05-02-03:25,"Ras Laffan Anch., Qatar",,2021-05-10-07:23,9.4,,338.5°,0.1 kn,At anchor,2021-05-14,2021-05-14-07:10
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,"Port Said Anch., Egypt",2021-05-11-01:02,P.GULF,,2021-05-19-06:06,9.1,,141.3°,16.1 kn,Under way,2021-05-14,2021-05-13-22:15
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"Ras Laffan, Qatar",2021-05-11-13:04,"As Suways / Suez Port, Egypt",,2021-05-19-16:00,12.0,,206.1°,16.0 kn,-,2021-05-14,2021-05-13-13:30
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,"Milford Haven, United Kingdom (UK)",2021-05-13-19:01,UK,,2021-05-13-22:00,12.2,,180.7°,0.0 kn,Moored,2021-05-14,2021-05-14-07:21
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,"Incheon, Korea",2021-05-12-23:38,"Ras Laffan, Qatar",,2021-05-30-10:00,9.5,,355.7°,0.2 kn,-,2021-05-14,2021-05-13-00:26
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,"Algeciras Anch., Spain",2021-05-09-23:20,"Port Said, Egypt",,2021-05-15-12:12,9.2,,109.2°,15.5 kn,Under way,2021-05-14,2021-05-14-07:22
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,"Singapore Anch. 1, Singapore",2021-05-13-18:39,"Doha, Qatar",,2021-05-22-07:00,9.5,,315.0°,15.9 kn,-,2021-05-14,2021-05-14-07:11
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,"Port Said Anch., Egypt",2021-05-05-02:44,"Ras Laffan Anch., Qatar",,2021-05-13-11:19,9.4,,216.4°,0.0 kn,At anchor,2021-05-14,2021-05-14-07:19
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,"Ras Laffan, Qatar",2021-05-05-16:08,BELGIUM,,2021-05-25-05:05,11.7,,342.0°,15.1 kn,-,2021-05-14,2021-05-14-07:17
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,"Ras Laffan, Qatar",2021-05-14-01:07,"Jeddah, Saudi Arabia",,2021-05-22-18:02,12.2,,97.3°,15.2 kn,Under way,2021-05-14,2021-05-14-05:44
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,"Singapore Anch. 1, Singapore",2021-05-12-00:48,"Doha, Qatar",,2021-05-21-17:00,9.6,,316.0°,17.1 kn,-,2021-05-14,2021-05-12-16:52
RASHEEDA,9443413,538003362,Marshall Islands,345,54,163922,130208,"Ras Laffan, Qatar",2021-05-03-11:22,FAR EAST,,2021-05-22-03:03,12.2,,56.0°,11.3 kn,-,2021-05-14,2021-05-13-22:33
MEKAINES,9397303,538003365,Marshall Islands,345,54,163922,130171,"Milford Haven, United Kingdom (UK)",2021-05-11-03:02,"Port Said, Egypt",,2021-05-19-18:08,9.4,,87.7°,16.5 kn,Under way,2021-05-14,2021-05-14-07:23
NOHSHU MARU,9796781,311000579,Bahamas,298,49,149367,97902,"Pena Blanca Anch., Panama",2021-04-28-16:00,"Tokyo, Japan",,2021-05-20-21:00,11.7,,180.4°,17.2 kn,-,2021-05-14,2021-04-29-00:33
BUSHU MARU,9796793,311000846,Bahamas,298,49,149367,97955,"Yangkou, China",2021-04-26-22:29,"Balboa, Panama",,2021-05-24-15:30,9.7,,98.6°,10.9 kn,-,2021-05-14,2021-04-27-01:42
PACIFIC BREEZE,9698123,538007670,Marshall Islands,300,52,144978,92830,"Darwin, Australia",2021-05-07-16:28,"Yung An, Taiwan",,2021-05-15-23:30,11.9,,320.0°,9.1 kn,-,2021-05-14,2021-05-07-17:46
DIAMOND GAS SAKURA,9810020,311000771,Bahamas,294,49,144828,87494,"Lake Charles, United States (USA)",2021-05-09-12:10,US_LCH>GB_IOG,,2021-05-21-05:00,11.5,,10.8°,22.2 kn,-,2021-05-14,2021-05-11-19:45
DIAMOND GAS ROSE,9779238,311000770,Bahamas,294,49,144828,94145,"Pena Blanca Anch., Panama",2021-05-04-15:42,FUTTSU JP,,2021-05-26-21:00,10.4,,176.7°,15.1 kn,-,2021-05-14,2021-05-05-01:02
GRACE DAHLIA,9540716,432935000,Japan,300,52,141671,86512,"Singapore Anch. 1, Singapore",2021-05-07-11:59,"Ras Laffan, Qatar",,2021-05-27-21:01,10.1,,319.0°,17.0 kn,-,2021-05-14,2021-05-08-03:47
ENERGY HORIZON,9483877,432807000,Japan,300,52,141136,87257,"Withnell Bay, Australia",2021-05-07-06:56,"Hitachi, Japan",,2021-05-16-00:01,11.5,,31.7°,16.1 kn,-,2021-05-14,2021-05-07-09:41
MARVEL HERON,9770440,374022000,Panama,298,49,139050,92659,"Sakai, Japan",2021-04-25-06:56,FOR ORDERS,,2021-06-06-11:00,9.8,,233.7°,16.8 kn,-,2021-05-14,2021-05-11-02:33
