Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
MIN LU,9305128,477264500,Hong Kong,292,43,97871,82598,"Xiuyu, China",2021-05-01-02:49,TANGGUG INDONESIA,,2021-05-06-22:00,9.5,,191.5°,16.9 kn,-,2021-05-05,2021-05-01-23:24
BRITISH ACHIEVER,9766542,232006300,Isle of Man,295,46,115366,94303,"Freeport, United States (USA)",2021-04-03-13:20,JP SAK XX,,2021-05-12-21:00,11.4,,67.2°,17.4 kn,-,2021-05-05,2021-05-04-20:27
FLEX ARTEMIS,9851634,538008816,Marshall Islands,295,46,114380,95500,"Freeport, United States (USA)",2021-05-03-00:41,FOR ORDERS,,2021-05-01-14:00,11.9,,38.6°,19.6 kn,Under way,2021-05-05,2021-05-05-08:24
HAI YANG SHI YOU 301,9696266,413481620,China,185,28,25309,16405,"Yangpu, China",2021-05-04-07:47,"Fangcheng, China",,2021-05-05-01:22,7.7,,169.4°,0.0 kn,Moored,2021-05-05,2021-05-05-08:35
WOODSIDE REES WITHERS,9810367,241669000,Greece,295,46,113822,94732,"Wheatstone LNG Term., Australia",2021-04-30-00:02,"Singapore Anch. 1, Singapore",,2021-05-04-20:22,11.6,,171.0°,0.0 kn,At anchor,2021-05-05,2021-05-05-09:00
FLEX CONSTELLATION,9825427,538008205,Marshall Islands,295,46,113428,95453,"Barrow Island, Australia",2021-04-27-04:09,FOR ORDERS,,2021-05-05-01:30,11.3,,56.6°,0.0 kn,-,2021-05-05,2021-04-26-21:25
TRIPUTRA,9187356,525020429,Indonesia,151,28,20017,12493,"Bontang, Indonesia",2021-05-04-12:07,Destination not available,,-,6.0,,51.4°,12.9 kn,-,2021-05-05,2021-02-20-12:49
QOGIR,9851787,215524000,Malta,293,46,115345,88000,"Montoir, France",2021-04-24-14:40,USA,,2021-05-06-11:00,9.8,,183.6°,16.6 kn,-,2021-05-05,2021-05-04-04:26
ARKAT,9496305,508111131,Brunei,284,43,98490,72800,"Anegasaki, Japan",2021-04-25-04:49,BN LMT,,2021-05-03-23:30,9.3,,163.4°,18.4 kn,-,2021-05-05,2021-04-25-09:21
K. JASMINE,9373008,352906000,Panama,285,43,97529,84935,"Okpo Anch., Korea",2021-04-29-01:56,"Prigorodnoye, Russia",,2021-05-03-21:15,8.8,,219.0°,17.7 kn,-,2021-05-05,2021-04-28-04:03
COOL RACER,9869265,215553000,Malta,-,-,116354,92800,"Lake Charles, United States (USA)",2021-04-16-19:47,INDIAN OCEAN,,2021-05-19-00:30,10.6,,101.8°,16.2 kn,-,2021-05-05,2021-04-21-16:24
PUTERI NILAM,9030826,533035000,Malaysia,274,43,86211,73519,"Nagoya, Japan",2021-04-27-02:14,BTU MY,,2021-05-12-01:00,9.3,,173.3°,14.7 kn,-,2021-05-05,2021-04-27-05:56
AL BIDDA,9132741,431207000,Japan,298,46,111124,72462,"Ras Laffan, Qatar",2021-04-24-06:26,"Yanai, Japan",,2021-05-11-21:40,11.1,,51.5°,14.3 kn,-,2021-05-05,2021-05-04-03:27
ASEEM,9377547,249780000,Malta,285,43,97874,86655,"Al Fujayrah Anch., United Arab Emirates (UAE)",2021-05-05-03:10,"Ras Laffan, Qatar",,2021-05-07-21:00,9.0,,291.0°,0.2 kn,At anchor,2021-05-05,2021-05-05-08:55
LNG MEGREZ,9834325,477345600,Hong Kong,295,45,114790,97000,"Anjeong, Korea",2021-04-30-02:41,"As Suways / Suez Port, Egypt",,2021-05-17-13:00,9.4,,219.8°,20.7 kn,-,2021-05-05,2021-05-01-16:31
PUTERI ZAMRUD,9030838,533130000,Malaysia,274,43,86205,73519,"Bintulu, Sarawak, Malaysia",2021-05-03-04:39,"Yangshan Port, China",,2021-05-09-00:00,11.3,,236.6°,15.0 kn,-,2021-05-05,2021-04-22-12:53
LNG EBISU,9329291,311004400,Bahamas,290,49,118910,81032,"Singapore Anch. 1, Singapore",2021-04-12-00:01,"Dampier, Australia",,2021-04-24-21:00,9.8,,326.0°,0.6 kn,-,2021-05-05,2021-04-18-23:08
MARAN GAS PSARA,9844863,241692000,Greece,295,46,113822,96000,"Wheatstone LNG Term., Australia",2021-04-25-01:12,FOR ORDERS,,2021-05-07-00:01,11.4,,37.7°,17.1 kn,-,2021-05-05,2021-04-25-20:56
MARAN GAS HECTOR,9682605,241425000,Greece,290,46,113502,92640,"Panama Canal Anch. Atlantic, Panama",2021-04-29-08:27,"Zhuhai, China",,2021-05-22-22:00,11.5,,124.2°,0.1 kn,-,2021-05-05,2021-04-30-03:51
CESI TIANJIN,9694749,477010900,Hong Kong,290,46,113397,95628,"Tianjin Xingang, China",2021-05-01-01:41,"Gladstone, Australia",,2021-05-11-22:00,9.3,,172.4°,19.8 kn,-,2021-05-05,2021-05-02-06:53
ENERGY INTEGRITY,9859739,538008877,Marshall Islands,-,-,114000,95000,"Okpo, Korea",2021-04-22-22:20,GAS TRIAL(DSME 2485),,2021-04-23-12:00,9.4,,218.5°,1.5 kn,-,2021-05-05,2021-04-22-11:22
HELLAS DIANA,9872987,215685000,Malta,-,-,116284,83000,"Singapore Anch. 1, Singapore",2021-04-11-18:39,FOR ORDERS,,2021-05-16-11:00,9.5,,313.7°,17.0 kn,-,2021-05-05,2021-04-25-19:30
DAPENG MOON,9308481,477058900,Hong Kong,292,43,97871,82645,"Withnell Bay, Australia",2021-04-30-13:12,CN SZ,,2021-05-09-02:00,11.5,,355.1°,19.0 kn,-,2021-05-05,2021-05-01-01:24
TANGGUH FOJA,9349007,370168000,Panama,285,43,97897,82338,"Tangguh Anch., Indonesia",2021-05-04-23:59,ID NTI,,2021-05-06-10:00,9.1,,94.2°,16.4 kn,-,2021-05-05,2021-03-05-06:59
