Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,"Port Said Anch., Egypt",2021-05-01-10:18,EG PSD>?? ???,,2021-05-01-13:13,9.5,,72.2°,0.0 kn,At anchor,2021-05-01,2021-05-01-12:57
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,"Milford Haven, United Kingdom (UK)",2021-04-30-23:56,MLF UK,,2021-05-01-00:00,12.0,,168.3°,0.0 kn,Moored,2021-05-01,2021-05-01-12:56
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"Singapore Anch. 1, Singapore",2021-04-13-06:20,"Ras Laffan Anch., Qatar",,2021-04-21-10:22,9.0,,17.3°,0.1 kn,At anchor,2021-05-01,2021-05-01-13:00
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,"Ras Laffan, Qatar",2021-04-24-09:09,"As Suways / Suez Port, Egypt",,2021-05-02-20:00,12.2,,327.3°,16.3 kn,Under way,2021-05-01,2021-05-01-01:34
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,"Ras Laffan, Qatar",2021-04-27-05:31,"INCHEON, S KOREA",,2021-04-27-21:21,12.2,,138.0°,18.5 kn,-,2021-05-01,2021-04-30-03:08
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,"As Suways (Suez) Anch., Egypt",2021-04-25-04:29,"MILFORD HAVEN, UK",,2021-05-04-00:00,12.1,,283.7°,15.4 kn,Under way,2021-05-01,2021-05-01-11:41
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,"Ras Laffan Anch., Qatar",2021-04-17-12:26,"Dalian, China",,2021-05-03-23:23,12.1,,54.6°,14.8 kn,Under way,2021-05-01,2021-05-01-12:00
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,"Malta Bunkering Area 3, Malta",2021-04-30-22:53,MALTA A3 EAST ANCH,,2021-04-30-23:23,9.4,,204.9°,0.0 kn,At anchor,2021-05-01,2021-05-01-12:59
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,"Singapore Anch. 1, Singapore",2021-04-24-16:10,"Ras Laffan, Qatar",,2021-05-03-14:14,9.4,,315.0°,18.5 kn,-,2021-05-01,2021-04-25-07:14
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,"Pyeongtaek, Korea",2021-04-24-22:48,"Singapore, Singapore",,2021-05-02-03:00,9.5,,55.0°,16.1 kn,-,2021-05-01,2021-04-16-11:53
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,"Ras Laffan Anch., Qatar",2021-04-15-10:58,"Incheon, Korea",,2021-05-03-22:30,12.0,,359.9°,16.6 kn,-,2021-05-01,2021-04-30-17:33
RASHEEDA,9443413,538003362,Marshall Islands,345,54,163922,130208,"Ras Laffan Anch., Qatar",2021-04-29-16:37,GULF,,2021-04-30-18:18,9.5,,325.3°,0.1 kn,At anchor,2021-05-01,2021-05-01-13:00
MEKAINES,9397303,538003365,Marshall Islands,345,54,163922,130171,"As Suways (Suez) Anch., Egypt",2021-04-29-04:16,MILFORD HAVEN UK,,2021-05-08-23:01,12.0,,283.9°,15.1 kn,Under way,2021-05-01,2021-05-01-05:19
NOHSHU MARU,9796781,311000579,Bahamas,298,49,149367,97902,"Pena Blanca Anch., Panama",2021-04-28-16:00,ASIA,,2021-05-20-21:00,11.7,,180.4°,17.2 kn,-,2021-05-01,2021-04-29-00:33
BUSHU MARU,9796793,311000846,Bahamas,298,49,149367,97955,"Yangkou, China",2021-04-26-22:29,"Balboa, Panama",,2021-05-25-00:01,9.7,,98.6°,10.9 kn,-,2021-05-01,2021-04-27-01:42
PACIFIC BREEZE,9698123,538007670,Marshall Islands,300,52,144978,92830,"Yung An, Taiwan",2021-04-30-23:34,"Darwin, Australia",,2021-05-06-08:30,10.0,,97.1°,20.6 kn,Under way,2021-05-01,2021-05-01-06:02
DIAMOND GAS SAKURA,9810020,311000771,Bahamas,294,49,144828,87494,"Nagoya, Japan",2021-04-09-01:18,"Balboa, Panama",,2021-05-01-17:00,9.5,,120.3°,15.8 kn,-,2021-05-01,2021-04-09-05:02
DIAMOND GAS ROSE,9779238,311000770,Bahamas,294,49,144828,94145,"Lake Charles, United States (USA)",2021-04-30-13:36,"Cristobal, Panama",,2021-05-04-05:01,10.4,,133.0°,18.3 kn,-,2021-05-01,2021-05-01-12:54
GRACE DAHLIA,9540716,432935000,Japan,300,52,141671,86512,"Singapore, Singapore",2021-04-02-04:51,PULAU KUKUP,,2021-04-29-04:00,15.1,,59.0°,0.0 kn,-,2021-05-01,2021-05-01-12:55
ENERGY HORIZON,9483877,432807000,Japan,300,52,141136,87257,"Yokohama, Japan",2021-04-24-03:27,"Dampier, Australia",,2021-05-02-21:00,9.7,,205.9°,16.7 kn,-,2021-05-01,2021-04-24-09:31
MARVEL HERON,9770440,374022000,Panama,298,49,139050,92659,"Sakai, Japan",2021-04-25-06:56,FOR ORDERS,,2021-06-06-11:00,9.6,,175.4°,15.2 kn,-,2021-05-01,2021-04-25-11:32
MARVEL CRANE,9770438,563073300,Singapore,298,49,139049,92799,"Lake Charles, United States (USA)",2021-04-30-23:16,"Cameron, United States (USA)",,2021-04-28-02:30,9.5,,138.9°,0.0 kn,Moored,2021-05-01,2021-05-01-12:45
AL RUWAIS,9337951,309904000,Bahamas,315,50,137535,121823,"Zeebrugge, Belgium",2021-05-01-04:13,SOUTH FALLS HEAD,,2021-05-01-10:00,9.4,,52.2°,0.1 kn,At anchor,2021-05-01,2021-05-01-13:00
AL SAFLIYA,9337963,308171000,Bahamas,315,50,137535,121963,"Ras Laffan Anch., Qatar",2021-04-11-06:08,RAS LAFFAN ANCHORAGE,,2021-04-11-13:00,9.5,,106.7°,0.0 kn,At anchor,2021-05-01,2021-05-01-13:00
