Atime,D_EU,D_NA,D_AS,A_EU,A_NA,A_AS,Eur_Spot_12,Eur_Spot_9,Eur_Spot_6,Eur_Spot_3,Eur_Spot_0,Eur_Spot_-3,Eur_Spot_-6,Eur_Spot_-9,Eur_Spot_-12,Eur_Spot_-15,Eur_Spot_-18,Eur_Spot_-21,US_Spot_12,US_Spot_9,US_Spot_6,US_Spot_3,US_Spot_0,US_Spot_-3,US_Spot_-6,US_Spot_-9,US_Spot_-12,US_Spot_-15,US_Spot_-18,US_Spot_-21,Eur_Fut_12,Eur_Fut_9,Eur_Fut_6,Eur_Fut_3,Eur_Fut_0,Eur_Fut_-3,Eur_Fut_-6,Eur_Fut_-9,Eur_Fut_-12,Eur_Fut_-15,Eur_Fut_-18,Eur_Fut_-21
2021-02-22,0,6,7,1,6,7,16.52625,16.43955,16.33595,16.39995,16.6197,17.18095,17.69385,18.07425,18.5168,18.57565,18.29305,18.4303,2.702,2.7755,3.192,4.0815,6.4945,6.3925,6.8285,5.44,4.235,4.466,3.587,3.1695,16.3861,16.2098,16.27735,16.1945,16.43305,16.78765,17.35285,18.0959,18.8692,19.5115,19.7253,19.8913
2021-02-23,0,1,8,0,0,10,16.3678571428571,16.3140714285714,16.1998571428571,16.4029285714286,16.7660714285714,17.6895714285714,17.6366428571429,18.1334285714286,18.7549285714286,19.0023571428571,18.3486428571429,18.2844285714286,2.72928571428571,2.845,3.76857142857143,4.78,5.67285714285714,5.37857142857143,7.24571428571429,6.37714285714286,4.15214285714286,3.23928571428571,3.01357142857143,2.79142857142857,16.2671428571429,15.9606428571429,16.1819285714286,16.1379285714286,16.5475,16.9662142857143,17.6798571428571,18.2304285714286,19.0135714285714,19.7821428571429,20.157,20.157
2021-02-24,2,6,7,2,5,8,16.220125,16.2500625,16.25175,16.6320625,16.9245,18.078125,18.140375,18.2558125,18.8404375,18.5428125,18.3393125,18.349,2.730625,2.88375,4.15,6.1,7.33875,5.633125,9.065,4.67125,3.995,3.114375,2.94375,2.765625,16.1206875,15.9700625,16.3093125,16.3099375,16.7124375,17.3835625,18.08525,18.7505,19.316375,20.0585,20.157,20.157
2021-02-25,0,2,4,0,2,5,16.2722222222222,16.1193333333333,16.4166666666667,16.3592222222222,16.726,17.5946666666667,18.0884444444444,18.2158888888889,18.3602222222222,19.1943333333333,18.5064444444444,18.3783333333333,2.69777777777778,2.80777777777778,3.36333333333333,6.94444444444444,5.68666666666667,5.36222222222222,7.73,6.35666666666667,4.48666666666667,3.06222222222222,3.08666666666667,2.82111111111111,15.9528888888889,16.1803333333333,16.0748888888889,16.2234444444444,16.588,16.9265555555556,18.2472222222222,18.3867777777778,18.9981111111111,19.8076666666667,20.157,20.157
2021-02-26,3,3,6,3,3,4,16.2142857142857,16.0674285714286,16.2502142857143,16.4883571428571,16.8440714285714,17.6625,18.4553571428571,18.9729285714286,18.3976428571429,18.7321428571429,18.4782142857143,18.3358571428571,2.74214285714286,2.75428571428571,3.18285714285714,6.14571428571429,9.03714285714286,7.20142857142857,5.65571428571429,5.12785714285714,3.91071428571429,3.07642857142857,2.94,2.75214285714286,15.9422142857143,16.0536428571429,16.1265,16.3155,16.7280714285714,16.8082142857143,18.0423571428571,18.9467857142857,19.6088571428571,19.8947142857143,20.157,20.157
2021-02-27,1,6,11,2,5,9,16.3304090909091,16.2726818181818,16.2686363636364,16.4417727272727,16.7114545454545,17.4520909090909,18.2435909090909,18.1162727272727,18.4710909090909,18.7685909090909,18.5644090909091,18.3290909090909,2.70318181818182,2.79454545454545,3.33136363636364,4.97772727272727,7.49272727272727,5.525,6.495,7.03636363636364,4.38090909090909,3.58045454545455,2.98681818181818,2.86909090909091,16.3557727272727,16.0200454545455,16.0899090909091,16.3411818181818,16.4780454545455,17.0573636363636,17.7430454545455,18.5924090909091,19.0265909090909,19.5992727272727,20.1093636363636,20.157
2021-02-28,0,2,5,1,2,6,16.4868181818182,16.222,16.1692727272727,16.3478181818182,16.5603636363636,17.2816363636364,17.4223636363636,18.2320909090909,18.7910909090909,18.7427272727273,18.6682727272727,18.4102727272727,2.73545454545455,2.80818181818182,3.46727272727273,4.38636363636364,4.35272727272727,7.36272727272727,9.17909090909091,7.42818181818182,5.08727272727273,3.74454545454545,3.14454545454545,2.94272727272727,16.3834545454545,16.0270909090909,16.1770909090909,16.0835454545455,16.5403636363636,16.9585454545455,17.4215454545455,17.8743636363636,18.6755454545455,19.5786363636364,20.0617272727273,20.157
2021-03-01,2,1,2,2,1,5,16.698375,16.16825,16.2095,16.39675,16.553125,16.965875,17.674625,18.65575,18.371125,18.51025,18.835125,18.486375,2.75,2.71125,2.81125,3.64375,5.59,6.715,5.98875,5.61375,5.73875,3.86,3.12375,2.95125,16.521875,16.106625,16.157375,16.043625,16.49125,16.525625,17.237,18.128875,18.758,19.3865,19.829,20.157
2021-03-02,1,5,10,4,5,7,16.92935,16.4783,16.32385,16.2676,16.45195,16.8958,17.48845,17.7616,17.9088,18.44635,18.8186,18.74205,2.682,2.7225,3.02,5.3395,5.859,5.706,4.934,7.0015,8.132,5.011,3.8555,3.0645,16.9494,16.45585,16.12455,16.20425,16.23895,16.5501,17.23835,17.932,18.35955,18.67595,19.383,20.0522
2021-03-03,1,3,14,0,3,15,16.7518,16.5154,16.34995,16.40065,16.64235,17.1952,17.5623,17.83645,18.32605,18.4649,18.4569,18.7991,2.693,2.8015,3.471,4.5675,4.8535,5.773,7.1595,5.737,6.0495,4.8275,3.6865,2.9635,16.6871,16.44515,16.1631,16.2492,16.40625,16.91145,17.45195,17.8501,18.6167,19.1211,19.5567,19.9998
2021-03-04,2,4,13,3,2,12,17.0432727272727,16.6720909090909,16.2392272727273,16.2464545454546,16.4049545454545,16.5426363636364,17.0994090909091,17.6568636363636,18.3209545454545,18.1676363636364,18.3887272727273,18.8990454545455,2.67227272727273,2.73181818181818,2.81681818181818,3.93818181818182,4.66181818181818,6.62727272727273,7.16,6.54409090909091,5.95954545454546,6.02727272727273,4.08454545454546,3.17181818181818,16.9229090909091,16.6973636363636,16.1791818181818,16.2151363636364,16.0500909090909,16.5146818181818,16.7286818181818,17.2836363636364,18.1286363636364,18.6700454545454,19.2864545454545,19.7751818181818
2021-03-05,1,2,14,1,2,13,16.696652173913,16.4177826086957,16.3321304347826,16.3976956521739,16.5620869565217,17.1265652173913,17.628,18.3153913043478,18.4259130434783,18.2965217391304,18.5046086956522,18.4225217391304,2.71260869565217,2.73173913043478,2.9704347826087,5.05478260869565,5.29739130434783,6.88652173913043,6.25,5.16434782608696,4.66782608695652,5.4704347826087,3.67521739130435,3.33217391304348,16.5098695652174,16.3537826086957,16.283,16.1596086956522,16.4463913043478,16.6522608695652,17.2270869565217,18.067,18.7645652173913,19.2939130434783,19.5747826086956,19.8061304347826
2021-03-06,6,4,15,7,2,16,16.865375,16.55309375,16.3818125,16.44265625,16.5515,17.11096875,17.3206875,18.09096875,18.0185,18.4024375,18.6424375,18.61034375,2.7125,2.744375,3.4809375,4.15375,5.065625,6.755625,5.4959375,6.15875,6.2621875,5.1896875,3.939375,3.19,16.724875,16.51271875,16.38046875,16.1661875,16.46296875,16.64503125,17.2464375,17.7359375,18.441125,18.87228125,19.426125,19.8596875
2021-03-07,4,7,12,3,7,14,17.1638709677419,17.0059677419355,16.7935483870968,16.6142903225807,16.7073870967742,17.094935483871,17.2898064516129,17.5446774193548,17.9248709677419,18.0378064516129,18.1681612903226,18.4796129032258,2.6558064516129,2.73354838709677,3.26,4.70387096774194,4.49935483870968,4.71483870967742,5.75483870967742,5.4141935483871,4.92774193548387,5.53806451612903,5.92870967741936,3.70838709677419,16.9460967741935,16.8187741935484,16.8153225806452,16.5046129032258,16.4640322580645,16.7396129032258,17.2275483870968,17.6106451612903,17.9906451612903,18.5758064516129,18.9107096774194,19.3058709677419
2021-03-08,2,6,14,2,5,13,17.2652916666667,16.9565,16.5262083333333,16.4588333333333,16.5535833333333,16.914,16.8370416666667,17.1277083333333,17.84675,18.13625,18.3137916666667,18.86325,2.65916666666667,2.78291666666667,3.37333333333333,4.175,3.48125,3.71625,5.63875,6.31416666666667,6.30083333333333,6.44041666666667,5.06625,3.69541666666667,17.0922916666667,16.742625,16.4938333333333,16.3095,16.222875,16.6284166666667,17.0154583333333,17.2833333333333,17.8364166666667,18.2815833333333,19.0055416666667,19.50275
2021-03-09,5,8,14,7,6,14,17.3222352941176,17.0190588235294,16.7738235294118,16.4232058823529,16.3480882352941,16.38,16.5419411764706,16.9818823529412,17.7472352941176,18.0891176470588,18.0220882352941,18.2997058823529,2.62441176470588,2.68852941176471,2.69735294117647,2.73617647058824,2.95117647058824,4.11,6.60764705882353,6.27470588235294,6.08647058823529,5.06352941176471,6.41323529411765,4.70088235294118,17.1086176470588,16.8489117647059,16.7046470588235,16.4056764705882,16.1150588235294,16.2045294117647,16.4168235294118,16.6485294117647,17.3138529411765,18.0637647058824,18.7254411764706,19.1108235294118
2021-03-10,4,8,17,3,7,14,17.4196470588235,17.2932058823529,17.0138235294118,16.7675294117647,16.4811764705882,16.5719705882353,16.6966764705882,16.8843529411765,17.378,17.5993529411765,18.0180294117647,18.3041470588235,2.62735294117647,2.65794117647059,2.80823529411765,3.68,3.82294117647059,3.98,4.46264705882353,5.25558823529412,4.86647058823529,6.40264705882353,5.53735294117647,6.35058823529412,17.3705294117647,17.0650588235294,16.9242058823529,16.7087058823529,16.3494411764706,16.3658235294118,16.4292058823529,16.9208823529412,17.2301764705882,17.7151176470588,18.2433529411765,18.6816176470588
2021-03-11,4,9,14,4,10,15,17.5383611111111,17.2932222222222,17.0161666666667,16.8114444444444,16.5112777777778,16.431,16.5388611111111,16.7434444444444,17.2532222222222,17.5420277777778,17.9716111111111,18.2494722222222,2.61944444444444,2.655,2.68833333333333,2.83472222222222,3.26888888888889,3.41861111111111,4.57972222222222,4.79083333333333,5.90861111111111,5.72888888888889,5.41777777777778,6.605,17.5074444444445,17.0485,16.8528611111111,16.7259444444444,16.3687222222222,16.2624166666667,16.3226388888889,16.7080833333333,17.0165277777778,17.6056111111111,18.1133611111111,18.7233055555556
2021-03-12,1,4,8,0,4,9,17.4395882352941,17.1850588235294,17.0809411764706,16.9054705882353,16.4704705882353,16.4877058823529,16.4976470588235,16.9807058823529,17.102,17.8350588235294,18.1875294117647,18.0219411764706,2.63529411764706,2.62176470588235,2.68529411764706,2.75,3.18352941176471,3.82470588235294,4.37705882352941,5.70235294117647,6.32176470588235,5.37,4.29588235294118,8.26294117647059,17.3858235294118,16.9560588235294,16.7584117647059,16.8015882352941,16.6415882352941,16.1590588235294,16.4425882352941,16.6892352941177,17.0002352941176,17.5401764705882,18.2035882352941,18.7245294117647
2021-03-13,2,11,24,10,6,20,17.5134888888889,17.2147333333333,16.9751555555556,16.788,16.5582888888889,16.4755777777778,16.655,16.9300888888889,17.2967555555556,17.5507777777778,17.9496666666667,18.2051555555556,2.61444444444444,2.65533333333333,2.72222222222222,2.96066666666667,3.30444444444444,4.94511111111111,4.95955555555555,5.15244444444445,5.58111111111111,6.32711111111111,5.05977777777778,5.51111111111111,17.4268222222222,17.1149333333333,16.8551777777778,16.7008222222222,16.5302888888889,16.3499333333333,16.3815111111111,16.6378222222222,17.1561111111111,17.6346,18.1279111111111,18.7250222222222
2021-03-14,6,2,18,6,1,13,17.7508484848485,17.3278787878788,16.978696969697,16.8007575757576,16.5661515151515,16.4498181818182,16.4921515151515,16.6781818181818,17.1008484848485,17.4467575757576,17.9838484848485,18.2163636363636,2.6030303030303,2.63757575757576,2.67333333333333,2.76969696969697,3.06333333333333,3.32969696969697,4.94393939393939,5.68939393939394,6.20363636363636,7.21,4.8830303030303,4.83272727272727,17.657696969697,17.3005151515152,16.9391515151515,16.5812121212121,16.5253333333333,16.4362424242424,16.2897575757576,16.5825454545455,16.7343333333333,17.3223333333333,17.8957878787879,18.5123939393939
2021-03-15,5,9,18,7,8,22,17.7325714285714,17.5371666666667,17.5092380952381,17.2704285714286,16.8600476190476,16.6737619047619,16.4906428571429,16.589,16.7418333333333,17.1664285714286,17.4374761904762,17.6804047619048,2.59285714285714,2.59833333333333,2.77619047619048,2.88547619047619,3.01285714285714,3.73238095238095,3.92761904761905,4.47047619047619,4.60285714285714,4.69595238095238,5.76952380952381,6.85857142857143,17.6610238095238,17.4169523809524,17.2442619047619,17.1622142857143,16.8390238095238,16.5737619047619,16.2792619047619,16.4472142857143,16.6541904761905,16.9895,17.5421666666667,17.8744761904762
