Atime,D_EU,D_NA,D_AS,A_EU,A_NA,A_AS,Eur_Spot_12,Eur_Spot_9,Eur_Spot_6,Eur_Spot_3,Eur_Spot_0,Eur_Spot_-3,Eur_Spot_-6,Eur_Spot_-9,Eur_Spot_-12,Eur_Spot_-15,Eur_Spot_-18,Eur_Spot_-21,US_Spot_12,US_Spot_9,US_Spot_6,US_Spot_3,US_Spot_0,US_Spot_-3,US_Spot_-6,US_Spot_-9,US_Spot_-12,US_Spot_-15,US_Spot_-18,US_Spot_-21,Asia_Fut_12,Asia_Fut_9,Asia_Fut_6,Asia_Fut_3,Asia_Fut_0,Asia_Fut_-3,Asia_Fut_-6,Asia_Fut_-9,Asia_Fut_-12,Asia_Fut_-15,Asia_Fut_-18,Asia_Fut_-21,Eur_Fut_12,Eur_Fut_9,Eur_Fut_6,Eur_Fut_3,Eur_Fut_0,Eur_Fut_-3,Eur_Fut_-6,Eur_Fut_-9,Eur_Fut_-12,Eur_Fut_-15,Eur_Fut_-18,Eur_Fut_-21
2021-02-12,0,1,2,0,1,2,16.009,16.625,16.743,17.671,18.016,20.853,18.787,18.347,18.394,18.394,18.394,18.394,2.8,3.16,8.56,11.32,6.12,3.35,3.49,3.01,2.88,2.76,2.63,2.45,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,16.353,15.973,17.356,16.568,17.599,19.109,20.157,20.157,20.157,20.157,20.157,20.157
2021-02-13,1,1,2,1,1,1,16.068,16.697,16.884,16.783,17.664,19.791,18.787,17.674,18.394,18.394,18.394,18.394,2.72,3.16,4.96,11.32,6.12,3.76,3.4,2.99,2.88,2.68,2.73,2.45,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,15.904,15.973,16.552,16.688,17.599,18.581,20.157,20.157,20.157,20.157,20.157,20.157
2021-02-14,0,2,0,0,2,0,16.077,15.841,16.625,16.532,17.664,19.598,18.94,18.227,18.394,18.394,18.394,18.394,2.66,2.94,4.96,23.86,6.12,6.5,3.4,3.49,3.24,2.68,2.77,2.63,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,15.722,16.258,16.552,16.554,16.568,17.401,20.157,20.157,20.157,20.157,20.157,20.157
2021-02-15,1,1,3,1,1,3,15.839,16.009,16.625,16.743,17.671,18.016,20.853,18.787,18.347,18.394,18.394,18.394,2.66,2.8,3.16,8.56,11.32,6.12,3.35,3.49,3.01,2.88,2.76,2.63,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,15.722,16.353,15.973,17.356,16.568,17.599,19.109,20.157,20.157,20.157,20.157,20.157
2021-02-16,0,2,4,0,2,4,15.839,16.068,16.697,16.884,16.783,17.664,19.791,18.787,17.674,18.394,18.394,18.394,2.7,2.72,3.16,4.96,11.32,6.12,3.76,3.4,2.99,2.88,2.68,2.73,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,16.05,15.904,15.973,16.552,16.688,17.599,18.581,20.157,20.157,20.157,20.157,20.157
2021-02-17,0,1,5,0,1,5,15.885,16.077,15.841,16.625,16.532,17.664,19.598,18.94,18.227,18.394,18.394,18.394,2.7,2.66,2.94,4.96,23.86,6.12,6.5,3.4,3.49,3.24,2.68,2.77,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,16.05,15.722,16.258,16.552,16.554,16.568,17.401,20.157,20.157,20.157,20.157,20.157
2021-02-18,0,0,8,0,0,8,16.322,15.839,16.009,16.625,16.743,17.671,18.016,20.853,18.787,18.347,18.394,18.394,2.87,2.66,2.8,3.16,8.56,11.32,6.12,3.35,3.49,3.01,2.88,2.76,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,15.89,15.722,16.353,15.973,17.356,16.568,17.599,19.109,20.157,20.157,20.157,20.157
2021-02-19,0,2,2,0,2,2,16.255,15.839,16.068,16.697,16.884,16.783,17.664,19.791,18.787,17.674,18.394,18.394,2.86,2.7,2.72,3.16,4.96,11.32,6.12,3.76,3.4,2.99,2.88,2.68,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,15.558,16.05,15.904,15.973,16.552,16.688,17.599,18.581,20.157,20.157,20.157,20.157
2021-02-20,0,0,3,1,0,2,15.915,15.885,16.077,15.841,16.625,16.532,17.664,19.598,18.94,18.227,18.394,18.394,2.79,2.7,2.66,2.94,4.96,23.86,6.12,6.5,3.4,3.49,3.24,2.68,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,15.981,16.05,15.722,16.258,16.552,16.554,16.568,17.401,20.157,20.157,20.157,20.157
2021-02-21,0,2,9,0,2,9,16.235,16.322,15.839,16.009,16.625,16.743,17.671,18.016,20.853,18.787,18.347,18.394,2.72,2.87,2.66,2.8,3.16,8.56,11.32,6.12,3.35,3.49,3.01,2.88,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,16.368,15.89,15.722,16.353,15.973,17.356,16.568,17.599,19.109,20.157,20.157,20.157
