IMO,Port,Country,Arrival,Departure,In Port
9161510,Benoa Anch., Indonesia,"Mar 15, 01:25","Apr 8, 05:21","24d 3h"
9161510,Benoa Anch., Indonesia,"-","Mar 14, 23:00","-"
9783124,Roytta, Finland,"Apr 26, 16:00","Apr 27, 10:42","18h 41m"
9783124,Vysotsk, Russia,"Apr 23, 18:01","Apr 24, 15:50","21h 48m"
9783124,Brofjorden, Sweden,"Apr 19, 15:23","Apr 20, 18:58","1d 3h"
9783124,Fredrikstad, Norway,"Apr 18, 15:31","Apr 19, 07:36","16h 5m"
9783124,Rotterdam Maasvlakte, Netherlands,"Apr 16, 03:45","Apr 17, 03:00","23h 14m"
9617698,Vysotsk, Russia,"Apr 27, 09:28","Apr 28, 11:31","1d 2h"
9617698,Rotterdam Maasvlakte, Netherlands,"Apr 22, 02:08","Apr 22, 19:23","17h 14m"
9617698,Vysotsk, Russia,"Apr 17, 03:14","Apr 18, 03:10","23h 56m"
9617698,Brofjorden, Sweden,"Apr 14, 06:13","-","-"
9617698,Nynashamn, Sweden,"Apr 12, 04:38","Apr 12, 17:48","13h 9m"
9675200,Muroran, Japan,"Apr 23, 22:58","Apr 24, 01:03","2h 4m"
9675200,Hachinohe, Japan,"Apr 22, 22:24","Apr 23, 05:33","7h 8m"
9675200,Kushiro, Japan,"Apr 9, 22:52","Apr 10, 05:51","6h 59m"
9675200,Ishikariwan Shinko, Japan,"Apr 7, 00:01","Apr 7, 13:57","13h 55m"
9675200,Hachinohe, Japan,"Apr 2, 06:28","Apr 3, 06:54","1d"
9469235,Muroran, Japan,"Apr 28, 00:04","Apr 28, 01:51","1h 46m"
9469235,Kushiro, Japan,"Apr 25, 22:58","Apr 26, 06:23","7h 25m"
9469235,Ishikariwan Shinko, Japan,"Apr 22, 23:48","Apr 23, 17:48","17h 59m"
9469235,Hachinohe, Japan,"Apr 10, 00:01","Apr 12, 03:15","2d 3h"
9469235,Akita, Japan,"Apr 6, 23:19","Apr 7, 07:19","8h"
9275074,Maloy, Norway,"Apr 26, 18:59","-","-"
9275074,Mosjoen, Norway,"Apr 25, 09:25","Apr 25, 14:13","4h 47m"
9275074,Valsneset, Norway,"Apr 24, 15:26","Apr 24, 18:32","3h 6m"
