IMO,Port,Country,Arrival,Departure,In Port
9372743,Singapore Anch. 1, Singapore,"Apr 12, 09:35","Apr 13, 06:20","20h 45m"
9372743,Ningbo Anch., China,"Apr 3, 03:00","Apr 7, 08:56","4d 5h"
9372743,Pyeongtaek, Korea,"Mar 30, 07:01","Mar 31, 22:44","1d 15h"
9372743,Ras Laffan, Qatar,"Mar 12, 16:09","Mar 14, 05:01","1d 12h"
9372743,Ras Laffan Anch., Qatar,"Mar 10, 12:07","Mar 12, 15:05","2d 2h"
9388821,Ras Laffan, Qatar,"Mar 22, 11:12","Mar 23, 16:45","1d 5h"
9388821,Ras Laffan Anch., Qatar,"Mar 20, 15:20","Mar 22, 09:44","1d 18h"
9388821,Singapore Anch. 1, Singapore,"Mar 11, 09:43","Mar 12, 07:34","21h 50m"
9388821,Incheon, Korea,"Mar 3, 23:48","Mar 5, 09:20","1d 9h"
9388819,Ras Laffan, Qatar,"Apr 10, 21:01","Apr 12, 17:12","1d 20h"
9388819,Ras Laffan Anch., Qatar,"Apr 10, 03:26","Apr 10, 20:41","17h 14m"
9388819,Gibraltar West Anch., Gibraltar,"Mar 22, 13:10","Mar 23, 02:15","13h 4m"
9388819,Milford Haven, United Kingdom (UK),"Mar 17, 01:06","Mar 19, 08:58","2d 7h"
9388819,As Suways (Suez) Anch., Egypt,"Mar 7, 11:46","Mar 8, 04:41","16h 54m"
9397298,Ras Laffan Anch., Qatar,"Apr 17, 02:06","Apr 17, 12:26","10h 19m"
9397298,Ras Laffan, Qatar,"Apr 15, 06:05","Apr 17, 01:04","1d 18h"
9397298,Ras Laffan Anch., Qatar,"Apr 14, 19:23","Apr 15, 04:33","9h 9m"
9397298,Port Said Anch., Egypt,"Apr 4, 16:02","Apr 7, 03:36","2d 11h"
9397298,Gibraltar West Anch., Gibraltar,"Mar 30, 08:38","Mar 30, 23:00","14h 22m"
9397303,Ras Laffan, Qatar,"Apr 19, 07:10","-","-"
9397303,Ras Laffan Anch., Qatar,"Apr 17, 21:17","Apr 19, 06:09","1d 8h"
9397303,Port Said Anch., Egypt,"Apr 9, 12:00","Apr 10, 02:29","14h 28m"
9397303,Gibraltar West Anch., Gibraltar,"Apr 3, 14:00","Apr 4, 06:40","16h 40m"
9397303,Milford Haven, United Kingdom (UK),"Mar 30, 00:15","Mar 31, 19:06","1d 18h"
9418365,Las Palmas (Gr.Canaria) Anch., Spain,"Mar 29, 13:53","-","-"
9418365,Milford Haven, United Kingdom (UK),"Mar 23, 10:41","Mar 24, 20:17","1d 9h"
9418365,As Suways (Suez) Anch., Egypt,"Mar 13, 08:51","Mar 14, 06:23","21h 31m"
9418365,Ras Laffan, Qatar,"Mar 4, 04:47","Mar 4, 22:46","17h 58m"
9418365,Ras Laffan Anch., Qatar,"Mar 2, 19:49","Mar 4, 02:25","1d 6h"
9443683,Ras Laffan, Qatar,"Apr 15, 04:16","Apr 16, 11:41","1d 7h"
9443683,Ras Laffan Anch., Qatar,"Apr 14, 10:41","Apr 15, 02:57","16h 15m"
9443683,Singapore Anch. 1, Singapore,"Apr 5, 02:33","Apr 5, 22:07","19h 33m"
9443683,Incheon, Korea,"Mar 28, 06:23","Mar 29, 22:44","1d 16h"
9443683,Ras Laffan, Qatar,"Mar 11, 10:22","Mar 12, 16:06","1d 5h"
9397315,Port Elizabeth Anch., South Africa,"Apr 5, 09:39","Apr 6, 07:47","22h 7m"
9397315,Port Elizabeth Anch., South Africa,"Apr 5, 06:21","Apr 5, 09:17","2h 56m"
9397315,Ras Laffan, Qatar,"Mar 21, 00:18","Mar 22, 06:34","1d 6h"
9397315,Ras Laffan Anch., Qatar,"Mar 20, 07:51","Mar 20, 23:31","15h 39m"
9397315,Singapore Anch. 1, Singapore,"Mar 11, 17:05","Mar 12, 08:57","15h 51m"
9443401,Incheon, Korea,"Apr 15, 23:35","Apr 17, 07:54","1d 8h"
9443401,Ras Laffan, Qatar,"Mar 29, 23:58","Mar 31, 05:31","1d 5h"
9443401,Ras Laffan Anch., Qatar,"Mar 28, 04:48","Mar 29, 23:21","1d 18h"
9443401,Singapore Anch. 1, Singapore,"Mar 18, 17:09","Mar 19, 16:50","23h 40m"
9443401,Yangkou, China,"Mar 11, 03:07","Mar 13, 05:00","2d 1h"
9388833,Ras Laffan, Qatar,"Apr 6, 16:42","Apr 7, 23:47","1d 7h"
9388833,Ras Laffan Anch., Qatar,"Apr 4, 21:02","Apr 6, 15:50","1d 18h"
9388833,Singapore Anch. 1, Singapore,"Mar 26, 17:22","Mar 27, 11:32","18h 9m"
9388833,Incheon, Korea,"Mar 18, 23:38","Mar 20, 08:20","1d 8h"
9388833,Ras Laffan Anch., Qatar,"Feb 28, 01:20","Mar 1, 02:56","1d 1h"
9337755,Ras Laffan Anch., Qatar,"Apr 14, 18:18","Apr 15, 10:58","16h 39m"
9337755,Ras Laffan, Qatar,"Apr 12, 18:09","Apr 14, 17:53","1d 23h"
9337755,Ras Laffan Anch., Qatar,"Apr 11, 10:53","Apr 12, 17:45","1d 6h"
9337755,Singapore Anch. 1, Singapore,"Apr 2, 03:18","-","-"
9337755,Mab Tapud, Thailand,"Mar 29, 23:15","Mar 31, 08:52","1d 9h"
9431214,Ras Laffan Anch., Qatar,"Mar 30, 18:25","-","-"
9431214,Singapore Anch. 1, Singapore,"Mar 21, 04:38","Mar 21, 23:46","19h 8m"
9431214,Pyeongtaek, Korea,"Mar 13, 06:40","Mar 14, 22:47","1d 16h"
9431214,Ras Laffan Anch., Qatar,"Feb 25, 01:14","Feb 25, 03:34","2h 20m"
9431214,Ras Laffan, Qatar,"Feb 23, 20:24","Feb 25, 00:51","1d 4h"
9443413,Gibraltar West Anch., Gibraltar,"Apr 15, 10:00","Apr 15, 20:15","10h 14m"
9443413,Thamesport, United Kingdom (UK),"Apr 11, 19:53","-","-"
9443413,Thamesport, United Kingdom (UK),"Apr 10, 10:10","Apr 11, 19:40","1d 9h"
9443413,As Suways (Suez) Anch., Egypt,"Mar 30, 07:10","-","-"
9443413,As Suways (Suez) Anch., Egypt,"Mar 22, 17:15","Mar 30, 07:03","7d 13h"
9774628,Sakai, Japan,"Apr 12, 22:35","Apr 14, 06:30","1d 7h"
9774628,Pena Blanca Anch., Panama,"Mar 23, 13:50","-","-"
9774628,Panama Canal Anch. Atlantic, Panama,"Mar 22, 19:03","Mar 23, 08:59","13h 56m"
9774628,Freeport, United States (USA),"Mar 13, 16:03","Mar 17, 00:21","3d 8h"
9774628,Freeport Anch., United States (USA),"Mar 11, 13:54","Mar 13, 14:26","2d"
9796793,Gatun Anch., Panama,"Apr 2, 14:33","-","-"
9796793,Panama Canal Anch. Atlantic, Panama,"Apr 2, 10:14","-","-"
9796793,Panama Canal Anch. Atlantic, Panama,"Mar 31, 21:02","Apr 2, 09:16","1d 12h"
9796793,Freeport, United States (USA),"Mar 25, 16:36","Mar 26, 22:07","1d 5h"
9796793,Freeport Anch., United States (USA),"Mar 25, 10:47","Mar 25, 14:17","3h 30m"
9796781,Freeport Anch., United States (USA),"Apr 18, 16:07","-","-"
9796781,Kawasaki, Japan,"Mar 5, 00:51","Mar 6, 03:26","1d 2h"
9698123,Yung An, Taiwan,"Apr 14, 23:35","Apr 16, 00:35","1d 1h"
9698123,Darwin, Australia,"Apr 6, 12:36","-","-"
9698123,Darwin, Australia,"Apr 5, 01:55","Apr 6, 12:34","1d 10h"
9698123,Yung An, Taiwan,"Mar 28, 23:43","Mar 29, 23:34","23h 50m"
9698123,Darwin, Australia,"Mar 21, 21:12","Mar 23, 06:21","1d 9h"
9779238,Sasebo, Japan,"Mar 5, 22:37","Mar 23, 05:04","17d 6h"
9779238,Kisarazu, Japan,"Feb 25, 03:06","Feb 26, 10:15","1d 7h"
9810020,Nagoya, Japan,"Apr 8, 01:20","Apr 9, 01:18","23h 57m"
9810020,Gatun Anch., Panama,"Mar 16, 14:28","-","-"
