IMO,Port,Country,Arrival,Departure,In Port
9388821,Ras Laffan, Qatar,"May 19, 09:09","May 21, 16:45","2d 7h"
9388821,Ras Laffan Anch., Qatar,"May 10, 07:23","May 19, 07:36","9d"
9388821,Port Said Anch., Egypt,"May 1, 10:18","May 2, 03:25","17h 6m"
9388821,Milford Haven, United Kingdom (UK),"Apr 21, 09:53","Apr 22, 19:11","1d 9h"
9388819,Ras Laffan Anch., Qatar,"May 19, 03:14","-","-"
9388819,Port Said Anch., Egypt,"May 10, 16:35","May 11, 01:02","8h 27m"
9388819,Gibraltar West Anch., Gibraltar,"May 5, 14:19","May 6, 08:43","18h 23m"
9388819,Milford Haven, United Kingdom (UK),"Apr 30, 23:56","May 2, 06:45","1d 6h"
9388819,Malta Anch., Malta,"Apr 24, 06:30","Apr 24, 22:04","15h 34m"
9372743,Malta Anch., Malta,"May 23, 04:01","May 23, 15:50","11h 48m"
9372743,As Suways (Suez) Anch., Egypt,"May 19, 13:00","May 20, 05:37","16h 36m"
9372743,Ras Laffan, Qatar,"May 10, 07:17","May 11, 13:04","1d 5h"
9372743,Ras Laffan Anch., Qatar,"Apr 21, 10:22","May 10, 06:20","18d 19h"
9372743,Singapore Anch. 1, Singapore,"Apr 12, 09:35","Apr 13, 06:20","20h 45m"
9431214,Gibraltar West Anch., Gibraltar,"May 18, 15:38","May 19, 09:18","17h 40m"
9431214,Milford Haven, United Kingdom (UK),"May 13, 19:01","May 15, 08:51","1d 13h"
9431214,Malta Anch., Malta,"May 6, 04:21","May 7, 17:34","1d 13h"
9431214,As Suways (Suez) Anch., Egypt,"May 2, 11:19","May 3, 05:55","18h 35m"
9431214,Ras Laffan, Qatar,"Apr 23, 04:01","Apr 24, 09:09","1d 5h"
9418365,Incheon, Korea,"May 12, 23:38","May 14, 09:55","1d 10h"
9418365,Ras Laffan, Qatar,"Apr 25, 06:20","Apr 27, 05:31","1d 23h"
9418365,Ras Laffan Anch., Qatar,"Apr 20, 12:00","Apr 25, 05:56","4d 17h"
9443683,Port Said Anch., Egypt,"May 15, 11:55","May 16, 03:25","15h 29m"
9443683,Algeciras Anch., Spain,"May 9, 06:01","May 9, 23:20","17h 18m"
9443683,Milford Haven, United Kingdom (UK),"May 4, 15:49","May 5, 20:54","1d 5h"
9443683,As Suways (Suez) Anch., Egypt,"Apr 24, 13:40","Apr 25, 04:29","14h 49m"
9443683,Ras Laffan, Qatar,"Apr 15, 04:16","Apr 16, 11:41","1d 7h"
9397298,Ras Laffan, Qatar,"May 22, 07:18","May 23, 13:33","1d 6h"
9397298,Singapore Anch. 1, Singapore,"May 12, 20:48","May 13, 18:39","21h 50m"
9397298,Yangkou, China,"May 5, 04:04","May 7, 02:17","1d 22h"
9397298,Ras Laffan Anch., Qatar,"Apr 17, 02:06","Apr 17, 12:26","10h 19m"
9397298,Ras Laffan, Qatar,"Apr 15, 06:05","Apr 17, 01:04","1d 18h"
9397315,Ras Laffan, Qatar,"May 18, 09:08","May 19, 13:13","1d 4h"
9397315,Ras Laffan Anch., Qatar,"May 13, 11:19","May 18, 08:12","4d 20h"
9397315,Port Said Anch., Egypt,"May 4, 08:03","May 5, 02:44","18h 40m"
9397315,Malta Bunkering Area 3, Malta,"Apr 30, 22:53","May 1, 16:13","17h 19m"
9397315,Malta Anch., Malta,"Apr 30, 14:13","Apr 30, 22:51","8h 37m"
9443401,As Suways (Suez) Anch., Egypt,"May 14, 10:22","May 15, 05:00","18h 38m"
9443401,Ras Laffan, Qatar,"May 4, 10:09","May 5, 16:08","1d 5h"
9443401,Ras Laffan Anch., Qatar,"May 3, 14:36","May 4, 09:34","18h 58m"
9443401,Singapore Anch. 1, Singapore,"Apr 24, 00:36","Apr 24, 16:10","15h 34m"
9443401,Incheon, Korea,"Apr 15, 23:35","Apr 17, 07:54","1d 8h"
9388833,As Suways (Suez) Anch., Egypt,"May 22, 05:44","May 23, 05:31","23h 47m"
9388833,Ras Laffan, Qatar,"May 12, 08:50","May 14, 01:07","1d 16h"
9388833,Singapore Anch. 1, Singapore,"May 1, 22:46","May 2, 19:08","20h 22m"
9388833,Pyeongtaek, Korea,"Apr 23, 05:17","Apr 24, 22:48","1d 17h"
9388833,Ras Laffan, Qatar,"Apr 6, 16:42","Apr 7, 23:47","1d 7h"
9337755,Ras Laffan Anch., Qatar,"May 21, 15:40","-","-"
9337755,Singapore Anch. 1, Singapore,"May 11, 06:49","May 12, 00:48","17h 58m"
9337755,Incheon, Korea,"May 4, 00:03","May 5, 07:58","1d 7h"
9337755,Ras Laffan Anch., Qatar,"Apr 14, 18:18","Apr 15, 10:58","16h 39m"
9337755,Ras Laffan, Qatar,"Apr 12, 18:09","Apr 14, 17:53","1d 23h"
9443413,Incheon, Korea,"May 21, 23:55","May 23, 06:41","1d 6h"
9443413,Ras Laffan, Qatar,"May 1, 22:13","May 3, 11:22","1d 13h"
9443413,Ras Laffan Anch., Qatar,"Apr 29, 16:37","May 1, 21:02","2d 4h"
9443413,Port Said Anch., Egypt,"Apr 20, 10:36","Apr 21, 02:59","16h 22m"
9443413,Gibraltar West Anch., Gibraltar,"Apr 15, 10:00","Apr 15, 20:15","10h 14m"
9397303,Port Said Anch., Egypt,"May 19, 12:29","May 20, 03:43","15h 14m"
9397303,Milford Haven, United Kingdom (UK),"May 9, 15:19","May 11, 03:02","1d 11h"
