IMO,Port,Country,Arrival,Departure,In Port
9388819,Yangkou, China,"Jun 23, 02:35","Jun 24, 22:12","1d 19h"
9388819,Ras Laffan Anch., Qatar,"May 30, 23:36","Jun 1, 05:31","1d 5h"
9388819,Ras Laffan, Qatar,"May 29, 18:43","May 30, 23:18","1d 4h"
9388819,Ras Laffan Anch., Qatar,"May 19, 03:14","May 29, 18:14","10d 15h"
9388819,Port Said Anch., Egypt,"May 10, 16:35","May 11, 01:02","8h 27m"
9372743,Ras Laffan Anch., Qatar,"Jun 21, 17:12","Jun 22, 04:59","11h 46m"
9372743,Ras Laffan, Qatar,"Jun 20, 01:30","Jun 21, 16:46","1d 15h"
9372743,Ras Laffan Anch., Qatar,"Jun 18, 10:20","Jun 20, 00:37","1d 14h"
9372743,Port Said Anch., Egypt,"Jun 9, 15:30","Jun 10, 03:21","11h 50m"
9372743,Gibraltar West Anch., Gibraltar,"Jun 3, 16:13","Jun 4, 12:36","20h 22m"
9388821,Ras Laffan Anch., Qatar,"Jun 29, 08:20","-","-"
9388821,Singapore Anch. 1, Singapore,"Jun 18, 10:19","Jun 19, 09:29","23h 9m"
9388821,Anjeong, Korea,"Jun 10, 00:09","Jun 11, 07:50","1d 7h"
9388821,Ras Laffan, Qatar,"May 19, 09:09","May 21, 16:45","2d 7h"
9388821,Ras Laffan Anch., Qatar,"May 10, 07:23","May 19, 07:36","9d"
9397315,Ras Laffan, Qatar,"Jun 27, 08:21","Jun 29, 07:21","1d 22h"
9397315,Port Said Anch., Egypt,"Jun 18, 14:09","Jun 19, 04:07","13h 58m"
9397315,Gibraltar West Anch., Gibraltar,"Jun 12, 18:41","Jun 13, 18:02","23h 21m"
9397315,Milford Haven, United Kingdom (UK),"Jun 9, 21:59","Jun 10, 01:05","3h 5m"
9397315,Milford Haven, United Kingdom (UK),"Jun 8, 03:07","Jun 9, 21:53","1d 18h"
9443413,Singapore Anch. 1, Singapore,"Jun 22, 23:02","Jun 23, 16:02","17h"
9443413,Ras Laffan, Qatar,"Jun 11, 16:01","Jun 13, 06:46","1d 14h"
9443413,Ras Laffan Anch., Qatar,"Jun 8, 14:38","Jun 11, 14:40","3d"
9443413,Incheon, Korea,"May 21, 23:55","May 23, 06:41","1d 6h"
9443413,Ras Laffan, Qatar,"May 1, 22:13","May 3, 11:22","1d 13h"
9443401,Ras Laffan, Qatar,"Jun 16, 03:50","Jun 17, 21:20","1d 17h"
9443401,Port Said Anch., Egypt,"Jun 7, 11:47","Jun 8, 03:09","15h 21m"
9443401,Gibraltar West Anch., Gibraltar,"Jun 1, 22:32","Jun 2, 17:44","19h 12m"
9443401,Zeebrugge, Belgium,"May 27, 09:21","May 28, 17:06","1d 7h"
9443401,Antwerpen Anch., Belgium,"May 26, 02:53","May 27, 06:08","1d 3h"
9397298,Ras Laffan, Qatar,"Jun 29, 07:58","-","-"
9397298,Ras Laffan Anch., Qatar,"Jun 27, 18:02","Jun 29, 02:52","1d 8h"
9397298,Singapore Anch. 1, Singapore,"Jun 16, 14:33","Jun 17, 06:18","15h 45m"
9397298,Incheon, Korea,"Jun 8, 03:31","Jun 10, 08:17","2d 4h"
9397298,Ras Laffan, Qatar,"May 22, 07:18","May 23, 13:33","1d 6h"
9418365,Ras Laffan Anch., Qatar,"Jun 7, 12:14","Jun 8, 10:11","21h 57m"
9418365,Ras Laffan, Qatar,"Jun 5, 22:15","Jun 7, 11:23","1d 13h"
9418365,Ras Laffan Anch., Qatar,"May 30, 16:01","Jun 5, 20:51","6d 4h"
9418365,Incheon, Korea,"May 12, 23:38","May 14, 09:55","1d 10h"
9388833,Ras Laffan, Qatar,"Jun 23, 17:55","Jun 25, 10:04","1d 16h"
9388833,Ras Laffan Anch., Qatar,"Jun 21, 09:47","Jun 23, 17:08","2d 7h"
9388833,Port Said Anch., Egypt,"Jun 12, 12:24","Jun 13, 04:02","15h 38m"
9388833,Gibraltar West Anch., Gibraltar,"Jun 6, 04:02","Jun 7, 03:19","23h 17m"
9388833,Milford Haven, United Kingdom (UK),"Jun 2, 00:06","Jun 3, 06:42","1d 6h"
9443683,Port Said Anch., Egypt,"Jun 27, 16:02","Jun 28, 02:35","10h 33m"
9443683,Gibraltar West Anch., Gibraltar,"Jun 21, 19:54","Jun 22, 17:39","21h 44m"
9443683,Milford Haven, United Kingdom (UK),"Jun 16, 20:08","Jun 18, 02:46","1d 6h"
9443683,As Suways (Suez) Anch., Egypt,"Jun 5, 13:03","Jun 6, 04:27","15h 24m"
9443683,Ras Laffan, Qatar,"May 26, 19:09","May 28, 00:52","1d 5h"
9337755,Singapore Anch. 1, Singapore,"Jun 23, 15:08","Jun 24, 13:08","22h"
9337755,Pyeongtaek, Korea,"Jun 14, 21:17","Jun 16, 07:44","1d 10h"
9337755,Ras Laffan, Qatar,"May 26, 08:11","May 28, 04:20","1d 20h"
9337755,Ras Laffan Anch., Qatar,"May 21, 15:40","May 26, 07:50","4d 16h"
9337755,Singapore Anch. 1, Singapore,"May 11, 06:49","May 12, 00:48","17h 58m"
9431214,Ras Laffan, Qatar,"Jun 12, 20:23","Jun 14, 13:23","1d 16h"
9431214,Ras Laffan Anch., Qatar,"Jun 2, 12:47","Jun 12, 19:24","10d 6h"
9431214,Port Said Anch., Egypt,"May 24, 12:41","May 25, 04:25","15h 44m"
9431214,Gibraltar West Anch., Gibraltar,"May 18, 15:38","May 19, 09:18","17h 40m"
9431214,Milford Haven, United Kingdom (UK),"May 13, 19:01","May 15, 08:51","1d 13h"
9397303,Milford Haven, United Kingdom (UK),"Jun 25, 23:47","Jun 27, 09:28","1d 9h"
9397303,As Suways (Suez) Anch., Egypt,"Jun 16, 07:34","Jun 17, 05:11","21h 36m"
9397303,Ras Laffan, Qatar,"Jun 6, 15:49","Jun 8, 07:49","1d 15h"
9397303,Ras Laffan Anch., Qatar,"May 28, 17:35","Jun 6, 14:36","8d 21h"
9397303,Port Said Anch., Egypt,"May 19, 12:29","May 20, 03:43","15h 14m"
9796781,Kawasaki, Japan,"Jun 12, 00:58","Jun 13, 02:11","1d 1h"
9796781,Wheatstone LNG Term., Australia,"Jun 1, 09:08","Jun 2, 07:48","22h 40m"
9796781,Nagoya, Japan,"May 20, 01:18","May 21, 01:30","1d"
9796793,Kisarazu, Japan,"Jun 27, 01:41","Jun 28, 06:21","1d 4h"
9796793,Panama Canal Anch. Atlantic, Panama,"Jun 7, 18:11","Jun 8, 10:41","16h 29m"
9796793,Freeport, United States (USA),"Jun 2, 12:55","Jun 3, 20:39","1d 7h"
9796793,Panama Canal Anch. Pacific, Panama,"May 24, 14:36","May 25, 08:31","17h 54m"
9774628,Lese, Papua New Guinea,"Jun 27, 04:48","Jun 28, 01:15","20h 26m"
9774628,Lese Anch., Papua New Guinea,"Jun 25, 06:30","Jun 27, 03:22","1d 20h"
9774628,Xiuyu, China,"Jun 12, 23:48","Jun 14, 04:20","1d 4h"
9774628,Sakai, Japan,"May 13, 02:34","May 14, 04:41","1d 2h"
9774628,Darwin, Australia,"Apr 30, 15:59","May 2, 02:10","1d 10h"
9698123,Darwin Anch., Australia,"Jun 22, 03:33","Jun 23, 00:39","21h 5m"
9698123,Darwin Anch., Australia,"Jun 17, 10:21","Jun 21, 03:42","3d 17h"
9698123,Darwin Anch., Australia,"Jun 13, 21:05","Jun 17, 02:44","3d 5h"
9698123,Singapore Anch. 1, Singapore,"May 24, 06:49","May 29, 04:26","4d 21h"
9698123,Yung An, Taiwan,"May 17, 23:24","May 18, 23:29","1d"
9779226,Kisarazu, Japan,"Jun 11, 01:53","Jun 12, 05:36","1d 3h"
9779226,Lake Charles, United States (USA),"May 1, 18:10","May 3, 08:04","1d 13h"
9810020,Lake Charles, United States (USA),"Jun 10, 17:30","Jun 11, 18:44","1d 1h"
9810020,Thamesport, United Kingdom (UK),"May 22, 05:41","May 23, 06:22","1d"
9810020,Lake Charles, United States (USA),"May 8, 11:01","May 9, 12:10","1d 1h"
9810020,Panama Canal Anch. Pacific, Panama,"May 2, 09:38","-","-"
9810020,Panama Canal Anch. Pacific, Panama,"May 1, 16:00","May 2, 09:27","17h 26m"
9779238,Sasebo, Japan,"Jun 2, 20:39","-","-"
9779238,Kawasaki, Japan,"May 24, 00:53","May 25, 02:14","1d 1h"
9779238,Pena Blanca Anch., Panama,"May 4, 15:42","-","-"
9779238,Cameron, United States (USA),"Apr 30, 15:35","-","-"
9779238,Lake Charles, United States (USA),"-","Apr 30, 13:36","-"
