IMO,Port,Country,Arrival,Departure,In Port
9388819,Ras Laffan Anch., Qatar,"May 30, 23:36","Jun 1, 05:31","1d 5h"
9388819,Ras Laffan, Qatar,"May 29, 18:43","May 30, 23:18","1d 4h"
9388819,Ras Laffan Anch., Qatar,"May 19, 03:14","May 29, 18:14","10d 15h"
9388819,Port Said Anch., Egypt,"May 10, 16:35","May 11, 01:02","8h 27m"
9388819,Gibraltar West Anch., Gibraltar,"May 5, 14:19","May 6, 08:43","18h 23m"
9372743,Milford Haven, United Kingdom (UK),"May 30, 00:09","May 31, 13:28","1d 13h"
9372743,Malta Anch., Malta,"May 23, 04:01","May 23, 15:50","11h 48m"
9372743,As Suways (Suez) Anch., Egypt,"May 19, 13:00","May 20, 05:37","16h 36m"
9372743,Ras Laffan, Qatar,"May 10, 07:17","May 11, 13:04","1d 5h"
9372743,Ras Laffan Anch., Qatar,"Apr 21, 10:22","May 10, 06:20","18d 19h"
9388821,Ras Laffan, Qatar,"May 19, 09:09","May 21, 16:45","2d 7h"
9388821,Ras Laffan Anch., Qatar,"May 10, 07:23","May 19, 07:36","9d"
9388821,Port Said Anch., Egypt,"May 1, 10:18","May 2, 03:25","17h 6m"
9388821,Milford Haven, United Kingdom (UK),"Apr 21, 09:53","Apr 22, 19:11","1d 9h"
9397315,Malta Anch., Malta,"May 31, 05:50","-","-"
9397315,As Suways (Suez) Anch., Egypt,"May 27, 08:59","May 28, 04:11","19h 11m"
9397315,Ras Laffan, Qatar,"May 18, 09:08","May 19, 13:13","1d 4h"
9397315,Ras Laffan Anch., Qatar,"May 13, 11:19","May 18, 08:12","4d 20h"
9397315,Port Said Anch., Egypt,"May 4, 08:03","May 5, 02:44","18h 40m"
9443413,Incheon, Korea,"May 21, 23:55","May 23, 06:41","1d 6h"
9443413,Ras Laffan, Qatar,"May 1, 22:13","May 3, 11:22","1d 13h"
9443413,Ras Laffan Anch., Qatar,"Apr 29, 16:37","May 1, 21:02","2d 4h"
9443413,Port Said Anch., Egypt,"Apr 20, 10:36","Apr 21, 02:59","16h 22m"
9443413,Gibraltar West Anch., Gibraltar,"Apr 15, 10:00","Apr 15, 20:15","10h 14m"
9443401,Zeebrugge, Belgium,"May 27, 09:21","May 28, 17:06","1d 7h"
9443401,Antwerpen Anch., Belgium,"May 26, 02:53","May 27, 06:08","1d 3h"
9443401,Zeebrugge, Belgium,"May 24, 19:20","May 26, 01:07","1d 5h"
9443401,As Suways (Suez) Anch., Egypt,"May 14, 10:22","May 15, 05:00","18h 38m"
9443401,Ras Laffan, Qatar,"May 4, 10:09","May 5, 16:08","1d 5h"
9397298,Ras Laffan, Qatar,"May 22, 07:18","May 23, 13:33","1d 6h"
9397298,Singapore Anch. 1, Singapore,"May 12, 20:48","May 13, 18:39","21h 50m"
9397298,Yangkou, China,"May 5, 04:04","May 7, 02:17","1d 22h"
9397298,Ras Laffan Anch., Qatar,"Apr 17, 02:06","Apr 17, 12:26","10h 19m"
