IMO,Dport,Dcountry,Dtime,Aport,Acountry,Atime
9247364,Port Qasim, Pakistan,"03/18, 07:17",Bontang, Indonesia,"04/10, 08:32"
9247364,Dongjiakou, China,"05/28, 09:43",Bontang, Indonesia,"06/05, 22:57"
9247962,Wheatstone LNG Term., Australia,"05/23, 04:10",Ishikariwan Shinko, Japan,"06/06, 00:42"
9248502,Dapeng, China,"05/30, 03:24","Bintulu,Sarawak", Malaysia,"06/07, 08:45"
9250713,Dahej, India,"05/31, 01:13",Ras Laffan, Qatar,"06/04, 12:33"
9250713,Ras Laffan, Qatar,"06/04, 12:33",Dahej, India,"06/08, 21:03"
9253105,Tianjin Xingang, China,"05/20, 02:00",Tianjin Anch., China,"06/06, 14:49"
9253105,Tianjin Anch., China,"06/06, 14:49",Tianjin Xingang, China,"06/07, 01:48"
9253222,Guayanilla, Puerto Rico,"05/05, 15:24",Guayanilla, Puerto Rico,"05/16, 11:17"
9253222,Guayanilla, Puerto Rico,"05/16, 11:17",La Brea (Brighton) Anch., Trinidad & Tobago,"05/20, 15:55"
9253222,La Brea (Brighton) Anch., Trinidad & Tobago,"05/22, 00:13",Point Fortin, Trinidad & Tobago,"06/01, 21:29"
9253703,Dahej, India,"05/28, 23:28",Ras Laffan, Qatar,"06/02, 17:17"
9253703,Ras Laffan, Qatar,"06/02, 17:17",Dahej, India,"06/06, 19:36"
9253703,Dahej, India,"06/06, 19:36",Al Fujayrah Anch., United Arab Emirates (UAE),"06/11, 02:42"
9255854,Port Qasim, Pakistan,"05/21, 10:30",Ras Laffan Anch., Qatar,"05/28, 16:24"
9255854,Ras Laffan Anch., Qatar,"05/28, 16:24",Ras Laffan, Qatar,"06/05, 03:59"
9255854,Ras Laffan, Qatar,"06/05, 03:59",Port Qasim, Pakistan,"06/09, 03:52"
9256200,Singapore Anch. 1, Singapore,"05/26, 23:43",Ras Laffan Anch., Qatar,"06/06, 11:20"
9256200,Ras Laffan Anch., Qatar,"06/06, 11:20",Ras Laffan, Qatar,"06/06, 22:24"
9256597,Thamesport, United Kingdom (UK),"05/31, 00:41",Arzew, Algeria,"06/06, 10:59"
9256597,Arzew, Algeria,"06/06, 10:59",Marmara Ereglisi, Turkey,"06/11, 17:19"
9256793,Bonny, Nigeria,"05/21, 09:54",Jebel Ali Anch., United Arab Emirates (UAE),"06/12, 04:40"
9259276,Point Fortin, Trinidad & Tobago,"05/30, 13:37",Escombreras, Spain,"06/09, 05:27"
9260603,Tokushima, Japan,"05/29, 22:34",Shikama, Japan,"06/03, 02:58"
9260603,Shikama, Japan,"06/03, 02:58",Tokushima, Japan,"06/04, 01:35"
9260603,Tokushima, Japan,"06/04, 01:35",Shikama, Japan,"06/06, 23:58"
9260603,Shikama, Japan,"06/06, 23:58",Matsuyama, Japan,"06/08, 00:36"
9260603,Matsuyama, Japan,"06/08, 00:36",Kokura, Japan,"06/09, 03:22"
9260603,Kokura, Japan,"06/09, 03:22",Takamatsu, Japan,"06/10, 23:07"
9261205,Pyeongtaek, Korea,"05/22, 01:56","Bintulu,Sarawak", Malaysia,"06/03, 03:34"
9261205,"Bintulu,Sarawak", Malaysia,"06/03, 03:34",Souma, Japan,"06/10, 00:21"
9262223,Montoir, France,"05/08, 00:14",Bonny, Nigeria,"06/05, 20:34"
9265500,Sakai, Japan,"05/25, 01:33",Darwin, Australia,"06/07, 02:23"
9266994,Santa Cruz de Tenerife Anch., Spain,"04/28, 14:43",Bonny, Nigeria,"05/31, 15:50"
9267003,Santa Cruz de Tenerife Anch., Spain,"05/16, 06:50",Bonny, Nigeria,"06/08, 22:41"
9269180,Hiroshima, Japan,"05/17, 23:46",Yung An, Taiwan,"06/06, 00:40"
9269207,Skikda, Algeria,"05/24, 16:25",Fos sur mer, France,"05/27, 09:04"
9269207,Fos sur mer, France,"05/27, 09:04",Fos-sur-Mer Anch., France,"05/28, 07:34"
9269207,Skikda Anch., Algeria,"05/30, 14:54",Fos sur mer, France,"06/03, 13:33"
9269207,Fos sur mer, France,"06/03, 13:33",Skikda, Algeria,"06/06, 16:33"
9269207,Skikda, Algeria,"06/06, 16:33",Fos sur mer, France,"06/10, 18:34"
9271248,Sabine, United States (USA),"05/30, 13:33",Panama Canal Anch. Atlantic, Panama,"06/04, 22:42"
9274226,Taichung, Taiwan,"05/10, 21:25",Barrow Island, Australia,"06/02, 03:17"
9275074,Kyleakin, United Kingdom (UK),"06/01, 11:17",Kristiansund, Norway,"06/10, 05:58"
9275074,Kristiansund, Norway,"06/10, 05:58",Valsneset, Norway,"06/10, 15:20"
9275074,Valsneset, Norway,"06/10, 15:20",Floro, Norway,"06/11, 14:00"
9275074,Floro, Norway,"06/11, 14:00",Kristiansund, Norway,"06/13, 06:41"
9275074,Kristiansund, Norway,"06/13, 06:41",Sunndalsora, Norway,"06/13, 12:37"
9275335,Bilbao Anch., Spain,"04/23, 04:15",Ferrol, Spain,"05/03, 02:25"
9275347,Arzew Anch., Algeria,"05/31, 15:45",Arzew Anch., Algeria,"06/01, 12:47"
9275347,Arzew Anch., Algeria,"06/01, 12:47",Arzew Anch., Algeria,"06/01, 22:33"
9275347,Arzew Anch., Algeria,"06/01, 22:33",Arzew Anch., Algeria,"06/02, 05:30"
9275347,Arzew Anch., Algeria,"06/02, 05:30",Arzew, Algeria,"06/02, 11:58"
9275347,Arzew, Algeria,"06/02, 11:58",Livorno Anch., Italy,"06/05, 09:14"
9275347,Livorno Anch., Italy,"06/05, 09:14",FSRU Toscana Term., Italy,"06/06, 05:27"
9275347,FSRU Toscana Term., Italy,"06/06, 05:27",Arzew Anch., Algeria,"06/09, 08:56"
9275347,Arzew Anch., Algeria,"06/09, 08:56",Arzew Anch., Algeria,"06/09, 15:30"
9276389,Ingleside, United States (USA),"05/19, 00:14",Klaipeda, Lithuania,"06/07, 01:26"
9284192,Montevideo Anch., Uruguay,"05/27, 07:15",Port Arthur Anch., United States (USA),"06/12, 04:32"
9285952,As Suways (Suez) Anch., Egypt,"05/31, 14:21",Chioggia Anch., Italy,"06/09, 07:45"
9285952,Chioggia Anch., Italy,"06/09, 07:45",Adriatic LNG LNG Term., Italy,"06/09, 16:13"
9293832,Toyamashinko, Japan,"05/19, 00:18",Mizushima, Japan,"06/02, 22:18"
9293844,Yung An, Taiwan,"05/27, 23:48","Bintulu,Sarawak", Malaysia,"06/06, 06:30"
9294264,Mab Tapud, Thailand,"04/28, 23:12",Yung An, Taiwan,"06/03, 00:23"
9300817,Yangkou, China,"05/21, 03:42",Mina al Fahl Anch., Oman,"06/07, 03:46"
9302499,Adriatic LNG LNG Term., Italy,"05/30, 12:43",Port Said Anch., Egypt,"06/05, 14:04"
9305116,Xiuyu, China,"05/26, 22:18",Tangguh Anch., Indonesia,"06/05, 23:31"
9305128,Tangguh Anch., Indonesia,"05/25, 22:09",Xiuyu, China,"06/03, 04:39"
9305128,Xiuyu, China,"06/03, 04:39",Tangguh Anch., Indonesia,"06/11, 03:57"
9306495,Cristobal, Panama,"06/01, 12:54",Lake Charles, United States (USA),"06/08, 21:20"
9307176,As Suways (Suez) Anch., Egypt,"05/26, 07:57",Adriatic LNG LNG Term., Italy,"06/06, 10:32"
9307176,Adriatic LNG LNG Term., Italy,"06/06, 10:32",Port Said Anch., Egypt,"06/11, 08:41"
9307188,Taichung, Taiwan,"05/23, 21:23",Barrow Island, Australia,"06/10, 01:32"
9307205,Freeport, United States (USA),"05/10, 12:25",Escobar LNG LNG Term., Argentina,"06/02, 06:06"
9308431,Ras Laffan, Qatar,"05/25, 03:50",Ras Laffan Anch., Qatar,"06/03, 13:56"
9308431,Ras Laffan Anch., Qatar,"06/03, 13:56",Ras Laffan, Qatar,"06/09, 15:45"
9308479,Withnell Bay, Australia,"05/30, 05:32",Dapeng, China,"06/07, 04:55"
9308481,Dapeng, China,"05/27, 03:19",Dampier Anch., Australia,"06/06, 23:25"
9308481,Dampier Anch., Australia,"06/06, 23:25",Withnell Bay, Australia,"06/09, 07:50"
9311579,Bonny, Nigeria,"05/11, 23:37",Mina' al Ahmadi, Kuwait,"06/02, 05:09"
9315692,Yokkaichi, Japan,"05/25, 02:10",Prigorodnoye, Russia,"05/31, 09:36"
9315692,Prigorodnoye, Russia,"05/31, 09:36",Yanai, Japan,"06/09, 02:17"
9315707,Maojia, China,"05/27, 04:33",Gladstone, Australia,"06/09, 14:04"
9315719,Withnell Bay, Australia,"05/28, 02:19",Nagoya, Japan,"06/07, 23:56"
9317999,Yanai, Japan,"05/19, 02:12",Yung An, Taiwan,"06/04, 23:59"
9320075,Panama Canal Anch. Pacific, Panama,"05/25, 15:10",Freeport Anch., United States (USA),"06/02, 10:47"
9320075,Freeport Anch., United States (USA),"06/02, 10:47",Freeport, United States (USA),"06/05, 12:13"
9320075,Freeport, United States (USA),"06/05, 12:13",Panama Canal Anch. Atlantic, Panama,"06/11, 21:03"
9320075,Panama Canal Anch. Atlantic, Panama,"06/11, 21:03",Panama Canal Anch. Pacific, Panama,"06/12, 22:37"
9320374,Port Said Anch., Egypt,"05/18, 18:04",Taichung, Taiwan,"06/06, 21:16"
9320386,Ras Laffan, Qatar,"05/06, 03:53",Ras Laffan Anch., Qatar,"05/31, 15:05"
9320386,Ras Laffan Anch., Qatar,"05/31, 15:05",Ras Laffan, Qatar,"06/08, 08:48"
9321665,Pengerang, Malaysia,"05/20, 00:42",Gladstone, Australia,"06/01, 04:48"
9321732,Ras Laffan, Qatar,"05/28, 17:15",Port Qasim, Pakistan,"06/04, 07:37"
9321732,Port Qasim, Pakistan,"06/04, 07:37",Sohar Anch., Oman,"06/08, 01:06"
9321732,Sohar Anch., Oman,"06/08, 01:06",Ras Laffan Anch., Qatar,"06/09, 04:19"
9321732,Ras Laffan Anch., Qatar,"06/09, 04:19",Ras Laffan, Qatar,"06/09, 22:43"
9321744,Escobar LNG LNG Term., Argentina,"05/30, 17:44",Montevideo Anch., Uruguay,"06/01, 14:50"
9323675,Mab Tapud, Thailand,"05/31, 23:24",Mab Tapud Anch., Thailand,"06/02, 01:04"
9323687,Dahej, India,"05/23, 08:11",Cape Town Anch., South Africa,"06/09, 07:24"
9324277,Adriatic LNG LNG Term., Italy,"05/16, 15:29",Port Arthur Anch., United States (USA),"06/02, 13:54"
9324277,Port Arthur Anch., United States (USA),"06/02, 13:54",Lake Charles, United States (USA),"06/03, 07:01"
9324332,Sagunto, Spain,"05/28, 12:21",Skikda, Algeria,"06/02, 09:26"
9324332,Skikda, Algeria,"06/02, 09:26",Revithoussa Desfa LNG Term., Greece,"06/06, 06:55"
9324332,Revithoussa Desfa LNG Term., Greece,"06/06, 06:55",Skikda Anch., Algeria,"06/10, 05:48"
9324332,Skikda Anch., Algeria,"06/10, 05:48",Skikda, Algeria,"06/11, 11:09"
9324332,Skikda, Algeria,"06/11, 11:09",Sagunto, Spain,"06/13, 12:27"
9324344,Skikda, Algeria,"05/28, 18:51",Sagunto, Spain,"06/02, 06:15"
9324344,Sagunto, Spain,"06/02, 06:15",Skikda, Algeria,"06/04, 16:57"
9324344,Skikda, Algeria,"06/04, 16:57",Fos sur mer, France,"06/07, 13:12"
9324344,Fos sur mer, France,"06/07, 13:12",Skikda, Algeria,"06/09, 15:52"
9324344,Skikda, Algeria,"06/09, 15:52",Fos sur mer, France,"06/12, 09:53"
9324435,As Suways (Suez) Anch., Egypt,"05/23, 17:33",Chioggia Anch., Italy,"05/30, 17:11"
9324435,Chioggia Anch., Italy,"05/30, 17:11",Adriatic LNG LNG Term., Italy,"06/02, 20:32"
9324435,Adriatic LNG LNG Term., Italy,"06/02, 20:32",Port Said Anch., Egypt,"06/08, 05:31"
9325685,Port Qasim, Pakistan,"05/15, 06:05",Ras Laffan Anch., Qatar,"05/20, 18:03"
9325685,Ras Laffan Anch., Qatar,"05/20, 18:03",Ras Laffan, Qatar,"06/01, 16:40"
9325685,Ras Laffan, Qatar,"06/01, 16:40",As Suways (Suez) Anch., Egypt,"06/11, 10:32"
9325697,Adriatic LNG LNG Term., Italy,"05/08, 10:48",Dumyat, Egypt,"05/12, 09:53"
9325697,Hazira, India,"05/29, 03:52",Ras Laffan Anch., Qatar,"06/03, 13:26"
9325697,Ras Laffan Anch., Qatar,"06/03, 13:26",Ras Laffan, Qatar,"06/08, 11:22"
9325697,Ras Laffan, Qatar,"06/08, 11:22",Ras Laffan Anch., Qatar,"06/09, 18:54"
9325702,Ras Laffan, Qatar,"05/31, 06:28",As Suways (Suez) Anch., Egypt,"06/09, 10:39"
9325893,Tangguh Anch., Indonesia,"05/31, 00:29",Tangguh, Indonesia,"06/01, 00:06"
9325893,Tangguh, Indonesia,"06/01, 00:06",Blang Lancang, Indonesia,"06/08, 09:00"
9326689,Qalhat, Oman,"05/14, 05:14",Dahej, India,"05/21, 18:33"
9326689,Dahej, India,"05/21, 18:33",Mina al Fahl Anch., Oman,"05/26, 04:45"
9329291,Shikama, Japan,"05/28, 01:21",Withnell Bay, Australia,"06/08, 07:59"
9329679,Tianjin Xingang, China,"05/25, 01:25","Bintulu,Sarawak", Malaysia,"06/06, 01:14"
9329679,"Bintulu,Sarawak", Malaysia,"06/06, 01:14","Pasir Gudang,Johor Anch.", Malaysia,"06/08, 03:57"
9329679,"Pasir Gudang,Johor Anch.", Malaysia,"06/08, 03:57",Singapore Anch. 1, Singapore,"06/10, 06:05"
9330745,Kisarazu, Japan,"05/27, 02:42",Singapore Anch. 1, Singapore,"06/07, 06:37"
9331048,Yangkou, China,"05/27, 04:20",Darwin, Australia,"06/08, 03:45"
9331634,Tianjin Xingang, China,"05/27, 01:41",Bontang, Indonesia,"06/10, 16:44"
9331646,Gladstone, Australia,"05/19, 08:43",Hongqiao, China,"06/03, 23:08"
9331658,Gladstone, Australia,"05/09, 13:22","Bintulu,Sarawak", Malaysia,"06/05, 03:56"
9331660,Port Said Anch., Egypt,"05/22, 10:15",Boryeong, Korea,"06/10, 00:04"
9332054,Yung An, Taiwan,"05/23, 23:52",Kitakyushu, Japan,"06/09, 01:44"
9333591,Port Said Anch., Egypt,"05/29, 08:08",Ennore, India,"06/10, 04:23"
9333606,Sabine, United States (USA),"05/15, 13:36",Recalada Anch., Argentina,"06/08, 13:46"
9333606,Recalada Anch., Argentina,"06/08, 13:46",Recalada Anch., Argentina,"06/09, 21:12"
9333618,Escobar LNG LNG Term., Argentina,"05/04, 03:44",Freeport, United States (USA),"06/01, 12:11"
9333620,Point Fortin, Trinidad & Tobago,"05/26, 05:40",Freeport, United States (USA),"06/10, 12:11"
9333632,Tangguh, Indonesia,"05/29, 22:56",Dapeng, China,"06/07, 01:30"
9334076,Ras Laffan, Qatar,"05/25, 17:04",Taichung, Taiwan,"06/09, 21:21"
9334284,Jakarta Terminal Anch., Indonesia,"05/22, 02:04",Tangguh Anch., Indonesia,"06/09, 22:53"
9334284,Tangguh Anch., Indonesia,"06/09, 22:53",Tangguh, Indonesia,"06/10, 06:54"
9336737,Tianjin Xingang, China,"05/16, 01:45",Dampier Anch., Australia,"06/02, 01:05"
9336737,Dampier Anch., Australia,"06/02, 01:05",Withnell Bay, Australia,"06/04, 14:52"
9336749,Freeport, United States (USA),"05/05, 12:17",Dunkerque, France,"05/22, 09:55"
9336749,Dunkerque, France,"05/22, 09:55",Freeport Anch., United States (USA),"06/05, 13:55"
9336749,Freeport Anch., United States (USA),"06/05, 13:55",Freeport, United States (USA),"06/07, 13:56"
9337705,Ras Laffan, Qatar,"05/03, 20:08",Mab Tapud, Thailand,"05/22, 23:25"
9337705,Mab Tapud, Thailand,"05/22, 23:25",Singapore Anch. 1, Singapore,"05/26, 03:13"
9337705,Singapore Anch. 1, Singapore,"05/26, 03:13",Ras Laffan Anch., Qatar,"06/05, 06:08"
9337705,Ras Laffan Anch., Qatar,"06/05, 06:08",Ras Laffan, Qatar,"06/07, 11:49"
9337705,Ras Laffan, Qatar,"06/07, 11:49",Ras Laffan Anch., Qatar,"06/08, 23:56"
9337717,Mab Tapud, Thailand,"05/28, 22:19",Ras Laffan, Qatar,"06/10, 03:47"
9337729,Port Said Anch., Egypt,"05/25, 10:09",Ras Laffan Anch., Qatar,"06/03, 11:22"
9337729,Ras Laffan Anch., Qatar,"06/03, 11:22",Ras Laffan, Qatar,"06/08, 20:14"
9337731,Port Said Anch., Egypt,"05/26, 14:44",Ras Laffan Anch., Qatar,"06/03, 19:59"
9337731,Ras Laffan Anch., Qatar,"06/03, 19:59",Ras Laffan, Qatar,"06/07, 15:37"
9337743,Singapore Anch. 1, Singapore,"05/31, 04:23",Ras Laffan Anch., Qatar,"06/11, 01:04"
9337743,Ras Laffan Anch., Qatar,"06/11, 01:04",Ras Laffan, Qatar,"06/11, 19:35"
9337951,Sabine, United States (USA),"05/24, 05:30",Port Said Anch., Egypt,"06/12, 14:13"
9337963,Sohar Anch., Oman,"05/29, 19:46",Ras Laffan Anch., Qatar,"05/31, 02:05"
9337963,Ras Laffan Anch., Qatar,"05/31, 02:05",Ras Laffan, Qatar,"06/01, 19:04"
9337987,Ras Laffan, Qatar,"05/16, 09:12",Kisarazu, Japan,"06/05, 00:06"
9337987,Kisarazu, Japan,"06/05, 00:06",Singapore Anch. 1, Singapore,"06/13, 01:26"
9338266,Ras Laffan, Qatar,"05/23, 19:13",Malta Bunkering Area 3, Malta,"06/05, 07:11"
9338266,Malta Bunkering Area 3, Malta,"06/05, 07:11",Malta Anch., Malta,"06/05, 20:03"
9338797,Panama Canal Anch. Pacific, Panama,"05/11, 15:38",Sabine, United States (USA),"06/05, 13:12"
9338929,Shikama, Japan,"05/19, 02:19",Dalian, China,"06/03, 05:39"
9338955,Oita, Japan,"05/09, 00:39",Niigata, Japan,"06/03, 01:03"
9338955,Niigata, Japan,"06/03, 01:03",Gwangyang, Korea,"06/10, 23:54"
9339260,Barcelona, Spain,"05/11, 23:39",Port Said Anch., Egypt,"06/10, 08:05"
9341299,KinNakagusuku, Japan,"04/11, 23:05",Yokohama, Japan,"05/11, 23:11"
9341689,Tieshan, China,"05/22, 04:24",Barrow Island, Australia,"06/05, 01:07"
9342487,Experience FPSO, Brazil,"05/27, 14:16",Corpus Christi Anch., United States (USA),"06/08, 19:19"
9342487,Corpus Christi Anch., United States (USA),"06/08, 19:19",Ingleside, United States (USA),"06/09, 09:29"
9343106,Pyeongtaek, Korea,"05/13, 21:11",Yokkaichi, Japan,"06/07, 01:18"
9349007,Tangguh Anch., Indonesia,"05/12, 09:24",Singapore Anch. 1, Singapore,"06/04, 22:33"
9349019,Tangguh Anch., Indonesia,"05/21, 00:20",Tianjin Xingang, China,"06/01, 02:11"
9350927,Singapore Anch. 1, Singapore,"05/18, 00:34",Barrow Island, Australia,"06/06, 05:15"
9351971,Withnell Bay, Australia,"05/22, 07:52",Yokohama, Japan,"06/05, 00:37"
9352860,Port Said Anch., Egypt,"05/21, 15:39",Hazira, India,"06/08, 09:17"
9355264,Singapore Anch. 1, Singapore,"05/25, 03:02",Wheatstone LNG Term., Australia,"06/06, 11:36"
9355379,Tangguh Anch., Indonesia,"04/25, 00:37",Tangguh Anch., Indonesia,"06/02, 00:28"
9360790,Swinoujscie, Poland,"05/21, 06:25",Port Said Anch., Egypt,"06/02, 15:11"
9360817,Singapore Anch. 3, Singapore,"05/20, 18:58",Ras Laffan Anch., Qatar,"05/30, 11:12"
9360817,Ras Laffan Anch., Qatar,"05/30, 11:12",Ras Laffan, Qatar,"06/04, 06:47"
9360817,Ras Laffan, Qatar,"06/04, 06:47",Ras Laffan Anch., Qatar,"06/05, 18:07"
9360829,Singapore Anch. 1, Singapore,"05/27, 08:51",Ras Laffan Anch., Qatar,"06/07, 02:26"
9360831,Ras Laffan, Qatar,"05/24, 17:38",As Suways (Suez) Anch., Egypt,"06/02, 10:15"
9360831,As Suways (Suez) Anch., Egypt,"06/02, 10:15",Malta Anch., Malta,"06/06, 10:00"
9360843,Ras Laffan, Qatar,"05/17, 12:41",Gaolan, China,"06/03, 03:34"
9360843,Gaolan, China,"06/03, 03:34",Singapore Anch. 1, Singapore,"06/09, 08:25"
9360855,Ras Laffan, Qatar,"05/23, 09:11",Mab Tapud, Thailand,"06/06, 06:50"
