IMO,Port,Country,Arrival,Departure,In Port
9831220,Corpus Christi Anch., United States (USA),"04/14, 10:38","04/15, 19:53",1d 9h
9831220,Ingleside, United States (USA),"04/15, 22:03","04/17, 01:21",1d 3h
9831220,Sines, Portugal,"04/28, 06:03","04/29, 11:25",1d 5h
9834296,Zeebrugge, Belgium,"02/26, 03:12","02/27, 15:31",1d 12h
9834296,Port Said Anch., Egypt,"03/06, 19:29","03/07, 03:42",8h 13m
9834296,As Suways (Suez) Anch., Egypt,"03/07, 17:36","03/10, 16:16",2d 22h
9834296,Anjeong, Korea,"03/28, 04:09","03/29, 02:32",22h 22m
9834296,As Suways (Suez) Anch., Egypt,"04/18, 15:27","04/19, 05:08",13h 40m
9834296,Antwerpen Anch., Belgium,"05/01, 09:40","05/02, 10:10",1d
9834296,Zeebrugge, Belgium,"05/02, 12:36","05/03, 14:07",1d 1h
9834301,As Suways (Suez) Anch., Egypt,"02/18, 21:12","02/19, 05:28",8h 15m
9834301,Antwerpen Anch., Belgium,"02/28, 10:34","03/01, 20:21",1d 9h
9834301,Zeebrugge, Belgium,"03/01, 22:36","03/04, 11:27",2d 12h
9834301,Port Said Anch., Egypt,"03/12, 07:59","03/13, 04:01",20h 2m
9834301,Tianjin Xingang, China,"04/01, 02:19","04/02, 06:45",1d 4h
9834301,As Suways (Suez) Anch., Egypt,"04/24, 06:50","04/25, 04:04",21h 13m
9834301,Antwerpen Anch., Belgium,"05/06, 07:11","05/08, 11:11",2d 4h
9834301,Zeebrugge, Belgium,"05/08, 13:32","05/09, 20:43",1d 7h
9834313,Tianjin Xingang, China,"02/27, 02:08","02/28, 06:45",1d 4h
9834313,Singapore Anch. 3, Singapore,"03/06, 17:28","03/07, 06:36",13h 7m
9834313,As Suways (Suez) Anch., Egypt,"03/18, 06:05","03/19, 04:12",22h 7m
9834313,Zeebrugge, Belgium,"03/27, 01:49","03/28, 03:47",1d 1h
9834313,Caofeidian, China,"04/26, 02:09","04/27, 07:54",1d 5h
9834325,Murmansk, Russia,"03/01, 16:54","03/01, 23:00",6h 5m
9834325,Milford Haven, United Kingdom (UK),"03/07, 16:13","03/08, 20:47",1d 4h
9834325,Port Said Anch., Egypt,"04/09, 13:28","04/10, 03:28",14h
9834325,Anjeong, Korea,"04/29, 04:15","04/30, 02:41",22h 25m
9844863,Withnell Bay, Australia,"02/19, 01:27","02/20, 07:49",1d 6h
9844863,Busan Anch., Korea,"03/05, 00:21","03/06, 04:50",1d 4h
9844863,Withnell Bay, Australia,"03/28, 02:13","03/29, 05:05",1d 2h
9844863,Dampier Anch., Australia,"03/29, 07:12","03/29, 09:46",2h 34m
9844863,Naoetsu, Japan,"04/10, 23:43","04/12, 00:42",1d
9844863,Wheatstone LNG Term., Australia,"04/24, 02:05","04/25, 01:12",23h 6m
9844863,Yung An, Taiwan,"05/06, 23:59","05/07, 23:38",23h 39m
9845013,Port Arthur Anch., United States (USA),"03/12, 23:44","03/14, 16:00",1d 16h
9845013,Sabine, United States (USA),"03/14, 19:27","03/16, 17:01",1d 21h
9845013,Barcelona, Spain,"03/31, 04:32","04/01, 07:31",1d 2h
9845013,Corpus Christi Anch., United States (USA),"04/16, 16:12","04/17, 01:33",9h 21m
9845013,Ingleside, United States (USA),"04/17, 04:44","04/18, 12:54",1d 8h
9845013,Fos sur mer, France,"05/09, 09:21","05/10, 15:23",1d 6h
9845764,Houston Anch., United States (USA),"02/25, 22:43","02/27, 08:08",1d 9h
9845764,Port Arthur Anch., United States (USA),"02/27, 14:53","03/01, 21:44",2d 6h
9845764,Sabine, United States (USA),"03/02, 02:02","03/02, 23:09",21h 6m
9845764,Houston Anch., United States (USA),"04/03, 19:16","04/04, 23:06",1d 3h
9845764,Lake Charles, United States (USA),"04/05, 16:11","04/06, 20:01",1d 3h
9845764,Fos sur mer, France,"04/19, 17:48","04/20, 19:50",1d 2h
9845764,Arzew, Algeria,"04/22, 11:40","04/23, 15:49",1d 4h
9845764,Fos sur mer, France,"04/24, 23:54","04/26, 00:43",1d
9845764,Freeport, United States (USA),"05/09, 13:26","05/10, 19:44",1d 6h
9845776,Caofeidian, China,"02/20, 02:03","02/21, 05:48",1d 3h
9845776,Sabine, United States (USA),"04/11, 07:35","04/12, 11:06",1d 3h
9845788,Port Arthur Anch., United States (USA),"03/12, 23:10","03/17, 10:55",4d 11h
9845788,Sabine, United States (USA),"03/17, 14:36","03/19, 08:08",1d 17h
9845788,Panama Canal Anch. Atlantic, Panama,"03/23, 11:09","03/26, 09:27",2d 22h
9845788,Pyeongtaek, Korea,"04/18, 00:56","04/19, 00:18",23h 22m
9849887,Altamira Anch., Mexico,"03/05, 16:19","03/11, 15:48",5d 23h
9849887,Altamira Anch., Mexico,"03/11, 17:10","03/12, 17:52",1d
9849887,Fos sur mer, France,"03/31, 07:58","04/01, 14:25",1d 6h
9849887,Sabine, United States (USA),"04/16, 10:22","04/17, 12:59",1d 2h
