Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Date scraping,Date position
PSKOV,9630028,636016229,Liberia,300,46,113876,93152,ATLANTIC OCEAN FO,"Apr 7, 23:00",9.4,6.22171 S/105.5405 E,245.6°, 15.3 kn,2021-03-19,"Mar 15, 2021 18:39 UTC"
SCF MITRE,9654880,636016378,Liberia,300,46,113876,93585,FOR ORDERS,"Apr 4, 00:01",11.7,32.65452 S/71.77359 W,334.7°, 11.4 kn,2021-03-19,"Feb 28, 2021 19:48 UTC"
SCF MELAMPUS,9654878,636016376,Liberia,300,46,113876,93508,GLADSTONE / AUGLT,"Mar 18, 02:00",9.4,23.86333 S/151.62821 E,255.5°, 0.4 kn,2021-03-19,"Mar 19, 2021 21:13 UTC"
VELIKIY NOVGOROD,9630004,636016219,Liberia,300,46,113876,93486,INDIAN OC. FOR ORDER,"Apr 13, 21:01",11.5,33.80217 S/17.88227 E,274.2°, 16.1 kn,2021-03-19,"Mar 1, 2021 12:55 UTC"
GLOBAL ENERGY,9845013,538008899,Marshall Islands,295,46,113822,96000,TBC,"Mar 31, 00:01",11.5,25.70722 N/76.96394 W,63.4°, 15.1 kn,2021-03-19,"Mar 19, 2021 09:43 UTC"
GLOBAL STAR,9859741,538009028,Marshall Islands,295,46,113822,95000,"ZHOUSHAN, CHINA","Mar 23, 22:00",11.2,23.96387 S/152.11203 E,97.4°, 19.1 kn,2021-03-19,"Mar 13, 2021 12:31 UTC"
MINERVA PSARA,9854363,215865000,Malta,295,46,113817,93500,FOR ORDERS,"Mar 23, 05:00",9.4,37.50838 N/28.98299 W,253.4°, 17.5 kn,2021-03-19,"Mar 14, 2021 05:07 UTC"
MARAN GAS ANDROS,9810379,241670000,Greece,295,46,113793,96000,FOR ORDERS,"Apr 25, 21:00",11.2,27.57007 N/96.58488 W,119.8°, 17.5 kn,2021-03-19,"Mar 19, 2021 08:50 UTC"
MARAN GAS SPETSES,9767950,241579000,Greece,295,46,113763,94945,BARROW ISLAND.AUS,"Mar 25, 22:00",10.2,36.91716 N/126.02964 E,204.2°, 14.0 kn,2021-03-19,"Mar 15, 2021 01:20 UTC"
MARAN GAS CHIOS,9753014,241636000,Greece,295,46,113763,94945,FOR ORDERS,"Mar 22, 18:00",11.4,26.32438 N/79.42792 W,357.8°, 19.0 kn,2021-03-19,"Mar 13, 2021 00:32 UTC"
WOODSIDE CHANEY,9753026,241637000,Greece,295,46,113763,95000,AU DAM,"Mar 18, 06:30",9.9,20.60478 S/116.75512 E,268.8°, 0.1 kn,2021-03-19,"Mar 19, 2021 09:39 UTC"
MARIA ENERGY,9659725,636017445,Liberia,290,46,113664,93301,SETUBAL,"Apr 1, 00:00",9.0,35.95673 N/5.60954 W,256.8°, 9.0 kn,2021-03-19,"Mar 19, 2021 21:13 UTC"
MARAN GAS ACHILLES,9682588,241365000,Greece,290,46,113502,92713,FOR ORDERS,"Apr 6, 01:30",11.7,19.28101 N/64.9803 W,99.4°, 17.8 kn,2021-03-19,"Mar 13, 2021 00:55 UTC"
MARAN GAS LETO,9682576,241355000,Greece,290,46,113502,81739,FOR ORDERS,"Mar 22, 00:01",9.0,22.27516 N/119.7402 E,209.2°, 19.0 kn,2021-03-19,"Mar 18, 2021 02:38 UTC"
MARAN GAS ULYSSES,9709491,241404000,Greece,290,46,113502,92621,FOR ORDERS,"Mar 28, 10:00",9.2,49.7595 N/11.45271 W,252.4°, 14.0 kn,2021-03-19,"Mar 17, 2021 17:26 UTC"
MARAN GAS PERICLES,9709489,241424000,Greece,290,46,113502,92776,FOR ORDERS,"Mar 21, 14:01",9.2,34.53885 N/139.50501 E,200.6°, 13.2 kn,2021-03-19,"Mar 9, 2021 07:45 UTC"
MARAN GAS AGAMEMNON,9682590,241405000,Greece,290,46,113502,92762,AUSTRALIA,"Mar 30, 06:00",9.0,34.38924 N/137.09822 E,167.3°, 14.8 kn,2021-03-19,"Mar 17, 2021 04:38 UTC"
FLEX COURAGEOUS,9825439,538008206,Marshall Islands,295,46,113428,95618,FOR ORDERS,"Mar 1, 12:00",9.9,9.38929 N/79.96198 W,292.5°, 0.0 kn,2021-03-19,"Mar 19, 2021 21:13 UTC"
CESI LIANYUNGANG,9672818,477151600,Hong Kong,290,46,113397,95713,GLADSTONE AUS,"Mar 29, 01:30",9.3,36.22017 N/124.15216 E,175.6°, 19.1 kn,2021-03-19,"Mar 18, 2021 09:23 UTC"
CESI GLADSTONE,9672820,477348600,Hong Kong,290,46,113397,95638,YUEDONG,"Mar 21, 02:00",11.3,23.92613 S/151.94026 E,98.8°, 16.6 kn,2021-03-19,"Mar 12, 2021 10:20 UTC"
CESI QINGDAO,9672832,477584200,Hong Kong,290,46,113397,95641,GLADSTONE.AUS,"Mar 31, 14:00",9.4,38.75403 N/117.71498 E,164.6°, 0.1 kn,2021-03-19,"Mar 19, 2021 10:52 UTC"
CESI WENZHOU,9694751,477121700,Hong Kong,290,46,113397,95530,BHY CN,"Mar 30, 22:00",9.3,23.76276 S/151.1847 E,111.6°, 0.0 kn,2021-03-19,"Mar 19, 2021 21:14 UTC"
CESI BEIHAI,9672844,477884800,Hong Kong,290,46,113397,95599,CN SHENZHEN,"Mar 25, 04:30",11.3,23.23975 S/151.61618 E,14.1°, 17.5 kn,2021-03-19,"Mar 14, 2021 11:42 UTC"
BAHRAIN SPIRIT,9771080,408919000,Bahrain,295,46,113274,95289,FAR EAST FOR ORDERS,"Mar 31, 14:00",11.7,8.35744 N/79.45741 W,179.8°, 17.5 kn,2021-03-19,"Mar 9, 2021 02:03 UTC"
OAK SPIRIT,9681699,311000247,Bahamas,295,46,113263,95452,FOR ORDERS,"Apr 15, 18:30",10.9,24.00421 N/87.1154 W,126.0°, 17.1 kn,2021-03-19,"Mar 17, 2021 00:52 UTC"
MEGARA,9770945,311000478,Bahamas,295,46,113263,95212,-,-,9.7,24.53446 N/57.88216 E,123.1°, 19.3 kn,2021-03-19,"Mar 4, 2021 08:22 UTC"
MAGDALA,9770921,311000476,Bahamas,295,46,113263,95449,US NSS,"Mar 20, 11:00",9.7,27.22916 N/90.99009 W,284.7°, 15.4 kn,2021-03-19,"Mar 19, 2021 21:12 UTC"
TORBEN SPIRIT,9721401,311000520,Bahamas,295,46,113263,95253,OMMCT,"Mar 26, 11:00",9.6,6.14062 N/96.75945 E,280.1°, 15.6 kn,2021-03-19,"Mar 18, 2021 19:04 UTC"
MUREX,9705641,311000475,Bahamas,295,46,113263,95235,-,-,9.4,22.11147 N/119.87261 E,177.8°, 13.4 kn,2021-03-19,"Mar 16, 2021 04:23 UTC"
MACOMA,9705653,311000472,Bahamas,295,46,113263,95253,FOR ORDERS,"Apr 16, 05:00",9.3,22.28892 N/122.24767 E,198.5°, 13.4 kn,2021-03-19,"Mar 16, 2021 19:31 UTC"
MYRINA,9770933,311000477,Bahamas,295,46,113263,95378,-,-,9.5,34.81259 N/129.18917 E,232.2°, 15.3 kn,2021-03-19,"Mar 8, 2021 16:59 UTC"
FLEX ENDEAVOUR,9762261,215386000,Malta,295,46,113049,95803,-,"Mar 15, 00:01",9.6,33.88722 N/134.89872 E,176.1°, 14.2 kn,2021-03-19,"Mar 7, 2021 09:47 UTC"
MARAN GAS VERGINA,9732369,241467000,Greece,295,46,113037,95194,PACIFIC OCEAN,"Mar 21, 21:00",9.4,33.23698 N/124.4556 E,237.1°, 10.9 kn,2021-03-19,"Mar 5, 2021 09:12 UTC"
MARAN GAS ROXANA,9701229,241415000,Greece,295,46,113037,95194,FOR ORDERS,"Apr 6, 06:00",9.4,16.87296 N/68.45341 E,215.6°, 15.1 kn,2021-03-19,"Mar 19, 2021 10:46 UTC"
MARAN GAS AMPHIPOLIS,9701217,241414000,Greece,295,46,113037,95194,FOR_ORDERS,"Apr 9, 00:00",12.3,32.68429 S/71.63541 W,330.6°, 11.2 kn,2021-03-19,"Mar 8, 2021 13:18 UTC"
TESSALA,9761243,605076060,Algeria,291,46,112867,94575,DZBTA,"Mar 22, 22:00",9.3,43.32792 N/4.97398 E,165.7°, 12.5 kn,2021-03-19,"Mar 19, 2021 21:13 UTC"
OUGARTA,9761267,605076070,Algeria,291,46,112867,94575,-,"Mar 22, 08:25",9.0,36.63748 N/8.50823 W,281.6°, 11.0 kn,2021-03-19,"Mar 19, 2021 21:13 UTC"
PRACHI,9723801,563178000,Singapore,295,46,112791,90328,KR YOS  >> AU BWB,"Mar 21, 00:01",9.0,33.63612 N/126.61478 E,71.7°, 14.8 kn,2021-03-19,"Mar 9, 2021 22:17 UTC"
GASLOG GIBRALTAR,9707510,310757000,Bermuda,291,46,112764,87981,NGBON>ESLPA,"Mar 22, 20:00",11.4,9.31482 N/21.13928 W,304.7°, 17.9 kn,2021-03-19,"Mar 19, 2021 21:14 UTC"
GASLOG GENEVA,9707508,310755000,Bermuda,291,46,112764,87760,BONNY NG,"Mar 26, 08:00",9.6,33.48341 S/17.79465 E,315.8°, 11.9 kn,2021-03-19,"Mar 18, 2021 11:59 UTC"
GASLOG GREECE,9687019,310732000,Bermuda,291,46,112764,87975,ATLANTIC BASIN,"Apr 1, 05:00",9.5,2.94045 N/100.88905 E,312.5°, 12.9 kn,2021-03-19,"Mar 12, 2021 07:35 UTC"
GASLOG GLASGOW,9687021,310744000,Bermuda,291,46,112764,87889,XZPAN,"Apr 1, 13:00",9.7,37.30961 N/138.20759 E,327.2°, 12.9 kn,2021-03-19,"Mar 8, 2021 01:40 UTC"
LNG JAMAL,9200316,432278000,Japan,290,46,112090,72692,GALLE,"Mar 18, 02:30",9.4,5.95796 N/80.06379 E,293.3°, 11.5 kn,2021-03-19,"Mar 18, 2021 11:32 UTC"
GOLAR MAZO,9165011,636011170,Liberia,290,47,111835,76210,-,-,9.0,5.14819 N/115.36451 E,231.0°, 0.1 kn,2021-03-19,"Apr 17, 2020 09:46 UTC"
CASTILLO DE SANTISTEBAN,9433717,215739000,Malta,300,46,111665,93796,PACIFIC  BASIN,"Mar 25, 02:00",9.6,37.86194 N/123.39499 E,115.0°, 17.1 kn,2021-03-19,"Mar 19, 2021 19:04 UTC"
PACIFIC NOTUS,9247962,311573000,Bahamas,290,46,111553,72490,JP_KWS,"Mar 25, 00:45",11.3,20.78525 S/114.86285 E,118.0°, 14.5 kn,2021-03-19,"Mar 11, 2021 19:19 UTC"
PACIFIC EURUS,9264910,308937000,Bahamas,290,46,111539,68541,AU DRW,"Mar 18, 21:30",9.8,12.50865 S/130.9139 E,56.0°, 0.0 kn,2021-03-19,"Mar 19, 2021 21:13 UTC"
ABADI,9210828,508011000,Brunei,290,46,111461,72758,SG PGBG,"Mar 20, 00:00",9.1,7.7792 N/103.41981 E,134.7°, 13.1 kn,2021-03-19,"Mar 19, 2021 04:52 UTC"
ETYFA PROMETHEAS,9236614,564644000,Cyprus,290,46,111459,72781,FOR ORDERS,"Aug 6, 22:00",9.0,31.37447 N/121.69488 E,148.0°, 0.0 kn,2021-03-19,"Mar 19, 2021 21:14 UTC"
BW TATIANA,9236626,538008991,Marshall Islands,290,46,111459,72781,-,-,,1.30362 N/103.65119 E,201.1°, 0.1 kn,2021-03-19,"Dec 22, 2020 03:54 UTC"
GEMMATA,9253222,563574000,Singapore,290,46,111459,72727,-,-,10.1,10.9581 N/61.62766 W,60.8°, 15.0 kn,2021-03-19,"Mar 18, 2021 01:40 UTC"
SOHAR LNG,9210816,357186000,Panama,298,46,111203,71997,OM DQM,"Feb 18, 03:30",9.6,19.74491 N/57.83238 E,265.7°, 0.1 kn,2021-03-19,"Feb 25, 2021 09:54 UTC"
DUKHAN,9265500,636012400,Liberia,298,46,111162,72533,DAMPIER AUS,"Mar 24, 21:00",9.1,12.34009 S/130.71467 E,315.7°, 7.5 kn,2021-03-19,"Mar 1, 2021 06:45 UTC"
AL RAYYAN,9086734,431901000,Japan,298,46,111128,72430,QA_RLF,"Mar 17, 09:00",9.0,25.85497 N/51.79338 E,223.1°, 0.0 kn,2021-03-19,"Mar 19, 2021 21:13 UTC"
RIBERA DEL DUERO KNUTSEN,9477593,259082000,Norway,290,46,111109,96740,USCRP,"Mar 28, 00:01",9.6,36.99055 N/15.32632 W,259.9°, 20.0 kn,2021-03-19,"Mar 16, 2021 21:41 UTC"
AL ZUBARAH,9085649,431881000,Japan,298,46,111079,72557,JP KIJ,"Apr 3, 09:00",11.3,5.79512 N/80.19275 E,188.1°, 14.5 kn,2021-03-19,"Mar 19, 2021 05:22 UTC"
BARCELONA KNUTSEN,9401295,224436000,Spain,290,46,110920,97730,US FPO,"Mar 19, 11:01",9.4,28.93843 N/95.30727 W,135.6°, 0.0 kn,2021-03-19,"Mar 19, 2021 21:12 UTC"
SEVILLA KNUTSEN,9414632,224072000,Spain,290,46,110920,97730,ORDERS,"Apr 11, 11:00",9.4,36.91495 N/126.06506 E,213.9°, 13.8 kn,2021-03-19,"Mar 16, 2021 10:35 UTC"
VALENCIA KNUTSEN,9434266,225420000,Spain,290,46,110920,97730,POINT FORTIN,"Mar 25, 10:00",9.3,37.2329 N/26.54532 W,238.0°, 17.4 kn,2021-03-19,"Mar 18, 2021 20:24 UTC"
SHAHAMAH,9035852,636010085,Liberia,293,46,110895,71931,AWAITING ORDERS,"Mar 22, 00:00",10.4,25.26117 N/56.59374 E,34.2°, 7.0 kn,2021-03-19,"Mar 19, 2021 19:01 UTC"
GHASHA,9038452,636010183,Liberia,293,46,110895,71593,>CN YIU LIAN DD,"Mar 11, 05:05",7.5,22.501 N/113.84506 E,0.0°, 0.0 kn,2021-03-19,"Mar 19, 2021 21:14 UTC"
ISH,9035864,636010329,Liberia,293,46,110895,71564,CN SZX_AE DAS,"Apr 10, 00:00",6.6,21.55987 N/113.81442 E,185.7°, 12.4 kn,2021-03-19,"Mar 15, 2021 10:11 UTC"
AL KHAZNAH,9038440,636010034,Liberia,293,46,110895,71543,IN DAH > AE DAS,"Apr 2, 03:03",9.5,25.27041 N/56.54033 E,338.0°, 0.1 kn,2021-03-19,"Mar 19, 2021 21:13 UTC"
STENA CRYSTAL SKY,9383900,235099946,United Kingdom,298,46,109949,96889,...,"Apr 13, 00:01",9.0,23.34827 N/122.37817 E,14.0°, 17.5 kn,2021-03-19,"Mar 9, 2021 22:24 UTC"
STENA CLEAR SKY,9413327,235100007,United Kingdom,298,46,109949,96811,CL QTV,"Mar 25, 04:00",11.7,8.47702 N/79.45513 W,179.0°, 18.4 kn,2021-03-19,"Mar 19, 2021 00:52 UTC"
EKAPUTRA 1,8706155,525022371,Indonesia,290,46,109281,78988,ID BXT,"Mar 10, 03:00",8.9,5.60393 S/107.51785 E,96.3°, 12.6 kn,2021-03-19,"Mar 6, 2021 06:48 UTC"
METHANE BECKI ANNE,9516129,310597000,Bermuda,291,45,109004,86269,PGBG SG SIN,"Mar 19, 07:00",9.1,1.16895 N/103.70968 E,67.4°, 0.1 kn,2021-03-19,"Mar 19, 2021 21:13 UTC"
METHANE PATRICIA CAMILA,9425277,310606000,Bermuda,291,45,109004,86272,FOR ORDERS,"Mar 26, 22:00",11.3,23.21241 S/151.61618 E,29.8°, 17.8 kn,2021-03-19,"Mar 16, 2021 11:52 UTC"
METHANE JULIA LOUISE,9412880,310584000,Bermuda,290,45,109004,86125,FOR ORDERS,"Mar 25, 21:00",11.6,37.02878 N/126.22177 E,237.6°, 14.1 kn,2021-03-19,"Mar 2, 2021 10:06 UTC"
SERI BALQIS,9331672,533894000,Malaysia,295,47,107633,91198,FALMOUTH,"Mar 18, 13:00",9.6,50.10792 N/5.04977 W,302.0°, 0.1 kn,2021-03-19,"Mar 19, 2021 21:11 UTC"
SERI BALHAF,9331660,533868000,Malaysia,295,47,107633,91201,US FOR ORDER,"Mar 5, 09:00",9.8,38.82882 N/31.33967 W,260.0°, 14.1 kn,2021-03-19,"Mar 19, 2021 14:33 UTC"
ENERGY ATLANTIC,9649328,256647000,Malta,290,46,106771,89766,FAR EAST FOR ORDERS,"Mar 25, 06:00",11.4,1.42439 N/104.49126 E,57.0°, 10.4 kn,2021-03-19,"Mar 18, 2021 13:30 UTC"
TORMAN II,9006681,538008702,Marshall Islands,272,47,106151,67554,-,-,9.1,1.47083 N/103.82905 E,79.0°, 0.0 kn,2021-03-19,"Mar 19, 2021 21:04 UTC"
ADAM LNG,9501186,538005753,Marshall Islands,289,46,105975,90986,FREEPORT USA,"Mar 26, 06:00",9.4,35.65221 N/8.76974 W,263.6°, 14.1 kn,2021-03-19,"Mar 12, 2021 10:10 UTC"
BW PAVILION LEEARA,9640645,565515000,Singapore,289,46,105945,91496,CAMERON ANCHORAGE,"Mar 19, 02:00",9.0,29.25675 N/93.25746 W,252.3°, 0.0 kn,2021-03-19,"Mar 19, 2021 21:11 UTC"
BW PAVILION VANDA,9640437,565513000,Singapore,289,46,105945,91515,CORPUS CHRISTI USA,"Apr 19, 12:00",9.5,1.31298 N/103.32045 E,312.1°, 15.9 kn,2021-03-19,"Mar 16, 2021 16:02 UTC"
CLEAN VISION,9655456,256245000,Malta,289,46,105943,89863,TW_YAN,"Mar 16, 09:00",11.1,21.81204 N/120.00605 E,333.6°, 11.6 kn,2021-03-19,"Mar 17, 2021 23:11 UTC"
CLEAN OCEAN,9637492,538005350,Marshall Islands,289,46,105943,89956,MURMANSK,"Mar 20, 09:00",9.2,70.52464 N/33.1618 E,112.3°, 15.2 kn,2021-03-19,"Mar 16, 2021 03:16 UTC"
CLEAN HORIZON,9655444,256083000,Malta,289,46,105943,89831,CN QDG>EG SUZ,"Mar 27, 14:00",9.3,3.75071 N/100.03878 E,311.0°, 15.6 kn,2021-03-19,"Mar 14, 2021 22:19 UTC"
CLEAN PLANET,9637507,538005351,Marshall Islands,289,46,105943,89848,NLRTM,"Mar 23, 00:01",11.3,52.09571 N/2.62296 E,187.3°, 14.5 kn,2021-03-19,"Mar 19, 2021 21:13 UTC"
GOLAR GLACIER,9654696,538005373,Marshall Islands,289,46,105832,79602,FOR ORDERS,"Apr 15, 00:01",9.6,15.85057 N/88.57778 E,215.7°, 18.2 kn,2021-03-19,"Mar 16, 2021 03:22 UTC"
GOLAR KELVIN,9654701,538005374,Marshall Islands,289,46,105832,90607,FOR ORDERS,"Mar 22, 20:00",9.4,49.09108 N/7.27355 W,241.6°, 14.3 kn,2021-03-19,"Mar 15, 2021 06:29 UTC"
MARAN GAS APOLLONIA,9633422,241275000,Greece,289,46,105773,90434,FOR ORDERS,"Mar 19, 05:00",9.2,27.88007 N/97.26672 W,137.7°, 0.0 kn,2021-03-19,"Mar 19, 2021 21:09 UTC"
MARAN GAS POSIDONIA,9633434,241290000,Greece,289,46,105773,90349,"CAMERON, USA","Apr 18, 11:00",9.2,3.16669 N/100.70411 E,316.2°, 14.5 kn,2021-03-19,"Mar 12, 2021 14:09 UTC"
MARAN GAS SPARTA,9650042,241289000,Greece,289,46,105773,90392,FOR ORDERS,"Mar 26, 22:00",11.3,1.34203 N/104.38786 E,50.3°, 16.2 kn,2021-03-19,"Mar 15, 2021 09:14 UTC"
LNG VESTA,9020766,431642000,Liberia,272,47,105708,68522,-,-,5.4,1.29651 N/103.65775 E,177.9°, 0.1 kn,2021-03-19,"May 8, 2020 06:36 UTC"
SERI BAKTI,9331634,533380000,Malaysia,290,47,105335,90065,AU,"Mar 23, 22:00",9.7,34.3249 N/139.48443 E,218.5°, 14.9 kn,2021-03-19,"Mar 13, 2021 08:28 UTC"
SERI BEGAWAN,9331646,533016000,Malaysia,290,47,105335,89902,GLADSTONE,"Mar 24, 20:00",9.6,1.408 N/104.4875 E,52.0°, 15.2 kn,2021-03-19,"Mar 10, 2021 14:46 UTC"
NORTHWEST SANDPIPER,8913150,503002000,Australia,272,47,105010,66768,JP YAN,"Mar 19, 12:40",11.2,19.06083 S/117.55208 E,26.0°, 13.3 kn,2021-03-19,"Mar 8, 2021 12:01 UTC"
KARMOL LNGT POWERSHIP AFRICA,9043677,636019705,Liberia,272,47,104968,70593,RAFFLES ANCHORAGE,"Mar 19, 08:00",10.1,1.17412 N/103.75928 E,125.0°, 0.1 kn,2021-03-19,"Mar 19, 2021 21:13 UTC"
SERI BIJAKSANA,9331658,533051000,Malaysia,290,47,104881,89953,MY PGG,"Mar 28, 00:00",11.0,23.19955 S/151.64392 E,55.4°, 17.4 kn,2021-03-19,"Mar 17, 2021 12:53 UTC"
SONANGOL SAMBIZANGA,9475600,311027900,Bahamas,291,43,104537,87104,NA WVB>AO LAD,"Mar 21, 15:15",9.5,22.81318 S/14.48298 E,325.9°, 10.8 kn,2021-03-19,"Mar 19, 2021 06:52 UTC"
SONANGOL ETOSHA,9482299,311027800,Bahamas,291,43,104537,87294,AO SZA>PK BQM,"Apr 2, 19:01",11.8,22.63518 S/14.21884 E,295.2°, 16.0 kn,2021-03-19,"Mar 7, 2021 17:17 UTC"
SONANGOL BENGUELA,9482304,311038100,Bahamas,291,43,104537,87169,BR RIO>AO SZA,"Mar 26, 05:05",9.6,7.32283 S/9.82233 E,243.6°, 18.2 kn,2021-03-19,"Mar 2, 2021 02:10 UTC"
ARWA SPIRIT,9339260,538003267,Marshall Islands,285,43,104169,82187,FOR ORDERS,"Apr 1, 00:01",9.3,33.84179 S/18.14708 E,300.6°, 11.0 kn,2021-03-19,"Mar 10, 2021 13:23 UTC"
MERIDIAN SPIRIT,9369904,219061000,Denmark,285,43,104169,81929,SABINE PASS,"Mar 24, 06:00",9.5,35.75414 N/8.27282 W,258.0°, 17.8 kn,2021-03-19,"Mar 12, 2021 14:34 UTC"
MARIB SPIRIT,9336749,538001576,Marshall Islands,285,43,104169,81400,FOR ORDERS,"Mar 24, 15:30",11.2,26.35469 N/79.41425 W,16.8°, 20.8 kn,2021-03-19,"Mar 14, 2021 14:54 UTC"
WOODSIDE DONALDSON,9369899,564629000,Singapore,285,43,104169,82085,AU DAMPIER,"Mar 23, 05:00",9.4,1.43284 N/104.50874 E,49.7°, 14.1 kn,2021-03-19,"Mar 17, 2021 17:41 UTC"
MAGELLAN SPIRIT,9342487,220636000,Denmark,285,43,104169,82265,CORPUS CHRISTI,"Apr 6, 05:00",9.3,24.17184 N/85.0522 W,108.0°, 20.6 kn,2021-03-19,"Feb 25, 2021 21:28 UTC"
METHANE SPIRIT,9336737,311000135,Bahamas,285,43,104169,81400,JP SODESHI,"Mar 23, 00:00",12.1,34.89744 N/129.15317 E,178.7°, 11.2 kn,2021-03-19,"Feb 24, 2021 05:42 UTC"
MARAN GAS EFESSOS,9627497,241291000,Greece,294,44,103928,89711,FOR ORDERS,"Mar 22, 06:00",9.7,32.68304 S/71.66342 W,315.6°, 14.7 kn,2021-03-19,"Mar 19, 2021 16:51 UTC"
WOODSIDE GOODE,9633161,241276000,Greece,294,44,103928,90125,FOR ORDERS,"Mar 23, 00:00",11.1,17.84744 S/118.26542 E,27.1°, 18.2 kn,2021-03-19,"Feb 28, 2021 18:35 UTC"
MARAN GAS DELPHI,9633173,241287000,Greece,294,44,103928,89670,FOR ORDERS,"Mar 25, 00:01",11.5,1.29629 N/104.35641 E,32.3°, 14.3 kn,2021-03-19,"Mar 16, 2021 09:04 UTC"
CORCOVADO LNG,9636711,229471000,Malta,294,44,103905,89624,FOR ORDERS,"Mar 25, 23:01",9.3,20.03689 N/59.42742 E,210.7°, 15.1 kn,2021-03-19,"Mar 17, 2021 10:43 UTC"
KITA LNG,9636723,229581000,Malta,294,44,103902,89752,-,-,9.3,14.42897 N/119.74584 E,0.5°, 10.7 kn,2021-03-19,"Feb 19, 2021 07:07 UTC"
MARAN GAS MYSTRAS,9658238,241350000,Greece,294,44,103893,89269,ATLANTIC FOR ORDERS,"Apr 2, 17:00",9.5,33.76321 S/18.08295 E,308.7°, 12.8 kn,2021-03-19,"Mar 7, 2021 07:18 UTC"
MARAN GAS TROY,9658240,241352000,Greece,294,44,103893,89240,CADIZ SPAIN,"Mar 8, 18:00",9.0,36.52752 N/6.27764 W,219.0°, 0.0 kn,2021-03-19,"Mar 10, 2021 20:14 UTC"
PALU LNG,9636735,229582000,Malta,294,44,103885,89874,FOR ORDERS,"Mar 30, 19:30",11.2,12.39478 S/130.75485 E,320.7°, 11.0 kn,2021-03-19,"Mar 19, 2021 06:08 UTC"
YARI LNG,9636747,229583000,Malta,294,44,103885,89804,AUDRW,"Mar 22, 12:01",9.3,36.11938 N/123.88814 E,171.6°, 18.5 kn,2021-03-19,"Mar 15, 2021 01:17 UTC"
YK SOVEREIGN,9038816,441498000,Korea,274,47,103764,72020,KRINC,"Mar 27, 02:00",10.5,23.36836 S/151.58094 E,16.8°, 16.1 kn,2021-03-19,"Mar 15, 2021 00:19 UTC"
HYUNDAI UTOPIA,9018555,441223000,Korea,274,47,103764,71909,KRTYG=>IDLUW,"Mar 22, 00:00",9.8,34.78452 N/128.9497 E,343.0°, 13.7 kn,2021-03-19,"Mar 14, 2021 00:43 UTC"
BW BRUSSELS,9368314,563089400,Singapore,295,43,103670,89452,ALGECIRAS OPL,"Mar 18, 15:00",9.2,35.91596 N/6.9515 W,270.0°, 18.0 kn,2021-03-19,"Mar 18, 2021 21:09 UTC"
NORTH ENERGY,8014409,538007753,Marshall Islands,283,45,102390,67055,-,-,6.7,31.71652 N/121.11564 E,18.8°, 0.2 kn,2021-03-19,"Mar 12, 2020 06:58 UTC"
8110203,Not in Service since 2018,538007892,LNG Tanker,67219,283,,102390,LINGGI,"Feb 20, 01:00",9.6,2.36594 N/101.91291 E,21.0°, 0.0 kn,2021-03-19,"Mar 19, 2021 20:59 UTC"
WILFORCE,9627954,258702000,Norway,290,44,102315,87750,CNZOS,"Mar 28, 22:00",11.2,1.31302 N/104.36253 E,48.4°, 12.7 kn,2021-03-19,"Mar 11, 2021 04:53 UTC"
WILPRIDE,9627966,258703000,Norway,290,44,102315,87677,OPEN SEA FOR ORDER,"Apr 14, 23:00",11.4,13.59514 N/61.18573 W,108.1°, 17.6 kn,2021-03-19,"Mar 16, 2021 15:49 UTC"
GOLAR ICE,9637325,538004976,Marshall Islands,281,43,102200,81534,FOR ORDERS,"Mar 19, 15:00",9.1,36.58424 N/6.8776 W,279.7°, 9.7 kn,2021-03-19,"Mar 19, 2021 21:14 UTC"
GOLAR SNOW,9635315,538004981,Marshall Islands,281,43,102200,82200,-,-,9.2,39.2268 N/18.13379 E,220.0°, 15.1 kn,2021-03-19,"Mar 19, 2021 21:09 UTC"
GOLAR CRYSTAL,9624926,538004985,Marshall Islands,286,43,102100,82058,FOR ORDERS,"Apr 1, 00:01",11.5,26.09685 N/79.37488 W,46.5°, 16.7 kn,2021-03-19,"Mar 12, 2021 07:34 UTC"
GOLAR FROST,9655042,538004975,Marshall Islands,281,43,102100,82005,FOR ORDERS,"Apr 1, 23:00",11.9,20.44704 S/55.29336 E,58.2°, 15.3 kn,2021-03-19,"Mar 15, 2021 12:42 UTC"
GOLAR SEAL,9624914,538004980,Marshall Islands,281,43,102100,82048,FUJAIRAH FOR ORDER,"Mar 28, 21:01",9.5,1.37001 N/103.25003 E,303.6°, 14.0 kn,2021-03-19,"Mar 19, 2021 06:24 UTC"
GOLAR CELSIUS,9626027,538004984,Marshall Islands,281,43,102100,82029,FOR ORDERS,"Mar 27, 12:00",9.1,35.17045 N/14.15507 W,257.0°, 11.3 kn,2021-03-19,"Mar 12, 2021 08:07 UTC"
GOLAR BEAR,9626039,538004983,Marshall Islands,281,43,102100,82017,ATLANTIC-FOR ORDERS,"Mar 6, 20:00",9.4,49.32322 N/5.36409 W,250.0°, 10.3 kn,2021-03-19,"Mar 11, 2021 22:45 UTC"
