Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Date scraping,Date position
GAIL BHUWAN,9877145,209997000,Cyprus,-,-,119891,98300,CH BUOY,"Mar 18, 16:00",9.5,36.79933 N/75.65148 W,273.2°, 3.5 kn,2021-03-19,"Mar 19, 2021 19:45 UTC"
LNG SCHNEEWEISSCHEN,9771913,357315000,Panama,298,48,119660,98747,ES FRO,"Mar 26, 00:01",11.5,26.14375 N/79.41111 W,55.2°, 20.0 kn,2021-03-19,"Mar 17, 2021 09:23 UTC"
ENERGY FRONTIER,9245720,432420000,Japan,290,49,119393,73795,JP HTC,"Mar 22, 22:30",11.3,34.91188 N/141.27375 E,86.1°, 10.6 kn,2021-03-19,"Mar 11, 2021 12:09 UTC"
ENERGY ADVANCE,9269180,432495000,Japan,290,49,119233,73739,JP YOK XX OHG,"Mar 28, 22:30",11.2,20.59123 S/116.76268 E,88.1°, 0.0 kn,2021-03-19,"Mar 19, 2021 21:11 UTC"
LNG DREAM,9277620,309065000,Bahamas,290,49,118876,80889,RU PGN,"Mar 20, 05:00",9.9,34.98924 N/141.34364 E,75.7°, 11.1 kn,2021-03-19,"Mar 6, 2021 09:54 UTC"
ENERGY NAVIGATOR,9355264,432634000,Japan,290,49,118842,73640,JP SMA,"Mar 20, 00:00",11.3,35.76639 N/141.32338 E,4.0°, 14.6 kn,2021-03-19,"Mar 19, 2021 05:54 UTC"
TAITAR NO. 4,9403657,351767000,Panama,290,49,118634,77053,TW TXG>OM SOH,"Mar 22, 08:00",9.9,15.11463 N/69.31759 E,312.9°, 17.2 kn,2021-03-19,"Mar 19, 2021 20:56 UTC"
TAITAR NO. 1,9403669,371846000,Panama,290,49,118634,77089,"RAS LAFFAN,QATAR","Mar 19, 20:00",9.8,25.93732 N/51.61349 E,161.1°, 0.1 kn,2021-03-19,"Mar 19, 2021 21:12 UTC"
TAITAR NO. 3,9403671,372195000,Panama,290,49,118634,77089,TAICHUNG,"Mar 23, 22:00",11.4,1.42501 N/104.48931 E,57.0°, 17.4 kn,2021-03-19,"Mar 19, 2021 12:18 UTC"
TAITAR NO. 2,9403645,372307000,Panama,290,49,118634,77089,TAICHUNG TAIWAN,"Mar 17, 22:00",11.3,22.33516 N/119.72732 E,189.8°, 18.8 kn,2021-03-19,"Mar 19, 2021 09:58 UTC"
IBRI LNG,9317315,355580000,Panama,290,49,118608,77282,QA RLF,"Mar 24, 06:00",10.0,2.91041 N/100.93013 E,342.7°, 14.8 kn,2021-03-19,"Mar 16, 2021 12:42 UTC"
ARCTIC VOYAGER,9275335,309998000,Bahamas,290,49,118571,75485,USNSS,"Mar 27, 12:00",10.4,35.95813 N/10.48402 W,270.0°, 15.9 kn,2021-03-19,"Mar 10, 2021 09:25 UTC"
