Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,QATAR,"Mar 20, 16:16",9.3,25.85584 N/51.85954 E,15.3°, 0.3 kn,2021-03-21,"Mar 21, 2021 09:35 UTC"
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,GI GIB,"Mar 22, 05:06",9.0,37.68819 N/9.90282 W,167.2°, 17.5 kn,2021-03-21,"Mar 21, 2021 10:25 UTC"
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"PYEONGTAEK,S.KOREA","Mar 29, 21:00",12.0,26.48562 N/56.34043 E,59.0°, 18.6 kn,2021-03-21,"Mar 14, 2021 19:16 UTC"
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,SINGAPORE PGBG,"Mar 21, 04:04",9.5,1.16739 N/103.70986 E,250.3°, 0.3 kn,2021-03-21,"Mar 21, 2021 10:20 UTC"
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,QA RLF>GB MLF,"Mar 23, 00:01",12.0,47.53857 N/8.14713 W,15.0°, 4.4 kn,2021-03-21,"Mar 21, 2021 10:07 UTC"
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,FAR EAST,"Mar 27, 21:11",12.2,1.42178 N/104.49813 E,49.0°, 16.0 kn,2021-03-21,"Mar 21, 2021 10:00 UTC"
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,UK>MLF,"Mar 26, 01:01",12.2,37.6182 N/10.64776 E,289.0°, 15.2 kn,2021-03-21,"Mar 20, 2021 16:35 UTC"
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,QATAR RASLAFFAN,"Mar 20, 08:08",9.4,25.93746 N/51.6139 E,279.9°, 0.6 kn,2021-03-21,"Mar 21, 2021 01:15 UTC"
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,QATAR,"Mar 28, 21:21",9.5,3.72818 N/100.05654 E,314.0°, 15.9 kn,2021-03-21,"Mar 20, 2021 07:28 UTC"
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,SINGAPORE,"Mar 27, 04:04",9.2,37.33907 N/126.43462 E,273.8°, 14.4 kn,2021-03-21,"Mar 20, 2021 08:44 UTC"
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,QA RLF>TH MTP,"Mar 29, 23:00",12.0,24.43099 N/58.23548 E,129.9°, 18.9 kn,2021-03-21,"Mar 20, 2021 06:53 UTC"
RASHEEDA,9443413,538003362,Marshall Islands,345,54,163922,130208,RED SEA,"Mar 22, 20:20",12.1,22.02198 N/37.82816 E,331.9°, 19.1 kn,2021-03-21,"Mar 21, 2021 10:25 UTC"
MEKAINES,9397303,538003365,Marshall Islands,345,54,163922,130171,MILFORD HAVEN UK,"Mar 28, 00:00",12.0,35.07815 N/20.7708 E,286.8°, 16.3 kn,2021-03-21,"Mar 21, 2021 06:24 UTC"
NOHSHU MARU,9796781,311000579,Bahamas,298,49,149367,97902,US EAST COAST,"Apr 19, 01:00",9.8,52.43684 N/3.99261 E,87.7°, 6.4 kn,2021-03-21,"Mar 20, 2021 13:22 UTC"
BUSHU MARU,9796793,311000846,Bahamas,298,49,149367,97955,US FPO,"Mar 25, 11:00",9.5,25.66335 N/94.52708 W,270.0°, 13.7 kn,2021-03-21,"Mar 21, 2021 09:58 UTC"
PACIFIC BREEZE,9698123,538007670,Marshall Islands,300,52,144978,92830,AU DRW,"Mar 21, 20:30",9.9,22.13608 N/120.16276 E,168.4°, 14.8 kn,2021-03-21,"Mar 14, 2021 06:32 UTC"
DIAMOND GAS SAKURA,9810020,311000771,Bahamas,294,49,144828,87494,PA_CTB>JP_CTA,"Apr 7, 20:00",11.5,8.38108 N/79.44932 W,180.4°, 16.4 kn,2021-03-21,"Mar 17, 2021 01:17 UTC"
DIAMOND GAS ROSE,9779238,311000770,Bahamas,294,49,144828,94145,JP SSB,"Mar 5, 23:00",9.7,34.3931 N/139.41111 E,199.3°, 19.8 kn,2021-03-21,"Feb 26, 2021 15:37 UTC"
GRACE DAHLIA,9540716,432935000,Japan,300,52,141671,86512,SIN OPL,"Mar 25, 00:01",10.1,37.04399 N/126.24908 E,239.5°, 10.6 kn,2021-03-21,"Mar 5, 2021 02:54 UTC"
ENERGY HORIZON,9483877,432807000,Japan,300,52,141136,87257,>JP SOD,"Mar 24, 22:00",11.5,19.9808 S/116.95902 E,28.3°, 17.4 kn,2021-03-21,"Mar 15, 2021 17:29 UTC"
MARVEL HERON,9770440,374022000,Panama,298,49,139050,92659,FOR ORDERS,"Mar 22, 11:00",9.6,24.19512 N/87.43176 W,308.0°, 17.4 kn,2021-03-21,"Mar 20, 2021 17:23 UTC"
MARVEL CRANE,9770438,563073300,Singapore,298,49,139049,92799,JP KWS,"Mar 23, 22:30",11.7,20.49526 N/110.06399 W,298.3°, 16.7 kn,2021-03-21,"Mar 8, 2021 16:32 UTC"
AL RUWAIS,9337951,309904000,Bahamas,315,50,137535,121823,QA RLF,"Mar 17, 16:00",9.5,25.80203 N/51.81338 E,89.0°, 0.3 kn,2021-03-21,"Mar 21, 2021 10:09 UTC"
AL SAFLIYA,9337963,308171000,Bahamas,315,50,137535,121963,ZHEJIANG,"Mar 25, 22:00",12.0,1.4671 N/104.5441 E,48.4°, 15.5 kn,2021-03-21,"Mar 20, 2021 06:11 UTC"
AL GHARIYA,9337987,308248000,Bahamas,315,50,137535,121730,QA RLF,"Mar 26, 21:00",9.8,19.33911 N/39.41886 E,152.3°, 19.2 kn,2021-03-21,"Mar 21, 2021 07:36 UTC"
