Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,EUROPE,EUROPE,2021-04-19-14:14,12.1,16.84808 N/58.17114 E,147.0°,17.7 kn,-,2021-03-30,2021-03-26-01:52
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,EG PSD,PortSaid,2021-03-28-16:16,9.1,31.49466 N/32.22923 E,75.0°,0.0 kn,-,2021-03-30,2021-03-30-11:48
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"PYEONGTAEK,S.KOREA","PYEONGTAEK,S.KOREA",2021-03-30-05:05,12.0,36.99857 N/126.78255 E,198.3°,0.0 kn,Moored,2021-03-30,2021-03-30-11:46
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,QATAR,Doha,2021-03-30-14:00,9.5,26.08503 N/51.89409 E,290.1°,1.4 kn,Under way,2021-03-30,2021-03-30-11:48
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,ESLPA>QARLF,RasLaffan,2021-04-20-09:00,9.4,25.30194 N/16.52375 W,201.0°,19.9 kn,Under way,2021-03-30,2021-03-30-02:43
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,PGBG SINGAPORE,Singapore,2021-03-28-05:05,12.2,37.12959 N/126.15068 E,203.9°,18.7 kn,Under way,2021-03-30,2021-03-30-00:28
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,GIBRALTAR,Gibraltar,2021-03-30-09:09,9.2,36.13179 N/5.3847 W,100.5°,0.0 kn,At anchor,2021-03-30,2021-03-30-11:50
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,CAPE OF GOOD HOPE,CAPE OF GOOD HOPE,2021-04-04-00:01,12.2,21.50264 N/60.35244 E,202.8°,16.0 kn,-,2021-03-30,2021-03-24-01:55
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,RAS LAFFAN,RasLaffan,2021-03-28-03:03,9.5,26.22934 N/56.84897 E,334.9°,19.0 kn,-,2021-03-30,2021-03-27-08:03
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,MIDDLE EAST,MIDDLE EAST,2021-04-05-14:00,9.2,3.64489 N/100.24723 E,306.0°,20.2 kn,-,2021-03-30,2021-03-28-03:51
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,TH MTP,MabTapud,2021-03-29-23:23,12.0,12.65263 N/101.15408 E,205.1°,0.0 kn,Moored,2021-03-30,2021-03-30-05:50
RASHEEDA,9443413,538003362,Marshall Islands,345,54,163922,130208,ATLANTIC OCEAN,ATLANTIC OCEAN,2021-04-06-23:23,12.1,30.35462 N/32.37817 E,327.0°,8.3 kn,-,2021-03-30,2021-03-30-11:46
MEKAINES,9397303,538003365,Marshall Islands,345,54,163922,130171,GBMFL,GBMFL,2021-03-29-23:23,11.9,51.69817 N/5.08597 W,190.0°,0.0 kn,Moored,2021-03-30,2021-03-30-11:47
NOHSHU MARU,9796781,311000579,Bahamas,298,49,149367,97902,US EAST COAST,US EAST COAST,2021-04-19-01:00,9.8,34.95231 S/16.85167 E,287.8°,13.9 kn,-,2021-03-30,2021-03-29-16:49
BUSHU MARU,9796793,311000846,Bahamas,298,49,149367,97955,PA CTB,Cristobal,2021-04-02-07:00,11.7,24.00078 N/88.73571 W,118.0°,13.9 kn,-,2021-03-30,2021-03-28-11:08
PACIFIC BREEZE,9698123,538007670,Marshall Islands,300,52,144978,92830,AU DRW,Darwin,2021-04-05-23:30,10.0,21.53538 N/120.64262 E,127.8°,16.1 kn,Under way,2021-03-30,2021-03-30-06:39
DIAMOND GAS SAKURA,9810020,311000771,Bahamas,294,49,144828,87494,PA_CTB>JP_CTA,PA_CTB>JP_CTA,2021-04-07-20:00,11.5,8.38108 N/79.44932 W,180.4°,16.4 kn,-,2021-03-30,2021-03-17-01:17
DIAMOND GAS ROSE,9779238,311000770,Bahamas,294,49,144828,94145,PA BLB,Balboa,2021-04-20-19:00,10.0,34.3931 N/139.41111 E,199.3°,19.8 kn,-,2021-03-30,2021-02-26-15:37
GRACE DAHLIA,9540716,432935000,Japan,300,52,141671,86512,SG PEBGB,Singapore,2021-03-28-04:00,9.8,1.17362 N/103.70593 E,235.3°,0.2 kn,At anchor,2021-03-30,2021-03-30-11:49
ENERGY HORIZON,9483877,432807000,Japan,300,52,141136,87257,>AU DAM,Dampier,2021-04-09-21:00,9.7,34.43659 N/139.54375 E,219.1°,14.1 kn,-,2021-03-30,2021-03-26-11:04
MARVEL HERON,9770440,374022000,Panama,298,49,139050,92659,PNMA TRNST PILOT UTC,PNMA TRNST PILOT UTC,2021-03-29-10:30,11.7,8.42554 N/79.46242 W,181.2°,15.8 kn,Under way,2021-03-30,2021-03-30-00:09
MARVEL CRANE,9770438,563073300,Singapore,298,49,139049,92799,BALBOA,Balboa,2021-04-20-07:00,10.1,34.70372 N/141.13971 E,98.4°,15.2 kn,-,2021-03-30,2021-03-25-12:16
AL RUWAIS,9337951,309904000,Bahamas,315,50,137535,121823,PK BQM,PortQasim,2021-03-31-01:00,11.0,24.83858 N/58.1273 E,106.3°,15.0 kn,-,2021-03-30,2021-03-29-13:42
AL SAFLIYA,9337963,308171000,Bahamas,315,50,137535,121963,PGBG SINGAPORE,Singapore,2021-04-02-01:00,9.6,22.2366 N/121.44904 E,219.9°,18.0 kn,-,2021-03-30,2021-03-29-07:09
AL GHARIYA,9337987,308248000,Bahamas,315,50,137535,121730,SUEZ,AsSuways/SuezPort,2021-04-04-18:00,12.1,24.54219 N/58.06121 E,130.5°,17.6 kn,-,2021-03-30,2021-03-29-02:57
DUHAIL,9337975,309599000,Bahamas,315,50,137535,121639,SG SIG PGBG,SG SIG PGBG,2021-04-05-16:00,9.5,34.369 N/137.05108 E,163.5°,16.6 kn,Under way,2021-03-30,2021-03-30-11:06
AL SHEEHANIYA,9360831,538003364,Marshall Islands,315,50,136980,122006, SKA- PORT SAID,KA-PORTSAID,2021-03-27-19:19,9.2,31.48162 N/32.23212 E,62.0°,0.0 kn,-,2021-03-30,2021-03-30-11:44
AL BAHIYA,9431147,538003349,Marshall Islands,315,50,136980,121957,QA RLF,RasLaffan,2021-04-21-00:00,9.3,16.18118 N/19.48284 W,178.1°,19.1 kn,Under way,2021-03-30,2021-03-30-11:48
AL KHATTIYA,9431111,538003350,Marshall Islands,315,50,136980,121946,MID. EAST,MID. EAST,2021-04-05-00:01,9.8,2.9254 N/100.91192 E,301.9°,17.8 kn,-,2021-03-30,2021-03-27-18:56
AL NUAMAN,9431135,538003351,Marshall Islands,315,50,136980,121910,QATAR,Doha,2021-04-23-03:23,9.6,29.7711 N/14.32807 W,197.0°,18.8 kn,Under way,2021-03-30,2021-03-30-11:28
AL KARAANA,9431123,538003358,Marshall Islands,315,50,136980,122052,QA RLF,RasLaffan,2021-03-31-23:23,9.4,3.75966 N/100.07747 E,313.0°,19.9 kn,-,2021-03-30,2021-03-23-21:14
ONAIZA,9397353,538003363,Marshall Islands,315,50,136980,121939,SUEZ,AsSuways/SuezPort,2021-04-05-18:00,12.2,24.6307 N/57.67612 E,118.2°,17.5 kn,-,2021-03-30,2021-03-29-09:25
AL SADD,9397341,538003361,Marshall Islands,315,50,136980,121913,PORT SAID,PortSaid,2021-03-26-18:18,9.3,31.45619 N/32.246 E,70.4°,0.0 kn,At anchor,2021-03-30,2021-03-30-11:44
SEISHU MARU,9666558,311000261,Bahamas,288,49,136740,86414,JP_KZU,Kisarazu,2021-04-01-02:01,11.6,18.74017 S/115.75381 E,40.9°,16.9 kn,-,2021-03-30,2021-03-22-14:15
ESSHU MARU,9666560,311000285,Bahamas,288,49,136740,86455,ASHBURTON AU,ASHBURTON AU,2021-04-07-22:00,10.6,34.39854 N/137.06248 E,181.7°,14.3 kn,-,2021-03-30,2021-03-26-04:14
LNG SATURN,9696149,311000439,Bahamas,288,49,136739,86044,AU DRW,Darwin,2021-04-02-20:30,9.8,33.79817 N/134.91638 E,179.5°,12.0 kn,-,2021-03-30,2021-03-24-10:43
LNG JUROJIN,9666998,311000420,Bahamas,288,49,136739,86121,CN ZUH,Zhuhai,2021-03-31-14:01,11.3,19.44611 N/116.68268 E,281.9°,15.0 kn,Under way,2021-03-30,2021-03-30-07:28
PACIFIC MIMOSA,9743875,431778000,Japan,288,49,136716,86497,JP KWS,Kawasaki,2021-04-07-00:45,11.2,12.33329 S/130.70927 E,309.8°,9.8 kn,-,2021-03-30,2021-03-26-01:34
LNG MARS,9645748,431177000,Japan,288,49,136710,86161,PGCAU-001,PGCAU-001,2021-04-16-21:00,9.7,34.72868 N/123.21742 E,99.9°,10.6 kn,-,2021-03-30,2021-03-22-15:16
FRAIHA,9360817,538003101,Marshall Islands,306,50,136685,121914,YUNG AN,YungAn,2021-04-01-01:00,11.9,1.43632 N/104.49892 E,42.0°,17.3 kn,-,2021-03-30,2021-03-27-07:30
MURWAB,9360805,538003100,Marshall Islands,315,50,136685,121843,GB MLF,MilfordHaven,2021-04-19-00:01,12.3,25.87028 N/51.79427 E,133.0°,0.0 kn,At anchor,2021-03-30,2021-03-30-11:47
UMM AL AMAD,9360829,538003073,Marshall Islands,315,50,136685,121730,BEZEE,Zeebrugge,2021-04-08-04:00,12.2,48.80925 N/7.21593 W,280.0°,0.5 kn,Under way,2021-03-30,2021-03-30-11:44
AL AAMRIYA,9338266,538003099,Marshall Islands,315,50,136685,121935,EG PSD,PortSaid,2021-03-28-18:00,9.4,31.46262 N/32.44419 E,75.1°,0.0 kn,At anchor,2021-03-30,2021-03-30-11:47
AL ORAIQ,9360790,538003072,Marshall Islands,315,50,136685,122079,SINGAPORE,Singapore,2021-03-30-23:00,9.1,34.50848 N/137.04397 E,151.0°,14.4 kn,-,2021-03-30,2021-03-24-04:57
AL GHARRAFA,9337717,538002920,Marshall Islands,315,50,136410,106898,TH MAT,MabTapud,2021-04-07-03:03,12.2,24.8157 N/57.68359 E,133.4°,15.8 kn,-,2021-03-30,2021-03-26-19:35
TEMBEK,9337731,538002921,Marshall Islands,315,50,136410,106896,>CN NGB,Ningbo,2021-04-13-22:22,12.2,24.69986 N/57.86801 E,135.7°,15.5 kn,-,2021-03-30,2021-03-26-15:45
AL GATTARA,9337705,538002917,Marshall Islands,315,50,136410,106898,EGYPT,SuezCanal,2021-04-03-18:18,12.3,24.96935 N/57.17966 E,129.3°,13.2 kn,-,2021-03-30,2021-03-27-20:56
AL HAMLA,9337743,538002922,Marshall Islands,315,50,136410,106983,PL SWI,Swinoujscie,2021-04-01-04:04,12.1,57.66547 N/10.70157 E,122.8°,0.0 kn,At anchor,2021-03-30,2021-03-30-11:50
AL UTOURIYA,9360867,538003020,Marshall Islands,315,50,136355,104561,JP HIM>SG SIN,Singapore,2021-04-05-00:01,9.4,33.86854 N/134.96695 E,180.6°,19.6 kn,Under way,2021-03-30,2021-03-30-05:45
AL SAHLA,9360855,538003019,Marshall Islands,315,50,136355,104666,QA RLF>CN ZOS,Zhoushan,2021-04-01-16:16,12.2,1.44571 N/104.5252 E,60.0°,14.5 kn,-,2021-03-30,2021-03-27-05:48
AL THUMAMA,9360843,538003018,Marshall Islands,315,50,136355,104701,IN HZA>KW MEA,Mina'alAhmadi,2021-04-05-03:00,11.7,28.55158 N/50.10842 E,329.1°,13.9 kn,Under way,2021-03-30,2021-03-30-11:50
MESAIMEER,9337729,538003360,Marshall Islands,315,50,136168,107160,RAS LAFFAN F-4,RAS LAFFAN F-4,2021-03-28-00:00,9.4,25.82329 N/51.81297 E,259.1°,0.5 kn,At anchor,2021-03-30,2021-03-30-11:47
AL REKAYYAT,9397339,538003347,Marshall Islands,315,50,136168,107160,ARABIAN SEA,ARABIAN SEA,2021-04-07-18:08,9.5,31.54569 N/32.40373 E,281.0°,0.0 kn,-,2021-03-30,2021-03-30-11:46
AL KHARAITIYAT,9397327,538003352,Marshall Islands,315,50,136168,107153,FAR EAST,FAR EAST,2021-04-07-01:01,11.6,25.34457 N/57.18087 E,135.2°,18.0 kn,-,2021-03-30,2021-03-28-14:09
LNG SAKURA,9774135,311000760,Bahamas,300,49,135977,82137,KEPPEL SHIPYARD,KEPPEL SHIPYARD,2021-03-25-19:00,6.0,1.29946 N/103.67482 E,254.0°,0.0 kn,-,2021-03-30,2021-03-30-11:47
SOHSHU MARU,9791212,311000580,Bahamas,300,49,135951,82254,US CRP   ! LAKE FLT,US CRP   ! LAKE FLT,2021-03-27-18:00,9.8,27.82964 N/96.89062 W,92.8°,0.0 kn,At anchor,2021-03-30,2021-03-30-11:40
SHINSHU MARU,9791200,311000845,Bahamas,300,49,135951,82287,AU BWB,BarrowIsland,2021-03-29-21:00,9.6,20.81704 S/115.49436 E,356.4°,0.9 kn,-,2021-03-30,2021-03-29-22:36
AL KHUWAIR,9360908,311000140,Bahamas,315,50,135848,109555,MALTA,Valletta,2021-03-31-05:00,9.4,37.60629 N/6.22344 E,85.6°,15.0 kn,Under way,2021-03-30,2021-03-30-01:17
AL KHARSAAH,9360881,309333000,Bahamas,315,50,135848,109484,RAS LAFFAN,RasLaffan,2021-03-19-16:00,9.5,25.76854 N/51.81401 E,61.3°,0.4 kn,At anchor,2021-03-30,2021-03-30-11:48
AL HUWAILA,9360879,309255000,Bahamas,315,50,135848,109503,QA RLF,RasLaffan,2021-03-31-06:00,9.3,3.57259 N/100.30072 E,317.0°,17.1 kn,-,2021-03-30,2021-03-22-17:26
AL SHAMAL,9360893,309781000,Bahamas,315,50,135848,109662,RAS LAFFAN,RasLaffan,2021-03-31-05:00,9.2,28.9282 N/49.49146 E,90.4°,15.5 kn,Under way,2021-03-30,2021-03-30-11:50
SERI CAMAR,9714305,533130687,Malaysia,290,49,133948,84295,PGBG SG,PGBG SG,2021-03-31-06:00,9.6,3.94305 N/104.28264 E,152.0°,12.1 kn,-,2021-03-30,2021-03-30-11:32
SERI CEMARA,9756389,533130753,Malaysia,290,49,133948,84291,MY BKI,KotaKinabalu,2021-04-02-00:00,9.7,6.09341 N/116.02168 E,110.4°,0.0 kn,At anchor,2021-03-30,2021-03-30-11:48
SERI CAMELLIA,9714276,533130463,Malaysia,290,46,133948,84333,MY BKI(KK OPL),MY BKI(KK OPL),2021-03-15-08:00,11.4,6.11126 N/116.0687 E,197.9°,0.0 kn,At anchor,2021-03-30,2021-03-30-11:10
SERI CENDERAWASIH,9714288,533180210,Malaysia,290,46,133948,84303,AU GLT,Gladstone,2021-04-05-00:00,9.7,29.28916 N/124.471 E,158.2°,18.2 kn,-,2021-03-30,2021-03-25-12:55
SERI CEMPAKA,9714290,533130607,Malaysia,290,49,133948,84311,MY BTU,"Bintulu,Sarawak",2021-03-28-23:00,9.7,34.51222 N/139.59953 E,213.4°,12.9 kn,-,2021-03-30,2021-03-23-09:48
RUDOLF SAMOYLOVICH,9750713,311000627,Bahamas,299,50,128975,96703,BEZEE>RUSAB,Sabetta,2021-03-31-18:00,11.0,72.12269 N/29.328 E,59.5°,19.8 kn,-,2021-03-30,2021-03-27-19:58
EDUARD TOLL,9750696,311000548,Bahamas,299,50,128975,96840,FRDKK,Dunkerque,2021-04-03-10:00,12.0,72.04223 N/22.04216 E,42.9°,18.1 kn,-,2021-03-30,2021-03-22-03:26
NIKOLAY YEVGENOV,9750725,311000631,Bahamas,299,50,128969,96821,FRMTX,Montoir,2021-04-04-22:00,12.0,71.72764 N/30.5198 E,87.3°,18.7 kn,-,2021-03-30,2021-03-21-00:00
YAKOV GAKKEL,9750672,311000634,Bahamas,299,50,128969,96839,RUSAB,Sabetta,2021-04-02-19:00,10.8,72.21498 N/25.17449 E,45.7°,18.9 kn,Under way,2021-03-30,2021-03-30-04:39
GEORGIY USHAKOV,9750749,311000633,Bahamas,299,50,128969,96796,RUSAB,Sabetta,2021-03-30-18:00,11.0,71.41869 N/32.29724 E,97.5°,17.6 kn,-,2021-03-30,2021-03-12-19:28
VLADIMIR VORONIN,9750737,311000632,Bahamas,299,50,128969,96840,FR DKK,Dunkerque,2021-04-04-22:00,12.1,72.29268 N/26.51044 E,46.4°,20.4 kn,-,2021-03-30,2021-03-22-19:51
MARVEL EAGLE,9759240,374375000,Panama,300,49,128917,83571,FOR ORDERS,FOR ORDERS,2021-04-10-04:00,11.2,26.27429 N/79.3044 W,45.6°,18.6 kn,Under way,2021-03-30,2021-03-30-09:24
MARVEL PELICAN,9759252,356051000,Panama,300,49,128917,83636,...,...,2021-04-10-00:01,9.5,33.72662 N/17.29342 W,260.2°,12.9 kn,-,2021-03-30,2021-03-13-11:45
VLADIMIR RUSANOV,9750701,477150100,Hong Kong,299,50,128806,96844,RUSAB,Sabetta,2021-04-06-09:00,11.0,56.58235 N/4.42559 E,359.8°,19.2 kn,Under way,2021-03-30,2021-03-30-10:59
CHRISTOPHE DE MARGERIE,9737187,212611000,Cyprus,299,50,128806,96779,RU SUB / SABETTA,RU SUB / SABETTA,2021-03-30-18:00,11.4,71.18919 N/32.82705 E,98.1°,19.8 kn,-,2021-03-30,2021-03-27-02:21
FEDOR LITKE,9768370,212660000,Cyprus,299,50,128806,96839,FRDKK,Dunkerque,2021-03-30-16:00,11.9,52.57317 N/2.97435 E,210.8°,16.2 kn,Under way,2021-03-30,2021-03-30-11:50
GEORGIY BRUSILOV,9768382,212770000,Cyprus,299,50,128806,96847,RUSAB,Sabetta,2021-04-03-18:00,10.4,71.41413 N/22.06587 E,66.8°,19.0 kn,Under way,2021-03-30,2021-03-30-11:50
VLADIMIR VIZE,9750658,477194200,Hong Kong,299,50,128806,96851,RUSAB,Sabetta,2021-03-30-06:00,10.8,72.28602 N/27.66873 E,54.8°,20.3 kn,-,2021-03-30,2021-03-26-11:32
BORIS VILKITSKY,9768368,212654000,Cyprus,299,50,128806,96958,ESFRO,Ferrol,2021-03-29-15:00,12.0,43.46394 N/8.23934 W,-,0.0 kn,Moored,2021-03-30,2021-03-30-11:47
LNG FUKUROKUJU,9666986,311000365,Bahamas,293,49,127242,83809,BDCGP,Chittagong,2021-04-02-00:01,11.6,8.10208 N/83.71459 E,29.3°,15.9 kn,Under way,2021-03-30,2021-03-30-11:15
CASTILLO DE CALDELAS,9742819,248720000,Malta,297,49,126004,93241,CRISTOBAL,Cristobal,2021-03-28-21:00,11.8,9.41103 N/79.96245 W,293.0°,0.1 kn,At anchor,2021-03-30,2021-03-30-11:48
CASTILLO DE MERIDA,9742807,248516000,Malta,287,49,126004,93241,IN DAH,Dahej,2021-04-21-18:30,11.6,25.93951 N/90.31663 W,119.4°,18.2 kn,-,2021-03-30,2021-03-14-19:02
PACIFIC ARCADIA,9621077,311072200,Bahamas,288,49,123005,78311,TIANJIN CHINA,TianjinXingang,2021-03-30-08:00,11.5,38.92757 N/117.8761 E,316.6°,0.1 kn,Moored,2021-03-30,2021-03-30-06:00
NIKOLAY ZUBOV,9768526,209351000,Cyprus,299,50,122806,96865,BEZEE,Zeebrugge,2021-04-01-11:00,12.0,69.70585 N/14.54291 E,229.7°,17.2 kn,Under way,2021-03-30,2021-03-30-11:50
BORIS DAVYDOV,9768394,209356000,Cyprus,299,50,122806,96765,BEZEE,Zeebrugge,2021-04-01-01:00,12.0,61.00446 N/4.01627 E,178.5°,19.6 kn,Under way,2021-03-30,2021-03-30-11:50
CYGNUS PASSAGE,9376294,309739000,Bahamas,288,49,122444,79555,>RU PGN,Prigorodnoye,2021-04-05-20:00,9.3,34.3412 N/140.49013 E,118.0°,11.9 kn,-,2021-03-30,2021-03-20-09:35
ALTO ACRUX,9343106,308592000,Bahamas,288,49,122361,80229,KR YOS,Yeosu,2021-03-27-00:00,9.3,37.55423 N/123.46303 E,121.0°,13.4 kn,-,2021-03-30,2021-03-24-00:04
ADRIANO KNUTSEN,9831220,224983000,Spain,299,48,122261,96354,US CRP,CorpusChristi,2021-04-14-06:00,9.6,34.83656 S/21.49116 E,258.6°,18.0 kn,-,2021-03-30,2021-03-26-03:10
TRAIANO KNUTSEN,9854765,257575000,Norway,299,48,122261,95870,BRRIO,RiodeJaneiro,2021-04-04-09:00,11.6,25.65776 N/92.10556 W,116.2°,14.9 kn,-,2021-03-30,2021-03-21-05:33
GRAND ANIVA,9338955,212883000,Cyprus,288,49,122239,74044,TW YAN,YungAn,2021-04-05-23:00,11.4,38.63245 N/138.83942 E,334.7°,13.6 kn,-,2021-03-30,2021-03-09-03:38
PRISM BRILLIANCE,9810551,371086000,Panama,299,48,122166,97494,USFPO,Freeport,2021-04-23-05:00,9.7,6.40932 S/105.24051 E,245.9°,15.9 kn,-,2021-03-30,2021-03-19-18:15
PRISM AGILITY,9810549,372487000,Panama,299,48,122166,97494,USCRP,CorpusChristi,2021-03-30-03:00,9.3,27.88066 N/97.27096 W,250.0°,0.0 kn,Moored,2021-03-30,2021-03-30-11:39
ENERGY UNIVERSE,9758844,354114000,Panama,300,49,122142,88700,PACIFIC FOR ORDERS,PACIFIC FOR ORDERS,2021-04-09-00:01,11.6,8.4215 N/79.42991 W,174.4°,19.5 kn,-,2021-03-30,2021-03-21-01:19
ENERGY LIBERTY,9736092,431540000,Japan,300,49,121982,88676,KR BOR,Boryeong,2021-03-28-02:00,11.3,34.9056 N/124.89617 E,230.0°,16.8 kn,Under way,2021-03-30,2021-03-30-11:37
ENERGY GLORY,9752565,431776000,Japan,300,49,121981,88677,JP HTC,Hitachi,2021-04-02-00:01,11.9,12.38918 S/130.75099 E,322.7°,11.4 kn,-,2021-03-30,2021-03-25-17:28
