Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,"Ras Laffan Anch., Qatar",2021-05-19-07:36,"Ras Laffan, Qatar",,2021-05-19-09:09,9.4,,169.9°,0.0 kn,Moored,2021-05-21,2021-05-21-06:59
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,"Port Said Anch., Egypt",2021-05-11-01:02,"Ras Laffan Anch., Qatar",,2021-05-19-03:14,9.1,,240.5°,0.0 kn,At anchor,2021-05-21,2021-05-21-07:11
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"As Suways (Suez) Anch., Egypt",2021-05-20-05:37,"Milford Haven, United Kingdom (UK)",,2021-05-29-22:01,12.0,,290.0°,16.0 kn,Under way,2021-05-21,2021-05-21-07:05
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,"Gibraltar West Anch., Gibraltar",2021-05-19-09:18,"Port Said, Egypt",,2021-05-24-12:00,9.5,,67.6°,15.4 kn,-,2021-05-21,2021-05-20-07:24
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,"Incheon, Korea",2021-05-14-09:55,"Ras Laffan, Qatar",,2021-05-30-19:00,9.4,,279.5°,12.5 kn,Under way,2021-05-21,2021-05-21-07:12
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,"Port Said Anch., Egypt",2021-05-16-03:25,"Ras Laffan, Qatar",,2021-05-24-09:09,9.2,,154.0°,15.6 kn,-,2021-05-21,2021-05-18-19:15
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,"Singapore Anch. 1, Singapore",2021-05-13-18:39,"Doha, Qatar",,2021-05-22-07:00,9.5,,312.2°,18.2 kn,Under way,2021-05-21,2021-05-21-07:01
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,"Ras Laffan, Qatar",2021-05-19-13:13,"As Suways / Suez Port, Egypt",,2021-05-27-09:09,12.0,,130.1°,16.6 kn,-,2021-05-21,2021-05-20-14:26
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,"As Suways (Suez) Anch., Egypt",2021-05-15-05:00,"Zeebrugge, Belgium",,2021-05-24-17:17,11.7,,292.0°,15.9 kn,Under way,2021-05-21,2021-05-21-05:07
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,"Ras Laffan, Qatar",2021-05-14-01:07,"As Suways / Suez Port, Egypt",,2021-05-22-18:18,12.2,,332.1°,15.0 kn,Under way,2021-05-21,2021-05-21-02:30
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,"Singapore Anch. 1, Singapore",2021-05-12-00:48,"Doha, Qatar",,2021-05-21-17:00,9.5,,264.3°,16.6 kn,Under way,2021-05-21,2021-05-21-07:11
RASHEEDA,9443413,538003362,Marshall Islands,345,54,163922,130208,"Ras Laffan, Qatar",2021-05-03-11:22,FAR EAST,,2021-05-22-03:03,12.2,,47.0°,12.9 kn,-,2021-05-21,2021-05-13-21:56
MEKAINES,9397303,538003365,Marshall Islands,345,54,163922,130171,"Port Said Anch., Egypt",2021-05-20-03:43,"Doha, Qatar",,2021-05-28-17:17,9.4,,158.4°,16.3 kn,Under way,2021-05-21,2021-05-21-06:25
NOHSHU MARU,9796781,311000579,Bahamas,298,49,149367,97902,"Nagoya, Japan",2021-05-21-01:30,AU ASHUBURITON,,2021-06-01-08:00,9.7,,178.4°,14.5 kn,Under way,2021-05-21,2021-05-21-05:37
BUSHU MARU,9796793,311000846,Bahamas,298,49,149367,97955,"Yangkou, China",2021-04-26-22:29,"Balboa, Panama",,2021-05-24-15:30,9.6,,118.7°,14.8 kn,-,2021-05-21,2021-05-15-10:16
PACIFIC BREEZE,9698123,538007670,Marshall Islands,300,52,144978,92830,"Yung An, Taiwan",2021-05-18-23:29,"Singapore, Singapore",,2021-05-24-07:00,10.0,,202.8°,13.6 kn,-,2021-05-21,2021-05-19-14:00
DIAMOND GAS SAKURA,9810020,311000771,Bahamas,294,49,144828,87494,"Lake Charles, United States (USA)",2021-05-09-12:10,GB_BRX-GB_IOG,,2021-05-20-13:00,11.4,,244.2°,2.8 kn,Under way,2021-05-21,2021-05-21-07:12
DIAMOND GAS ROSE,9779238,311000770,Bahamas,294,49,144828,94145,"Pena Blanca Anch., Panama",2021-05-04-15:42,"Kawasaki, Japan",,2021-05-23-22:45,11.0,,176.7°,15.1 kn,-,2021-05-21,2021-05-05-01:02
GRACE DAHLIA,9540716,432935000,Japan,300,52,141671,86512,"Singapore Anch. 1, Singapore",2021-05-07-11:59,ME FOR ORDERS,,2021-05-27-21:01,10.1,,280.5°,11.6 kn,Under way,2021-05-21,2021-05-21-05:53
ENERGY HORIZON,9483877,432807000,Japan,300,52,141136,87257,"Hitachi, Japan",2021-05-19-05:56,>AUS DAM,,2021-05-27-21:00,9.7,,210.6°,18.0 kn,-,2021-05-21,2021-05-19-15:26
MARVEL HERON,9770440,374022000,Panama,298,49,139050,92659,"Sakai, Japan",2021-04-25-06:56,FOR ORDERS,,2021-06-06-06:00,9.8,,305.8°,15.7 kn,-,2021-05-21,2021-05-17-09:59
MARVEL CRANE,9770438,563073300,Singapore,298,49,139049,92799,"Pena Blanca Anch., Panama",2021-05-08-15:48,"Yokohama, Japan",,2021-05-31-22:30,11.5,,179.9°,16.5 kn,-,2021-05-21,2021-05-09-01:34
AL RUWAIS,9337951,309904000,Bahamas,315,50,137535,121823,"Zeebrugge, Belgium",2021-05-01-04:13,SABINE PASS,,2021-05-22-05:01,9.4,,341.0°,14.8 kn,-,2021-05-21,2021-05-21-06:55
AL SAFLIYA,9337963,308171000,Bahamas,315,50,137535,121963,"Sohar Anch., Oman",2021-05-11-12:26,"Chittagong, Bangladesh",,2021-05-20-20:30,10.7,,159.4°,15.1 kn,-,2021-05-21,2021-05-13-12:49
AL GHARIYA,9337987,308248000,Bahamas,315,50,137535,121730,"Ras Laffan, Qatar",2021-05-17-10:41,"Kisarazu, Japan",,2021-06-04-22:00,12.2,,133.3°,17.6 kn,-,2021-05-21,2021-05-18-10:45
DUHAIL,9337975,309599000,Bahamas,315,50,137535,121639,"Ras Laffan, Qatar",2021-05-20-16:35,"As Suways / Suez Port, Egypt",,2021-05-28-14:23,12.0,,75.9°,15.3 kn,Under way,2021-05-21,2021-05-21-07:12
AL SHEEHANIYA,9360831,538003364,Marshall Islands,315,50,136980,122006,"Ras Laffan Anch., Qatar",2021-05-20-14:01,"Doha, Qatar",,2021-05-20-15:15,9.4,,7.0°,0.2 kn,At anchor,2021-05-21,2021-05-21-07:07
AL BAHIYA,9431147,538003349,Marshall Islands,315,50,136980,121957,"Ras Laffan Anch., Qatar",2021-05-19-14:31,"Soroosh Term., Iran",,2021-05-20-00:00,9.4,,239.1°,0.1 kn,At anchor,2021-05-21,2021-05-21-07:12
AL KHATTIYA,9431111,538003350,Marshall Islands,315,50,136980,121946,"Ras Laffan Anch., Qatar",2021-05-19-00:26,"Soroosh Term., Iran",,2021-05-19-04:04,9.3,,215.5°,0.0 kn,At anchor,2021-05-21,2021-05-21-07:10
AL NUAMAN,9431135,538003351,Marshall Islands,315,50,136980,121910,"Ningbo Anch., China",2021-05-13-11:14,"ZHEJIANG, CHINA",,2021-05-13-08:08,12.0,,137.4°,0.0 kn,-,2021-05-21,2021-05-17-02:54
AL KARAANA,9431123,538003358,Marshall Islands,315,50,136980,122052,"Ras Laffan Anch., Qatar",2021-05-20-21:44,"Ras Laffan, Qatar",,2021-05-20-23:05,9.3,,45.2°,0.0 kn,Moored,2021-05-21,2021-05-21-07:12
ONAIZA,9397353,538003363,Marshall Islands,315,50,136980,121939,"Ras Laffan Anch., Qatar",2021-05-13-22:34,"Dahej, India",,2021-05-25-01:01,12.1,,321.4°,10.3 kn,Under way,2021-05-21,2021-05-21-07:09
AL SADD,9397341,538003361,Marshall Islands,315,50,136980,121913,"Pyeongtaek, Korea",2021-05-18-03:18,"Soroosh Term., Iran",,2021-06-02-03:03,9.3,,223.9°,19.2 kn,-,2021-05-21,2021-05-20-16:09
SEISHU MARU,9666558,311000261,Bahamas,288,49,136740,86414,"Wheatstone LNG Term., Australia",2021-05-14-06:24,"Jintang, China",,2021-05-28-22:00,11.2,,2.5°,10.5 kn,-,2021-05-21,2021-05-14-14:57
ESSHU MARU,9666560,311000285,Bahamas,288,49,136740,86455,"Wheatstone LNG Term., Australia",2021-05-10-05:49,"Nagoya, Japan",,2021-05-23-22:00,11.1,,38.7°,12.1 kn,-,2021-05-21,2021-05-11-20:43
LNG SATURN,9696149,311000439,Bahamas,288,49,136739,86044,"Singapore Anch. 1, Singapore",2021-04-30-04:49,Destination not available,,-,9.8,,83.1°,1.1 kn,-,2021-05-21,2021-05-19-15:05
LNG JUROJIN,9666998,311000420,Bahamas,288,49,136739,86121,"Shikama, Japan",2021-05-05-01:52,"Gladstone Anch., Australia",,2021-05-18-07:04,9.8,,37.0°,0.4 kn,At anchor,2021-05-21,2021-05-21-07:10
PACIFIC MIMOSA,9743875,431778000,Japan,288,49,136716,86497,"Kawasaki, Japan",2021-05-16-02:07,OFF TOKYO BAY,,2021-05-31-00:00,9.5,,288.5°,7.0 kn,Under way,2021-05-21,2021-05-21-04:46
LNG MARS,9645748,431177000,Japan,288,49,136710,86161,"Shikama, Japan",2021-05-07-00:41,QL OMAN,,2021-05-23-12:00,10.1,,315.4°,17.2 kn,-,2021-05-21,2021-05-14-16:45
FRAIHA,9360817,538003101,Marshall Islands,306,50,136685,121914,"Singapore Anch. 3, Singapore",2021-05-21-06:09,"RAS LAFAAN,QATAR",,2021-05-30-06:00,9.5,,196.0°,0.1 kn,At anchor,2021-05-21,2021-05-21-07:11
MURWAB,9360805,538003100,Marshall Islands,315,50,136685,121843,"Ras Laffan Anch., Qatar",2021-05-12-07:34,"Yung An, Taiwan",,2021-05-26-06:00,11.3,,123.0°,17.6 kn,-,2021-05-21,2021-05-21-06:56
UMM AL AMAD,9360829,538003073,Marshall Islands,315,50,136685,121730,"Incheon, Korea",2021-05-20-07:18,"Singapore, Singapore",,2021-05-27-08:00,9.7,,19.0°,0.2 kn,-,2021-05-21,2021-05-19-03:52
AL AAMRIYA,9338266,538003099,Marshall Islands,315,50,136685,121935,"Singapore Anch. 1, Singapore",2021-05-09-07:19,"Ras Laffan Anch., Qatar",,2021-05-20-00:49,9.5,,105.0°,0.0 kn,At anchor,2021-05-21,2021-05-21-07:10
AL ORAIQ,9360790,538003072,Marshall Islands,315,50,136685,122079,"As Suways (Suez) Anch., Egypt",2021-05-07-05:19,"Swinoujscie, Poland",,2021-05-21-06:00,12.1,,135.0°,0.6 kn,Under way,2021-05-21,2021-05-21-07:11
AL GHARRAFA,9337717,538002920,Marshall Islands,315,50,136410,106898,"Ras Laffan Anch., Qatar",2021-05-15-01:48,"Mab Tapud, Thailand",,2021-05-28-17:00,12.3,,125.5°,18.5 kn,-,2021-05-21,2021-05-16-04:43
TEMBEK,9337731,538002921,Marshall Islands,315,50,136410,106896,"As Suways (Suez) Anch., Egypt",2021-05-13-04:12,"Fos sur mer, France",,2021-05-20-07:26,12.1,,184.9°,0.0 kn,Moored,2021-05-21,2021-05-21-07:04
AL GATTARA,9337705,538002917,Marshall Islands,315,50,136410,106898,"Ras Laffan, Qatar",2021-05-05-06:38,FAR EAST,,2021-05-20-22:22,12.2,,340.9°,14.7 kn,-,2021-05-21,2021-05-16-03:40
AL HAMLA,9337743,538002922,Marshall Islands,315,50,136410,106983,"Ras Laffan, Qatar",2021-05-02-01:56,"Kisarazu, Japan",,2021-05-22-22:22,12.4,,48.0°,15.8 kn,-,2021-05-21,2021-05-12-07:55
AL UTOURIYA,9360867,538003020,Marshall Islands,315,50,136355,104561,"Ras Laffan Anch., Qatar",2021-05-07-23:55,"Dahej, India",,2021-05-24-19:19,11.6,,31.6°,0.1 kn,At anchor,2021-05-21,2021-05-21-07:05
AL SAHLA,9360855,538003019,Marshall Islands,315,50,136355,104666,"Singapore Anch. 1, Singapore",2021-05-13-22:25,"Ras Laffan, Qatar",,2021-05-22-09:09,9.5,,308.3°,18.9 kn,Under way,2021-05-21,2021-05-21-07:12
AL THUMAMA,9360843,538003018,Marshall Islands,315,50,136355,104701,"Ras Laffan, Qatar",2021-05-18-17:38,QA RLF>CN ZHE,,2021-06-03-22:00,12.1,,125.5°,17.6 kn,-,2021-05-21,2021-05-19-14:09
MESAIMEER,9337729,538003360,Marshall Islands,315,50,136168,107160,"Gibraltar West Anch., Gibraltar",2021-05-20-21:46,EGYPT,,2021-05-25-10:18,9.5,,71.3°,19.1 kn,Under way,2021-05-21,2021-05-21-07:08
AL REKAYYAT,9397339,538003347,Marshall Islands,315,50,136168,107160,"Ras Laffan Anch., Qatar",2021-05-16-18:16,"Doha, Qatar",,2021-05-16-17:19,9.5,,6.1°,0.1 kn,At anchor,2021-05-21,2021-05-21-07:11
AL KHARAITIYAT,9397327,538003352,Marshall Islands,315,50,136168,107153,"Ras Laffan, Qatar",2021-05-16-20:00,FAR EAST,,2021-05-31-23:00,12.5,,136.6°,19.1 kn,-,2021-05-21,2021-05-17-18:33
LNG SAKURA,9774135,311000760,Bahamas,300,49,135977,82137,"Singapore Anch. 1, Singapore",2021-04-29-09:48,"Baltimore, USA, United States (USA)",,2021-06-18-07:01,9.7,,301.1°,16.7 kn,-,2021-05-21,2021-05-18-18:56
SOHSHU MARU,9791212,311000580,Bahamas,300,49,135951,82254,"Panama Canal Anch. Atlantic, Panama",2021-05-13-10:59,FAR EAST,,2021-06-06-06:00,11.7,,177.6°,18.1 kn,-,2021-05-21,2021-05-14-00:31
SHINSHU MARU,9791200,311000845,Bahamas,300,49,135951,82287,"Freeport, United States (USA)",2021-05-13-16:40,"Dunkerque, France",,2021-05-29-16:00,11.8,,145.0°,15.7 kn,-,2021-05-21,2021-05-15-04:13
AL KHUWAIR,9360908,311000140,Bahamas,315,50,135848,109555,"Singapore Anch. 1, Singapore",2021-05-19-23:16,SG PGBG>QA RAS,,2021-05-30-03:00,9.4,,319.0°,15.2 kn,-,2021-05-21,2021-05-20-13:40
AL KHARSAAH,9360881,309333000,Bahamas,315,50,135848,109484,"Mina' al Ahmadi, Kuwait",2021-05-20-00:43,"Ras Laffan Anch., Qatar",,2021-05-20-19:45,9.2,,180.7°,0.1 kn,At anchor,2021-05-21,2021-05-21-07:12
AL HUWAILA,9360879,309255000,Bahamas,315,50,135848,109503,"Ras Laffan Anch., Qatar",2021-05-18-00:37,"As Suways / Suez Port, Egypt",,2021-05-24-20:00,12.1,,122.2°,18.5 kn,-,2021-05-21,2021-05-18-22:54
AL SHAMAL,9360893,309781000,Bahamas,315,50,135848,109662,"As Suways (Suez) Anch., Egypt",2021-05-18-05:23,"Milford Haven, United Kingdom (UK)",,2021-05-27-00:00,12.1,,294.2°,16.8 kn,Under way,2021-05-21,2021-05-21-07:09
