Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
COOL DISCOVERER,9861031,215567000,Malta,299,46,116354,92800,FOR ORDERS,FOR ORDERS,2021-04-01-23:59,9.5,24.51937 N/86.69452 W,289.0°,17.7 kn,-,2021-03-31,2021-03-31-07:18
LA MANCHA KNUTSEN,9721724,224444000,Spain,284,46,116246,92802,SINGAPORE,Singapore,2021-04-15-00:01,11.7,34.46228 N/137.05683 E,146.1°,11.9 kn,-,2021-03-31,2021-03-27-04:33
RIOJA KNUTSEN,9721736,224451000,Spain,290,46,116246,92782,TTPTF,PointFortin,2021-03-29-10:00,9.4,10.3065 N/61.73103 W,166.7°,0.1 kn,At anchor,2021-03-31,2021-03-31-07:28
LNG LAGOS II,9692014,310721000,Bermuda,300,46,115995,99025,-,-,-,9.6,9.39536 N/19.15201 W,85.5°,14.7 kn,-,2021-03-31,2021-03-23-11:01
LNG BONNY II,9692002,310720000,Bermuda,300,46,115995,98954,MARMARA TURKEY,Marmara,2021-04-12-04:00,11.8,6.3912 N/19.14941 W,86.1°,12.1 kn,-,2021-03-31,2021-03-20-23:17
LNG CROSS RIVER,9262223,310478000,Bermuda,288,48,115993,79591,WEST AFRICA,WEST AFRICA,2021-04-13-09:00,9.7,20.74005 S/54.372 E,257.7°,12.2 kn,-,2021-03-31,2021-03-25-10:28
LNG RIVER NIGER,9262235,310479000,Bermuda,288,48,115993,79541,SELECT,SELECT,2021-09-01-00:00,,8.10543 N/16.25235 W,138.4°,13.9 kn,-,2021-03-31,2021-03-26-06:54
LNG ADAMAWA,9262211,310469000,Bermuda,289,48,115993,79566,ESCAR,Cartagena,2021-04-01-16:00,11.3,34.60883 N/8.36666 W,54.0°,16.6 kn,Under way,2021-03-31,2021-03-31-07:23
LNG AKWA IBOM,9262209,310453000,Bermuda,289,48,115993,79633,ESSCT>NGBON,Bonny,2021-04-05-07:00,10.3,8.7196 N/18.57655 W,143.0°,15.0 kn,Under way,2021-03-31,2021-03-31-07:22
SM EAGLE,9761827,370895000,Panama,295,46,115716,97975,KRTYG,Tongyeong,2021-04-02-00:00,11.1,32.34718 N/141.47771 E,262.6°,17.9 kn,-,2021-03-31,2021-03-30-14:36
GASLOG GEORGETOWN,9864916,310800000,Bermuda,293,46,115636,89000,-,-,2021-04-08-11:00,9.4,37.69379 N/29.4389 W,244.3°,13.5 kn,-,2021-03-31,2021-03-29-14:36
HYUNDAI PEACEPIA,9761853,374816000,Panama,296,46,115541,98344,PACTB>KRTYG,Tongyeong,2021-04-16-02:00,11.3,7.13987 N/80.05567 W,227.1°,19.9 kn,-,2021-03-31,2021-03-25-05:25
BRITISH CONTRIBUTOR,9766554,232006298,Isle of Man,295,46,115366,94558,ES ALG,Algeciras,2021-03-31-06:00,11.2,36.04427 N/5.26406 W,111.6°,1.6 kn,Under way,2021-03-31,2021-03-31-07:30
BRITISH MENTOR,9766578,232006296,Isle of Man,295,46,115366,94528,SG SIN,Singapore,2021-04-04-12:00,9.9,34.50037 N/139.56379 E,195.1°,18.8 kn,-,2021-03-31,2021-03-23-08:03
BRITISH LISTENER,9766566,232006297,Isle of Man,295,46,115366,94494,BR RIO,RiodeJaneiro,2021-04-15-12:00,11.0,29.41604 N/93.62725 W,179.8°,0.0 kn,At anchor,2021-03-31,2021-03-31-07:28
BRITISH PARTNER,9766530,232006301,Isle of Man,295,46,115366,94442,US FPO,Freeport,2021-03-29-18:00,9.4,28.78972 N/95.09215 W,180.0°,0.0 kn,At anchor,2021-03-31,2021-03-31-07:28
PEARL LNG,9862346,215573000,Malta,293,46,115345,88000,S ATLANTIC,S ATLANTIC,2021-04-28-04:00,11.6,26.36661 N/89.29655 W,114.6°,16.1 kn,Under way,2021-03-31,2021-03-31-01:44
FLEX RANGER,9709025,538007621,Marshall Islands,293,46,115174,88684,GULF OF SUEZ,GULF OF SUEZ,2021-04-01-00:01,11.2,23.75394 N/37.02473 E,168.2°,1.1 kn,Under way,2021-03-31,2021-03-30-20:07
FLEX RAINBOW,9709037,538007620,Marshall Islands,293,46,115174,88684,-,-,-,10.3,8.40236 N/79.44877 W,178.6°,18.2 kn,-,2021-03-31,2021-03-13-01:44
GASLOG GLADSTONE,9744025,310779000,Bermuda,293,46,115024,87955,FOR_ORDERS,FOR_ORDERS,2021-04-01-22:00,11.3,13.25472 N/100.39766 W,295.7°,19.1 kn,-,2021-03-31,2021-03-14-08:03
PAN EUROPE,9750244,477157300,Hong Kong,290,47,114996,88613,FOR ORDERS,FOR ORDERS,2021-04-10-00:01,11.4,23.49363 S/13.41445 E,205.6°,18.9 kn,-,2021-03-31,2021-03-23-15:12
PAN AMERICAS,9750232,477142700,Hong Kong,290,47,114996,88425,FOR ORDERS,FOR ORDERS,2021-04-02-06:00,11.5,26.06673 N/79.37037 W,33.3°,19.5 kn,-,2021-03-31,2021-03-19-17:52
PAN AFRICA,9750256,477168300,Hong Kong,290,47,114996,88438,FOR ORDERS,FOR ORDERS,2021-04-16-02:00,9.5,17.38547 N/66.82482 E,195.7°,15.6 kn,-,2021-03-31,2021-03-24-07:14
LNG PHECDA,9834313,477345700,Hong Kong,295,45,114790,97000,PORT SAID EGYPT,PortSaid,2021-04-05-12:00,11.5,36.01997 N/7.05735 W,101.6°,17.2 kn,Under way,2021-03-31,2021-03-31-07:17
LNG DUBHE,9834296,477327900,Hong Kong,295,45,114790,91588,BE ZEE,Zeebrugge,2021-05-04-23:01,9.5,1.38242 N/104.42925 E,51.0°,18.2 kn,-,2021-03-31,2021-03-21-13:44
LNG MERAK,9834301,477345800,Hong Kong,295,45,114790,91451,CN TXG,TianjinXingang,2021-03-31-10:00,11.5,38.67177 N/120.49309 E,281.0°,15.8 kn,Under way,2021-03-31,2021-03-31-07:29
PATRIS,9766889,636018010,Liberia,295,46,114758,95743,TTPTF,PointFortin,2021-04-08-01:00,9.7,35.65839 N/6.98691 W,243.9°,19.4 kn,Under way,2021-03-31,2021-03-31-07:31
KINISIS,9785158,636018011,Liberia,295,46,114758,95673,FOR ORDERS,FOR ORDERS,2021-04-27-08:00,9.1,2.93439 N/100.89416 E,314.3°,19.7 kn,-,2021-03-31,2021-03-29-05:17
BW MAGNOLIA,9850666,563092200,Singapore,295,46,114622,95547,CRISTOBAL ANCHORAGE,CRISTOBAL ANCHORAGE,2021-03-08-13:00,10.2,9.39909 N/79.94242 W,304.2°,0.0 kn,At anchor,2021-03-31,2021-03-31-07:30
GASLOG HONG KONG,9748904,310773000,Bermuda,290,46,114470,92266,FRFOS,Fossurmer,2021-04-06-04:00,11.3,26.02876 N/79.42189 W,35.1°,19.4 kn,-,2021-03-31,2021-03-26-02:21
FLEX RESOLUTE,9851646,538008815,Marshall Islands,295,46,114380,95500,GOM FO,GOM FO,2021-04-08-06:00,9.0,37.69753 N/28.97091 W,271.2°,15.1 kn,-,2021-03-31,2021-03-30-09:52
FLEX FREEDOM,9862308,538008814,Marshall Islands,295,46,114380,95500,PH MNL,Manila,2021-04-03-00:01,9.6,19.71707 N/108.44941 E,210.9°,12.5 kn,-,2021-03-31,2021-03-30-17:16
BW LILAC,9758076,248587000,Malta,295,46,114364,95978,INDHP,DabholPort,2021-04-21-00:01,11.3,26.28138 N/91.57458 W,153.8°,15.5 kn,-,2021-03-31,2021-03-21-13:47
BW TULIP,9758064,563041600,Singapore,295,46,114364,95785,BALBOA,Balboa,2021-03-26-22:00,9.6,8.82836 N/79.5062 W,226.6°,0.1 kn,At anchor,2021-03-31,2021-03-31-07:28
BW PAVILION ARANDA,9792606,563082400,Singapore,295,46,114355,95876,USNSS,USNSS,2021-04-02-00:01,9.7,51.45314 N/5.76371 W,258.4°,12.0 kn,-,2021-03-31,2021-03-14-17:42
LNG SOKOTO,9216303,310378000,Bermuda,289,48,114354,79822,NGBON,Bonny,2021-04-07-20:00,10.0,10.40265 N/19.15574 W,147.7°,14.3 kn,-,2021-03-31,2021-03-27-18:29
