Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,EUROPE,EUROPE,2021-04-15-18:00,12.1,35.39225 S/23.29971 E,250.6°,19.9 kn,-,2021-04-05,2021-04-04-08:26
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,PERSIAN GULF,Soroosh,2021-04-10-06:06,9.1,18.26426 N/39.66748 E,135.9°,2.5 kn,-,2021-04-05,2021-04-04-15:49
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,ZHOUSHAN ANCHORAGE,ZHOUSHAN ANCHORAGE,2021-04-03-04:04,9.4,29.81412 N/122.43416 E,285.3°,0.2 kn,At anchor,2021-04-05,2021-04-05-12:26
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,-,-,-,9.5,25.78549 N/51.89633 E,18.8°,0.1 kn,At anchor,2021-04-05,2021-04-05-10:34
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,INDIAN OCEAN,INDIAN OCEAN,2021-04-20-09:09,9.4,7.22832 N/15.44744 W,144.2°,20.1 kn,-,2021-04-05,2021-04-01-12:21
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,PGBG SINGAPORE,Singapore,2021-04-05-02:02,9.4,1.17364 N/103.70216 E,359.6°,0.0 kn,At anchor,2021-04-05,2021-04-05-12:33
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,PORT SAID,PortSaid,2021-04-04-18:18,9.5,31.39443 N/32.27129 E,159.4°,0.2 kn,At anchor,2021-04-05,2021-04-05-12:30
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,PORT ELIZABETH,PortElizabeth,2021-04-05-07:07,12.0,33.88118 S/25.67464 E,37.6°,0.0 kn,At anchor,2021-04-05,2021-04-05-12:31
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,SOUTH KOREA,SOUTH KOREA,2021-04-15-21:21,12.1,7.44395 N/76.32508 E,128.4°,19.6 kn,-,2021-04-05,2021-04-04-17:18
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,QATAR,Doha,2021-04-05-21:21,9.2,25.80584 N/51.83035 E,245.7°,3.5 kn,-,2021-04-05,2021-04-04-21:51
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,QATAR,Doha,2021-04-10-12:00,9.6,3.81982 N/100.11971 E,323.0°,17.2 kn,-,2021-04-05,2021-04-02-18:29
RASHEEDA,9443413,538003362,Marshall Islands,345,54,163922,130208,GB IOG,Grain,2021-04-08-22:01,12.1,38.5365 N/9.89563 W,346.3°,15.9 kn,Under way,2021-04-05,2021-04-05-12:33
MEKAINES,9397303,538003365,Marshall Islands,345,54,163922,130171,PORT SAID,PortSaid,2021-04-09-12:12,9.4,37.50295 N/3.39379 E,86.0°,16.0 kn,Under way,2021-04-05,2021-04-05-11:01
NOHSHU MARU,9796781,311000579,Bahamas,298,49,149367,97902,JP KWS>US FPO,Freeport,2021-04-19-10:00,9.5,34.95231 S/16.85167 E,287.8°,13.9 kn,-,2021-04-05,2021-03-29-16:49
BUSHU MARU,9796793,311000846,Bahamas,298,49,149367,97955,TANGSHAN,Jintang,2021-04-24-03:00,11.5,8.37489 N/79.4636 W,180.4°,19.8 kn,-,2021-04-05,2021-04-03-00:17
PACIFIC BREEZE,9698123,538007670,Marshall Islands,300,52,144978,92830,AU DRW,Darwin,2021-04-04-21:30,10.0,12.50874 S/130.91402 E,328.8°,0.0 kn,Moored,2021-04-05,2021-04-05-12:32
DIAMOND GAS SAKURA,9810020,311000771,Bahamas,294,49,144828,87494,PA_CTB>JP_CTA,PA_CTB>JP_CTA,2021-04-07-21:15,11.5,8.38108 N/79.44932 W,180.4°,16.4 kn,-,2021-04-05,2021-03-17-01:17
DIAMOND GAS ROSE,9779238,311000770,Bahamas,294,49,144828,94145,PA BLB,Balboa,2021-04-20-19:00,10.0,34.3931 N/139.41111 E,199.3°,19.8 kn,-,2021-04-05,2021-02-26-15:37
