Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
ASIA EXCELLENCE,9610767,311000184,Bahamas,285,43,101427,82721,"Dapeng, China",2021-05-08-04:19,DAM AUS,,2021-05-24-22:00,9.3,,201.0°,19.7 kn,Under way,2021-05-09,2021-05-09-01:46
POINT FORTIN,9375721,370833000,Panama,290,45,101129,79592,"Gatun Anch., Panama",2021-04-14-14:58,"Tianjin Anch., China",,2021-05-09-00:35,11.5,,78.2°,0.0 kn,At anchor,2021-05-09,2021-05-09-08:53
TRINITY GLORY,9350927,370668000,Panama,290,45,101126,79605,"Darwin, Australia",2021-04-14-09:51,"Yangpu, China",,2021-05-11-22:00,11.6,,261.0°,12.5 kn,Under way,2021-05-09,2021-05-09-02:05
TRINITY ARROW,9319404,353392000,Panama,290,45,101094,79556,"Port Said Anch., Egypt",2021-04-21-03:05,FUJIARAH,,2021-05-12-10:00,9.6,,162.0°,17.1 kn,-,2021-05-09,2021-05-05-06:35
MALANJE,9490959,311038600,Bahamas,285,43,100723,82729,"Soyo, Angola",2021-04-29-06:41,REUNION OPL,,2021-05-09-08:30,11.3,,168.1°,0.9 kn,Under way,2021-05-09,2021-05-09-08:54
CUBAL,9491812,311038400,Bahamas,285,43,100723,82834,"Soyo, Angola",2021-04-12-11:02,FUJIAN-CHINA,,2021-05-10-08:27,11.5,,4.0°,9.3 kn,Under way,2021-05-09,2021-05-09-08:55
SOYO,9475208,311038500,Bahamas,285,43,100723,82858,"Singapore Anch. 1, Singapore",2021-04-10-16:58,FOR ORDERS,,2021-05-06-06:00,9.3,,47.1°,5.0 kn,Under way,2021-05-09,2021-05-09-06:56
LOBITO,9490961,311038700,Bahamas,285,43,100723,82929,"Port Qasim, Pakistan",2021-04-28-01:46,FOR ORDERS,,2021-05-19-05:00,9.7,,260.1°,14.6 kn,Under way,2021-05-09,2021-05-08-22:26
HYUNDAI ECOPIA,9372999,370983000,Panama,288,44,100545,83959,"Okpo Anch., Korea",2021-05-04-21:43,"Gladstone, Australia",,2021-05-21-21:30,9.5,,89.0°,1.6 kn,-,2021-05-09,2021-04-29-11:42
GRACE COSMOS,9323675,311191000,Bahamas,288,44,100481,85224,"Dalian, China",2021-04-29-21:40,"Dampier, Australia",,2021-05-12-16:01,9.4,,112.4°,14.9 kn,-,2021-05-09,2021-04-29-22:45
GASLOG CHELSEA,9390185,310670000,Bermuda,289,44,100374,86353,"Mina al Fahl Anch., Oman",2021-04-27-11:11,TOKYO BAY,,2021-05-15-00:01,11.5,,49.0°,18.1 kn,-,2021-05-09,2021-05-07-21:58
GRACE ACACIA,9315707,308136000,Bahamas,288,44,100341,85214,"Gladstone, Australia",2021-04-20-03:11,"Gladstone Anch., Australia",,2021-04-20-04:23,9.3,,168.6°,14.9 kn,-,2021-05-09,2021-05-07-09:53
GRACE BARLERIA,9315719,431115000,Japan,288,44,100256,84812,"Bintulu, Sarawak, Malaysia",2021-04-25-02:58,"Zhuhai, China",,2021-04-25-00:30,11.1,,180.9°,7.0 kn,-,2021-05-09,2021-04-30-08:38
NEO ENERGY,9324277,636013234,Liberia,288,44,100253,85602,"Ras Laffan, Qatar",2021-05-02-00:46,"As Suways / Suez Port, Egypt",,2021-05-10-17:15,11.0,,333.0°,13.5 kn,Under way,2021-05-09,2021-05-09-08:53
OB RIVER,9315692,538002846,Marshall Islands,288,44,100244,84682,"Prigorodnoye, Russia",2021-04-30-21:43,JP NGO S1,,2021-05-11-07:00,11.3,,199.6°,10.2 kn,Under way,2021-05-09,2021-05-09-03:39
ARCTIC AURORA,9645970,229767000,Malta,288,44,100236,84604,"Point Fortin, Trinidad & Tobago",2021-05-05-23:37,"Klaipeda, Lithuania",,2021-05-20-21:00,11.0,,50.5°,14.8 kn,-,2021-05-09,2021-05-06-03:58
YENISEI RIVER,9629586,538005072,Marshall Islands,288,44,100236,84565,"Sabine, United States (USA)",2021-04-28-14:22,"Tianjin Xingang, China",,2021-06-06-16:01,11.6,,129.0°,18.6 kn,-,2021-05-09,2021-04-29-17:36
LENA RIVER,9629598,538005073,Marshall Islands,288,44,100236,84585,"Dalian Anch., China",2021-04-09-22:48,SABINE PASS USA,,2021-05-25-05:00,9.8,,283.6°,15.8 kn,-,2021-05-09,2021-05-02-15:20
K. MUGUNGWHA,9373010,370612000,Panama,288,43,99151,87442,"Panama Canal Anch. Pacific, Panama",2021-05-05-08:53,NSS USA,,2021-05-10-05:01,10.2,,88.0°,17.3 kn,Under way,2021-05-09,2021-05-09-08:52
AL AREESH,9325697,311038000,Bahamas,288,43,99106,90617,"Adriatic LNG LNG Term., Italy",2021-05-08-10:48,"Dumyat, Egypt",,2021-05-12-09:00,9.3,,224.9°,0.0 kn,Moored,2021-05-09,2021-05-09-08:52
AL MARROUNA,9325685,311468000,Bahamas,288,43,99106,90617,"Ras Laffan Anch., Qatar",2021-05-09-03:08,"Ras Laffan, Qatar",,2021-05-09-05:14,9.3,,280.1°,10.1 kn,Under way,2021-05-09,2021-05-09-05:17
AL DAAYEN,9325702,311133000,Bahamas,288,43,99106,90617,"Ras Laffan, Qatar",2021-04-28-21:36,FOR ORDERS,,2021-05-05-00:00,11.3,,152.0°,14.4 kn,-,2021-05-09,2021-05-02-11:57
LNG LOKOJA,9269960,310519000,Bermuda,288,43,98798,83965,"Abidjan Anch., Cote d'Ivoire",2021-04-26-18:46,"Bonny, Nigeria",,2021-05-08-10:21,9.3,,92.9°,0.4 kn,-,2021-05-09,2021-04-26-15:02
LNG IMO,9311581,310565000,Bermuda,288,43,98798,83688,"Bonny, Nigeria",2021-05-06-03:49,"Livorno, Italy",,2021-05-17-05:00,11.4,,341.0°,12.5 kn,-,2021-05-09,2021-04-23-10:27
LNG ONDO,9311579,310550000,Bermuda,288,43,98798,83688,"Bonny, Nigeria",2021-04-15-10:52,"Bonny, Nigeria",,2021-05-11-09:30,9.5,,149.4°,13.2 kn,-,2021-05-09,2021-05-05-00:33
LNG KANO,9311567,310534000,Bermuda,288,43,98798,83961,"Escombreras, Spain",2021-04-17-11:41,NG BON>?? ???,,2021-05-15-15:00,9.4,,182.1°,8.1 kn,-,2021-05-09,2021-05-02-01:25
AMALI,9496317,508111132,Brunei,284,43,98490,72800,"Anegasaki, Japan",2021-05-08-09:59,SCS,,2021-05-15-22:30,9.4,,215.0°,16.1 kn,-,2021-05-09,2021-05-08-15:58
GASLOG SKAGEN,9626285,310664000,Bermuda,285,43,98451,81847,"Ingleside, United States (USA)",2021-05-06-19:50,"Cristobal, Panama",,2021-05-10-14:00,11.3,,111.6°,18.2 kn,-,2021-05-09,2021-05-08-00:18
