Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
GEORGIY USHAKOV,9750749,311000633,Bahamas,299,50,128969,96796,"Sabetta, Russia",2021-05-31-22:26,GBIOG,,2021-06-08-07:00,11.9,,256.2°,15.0 kn,Under way,2021-06-04,2021-06-04-07:07
VLADIMIR VORONIN,9750737,311000632,Bahamas,299,50,128969,96840,"Sabetta, Russia",2021-06-03-16:27,"Montoir, France",,2021-06-12-01:24,12.2,,113.2°,1.7 kn,-,2021-06-04,2021-05-25-21:11
MARVEL EAGLE,9759240,374375000,Panama,300,49,128917,83571,"Gatun Anch., Panama",2021-04-30-15:03,"Sakaide, Japan",,2021-06-03-23:20,9.5,,223.5°,5.8 kn,Under way,2021-06-04,2021-06-04-06:29
MARVEL PELICAN,9759252,356051000,Panama,300,49,128917,83636,"Panama Canal Anch. Atlantic, Panama",2021-05-20-09:22,"Yung An, Taiwan",,2021-06-12-16:00,11.0,,283.9°,16.8 kn,-,2021-06-04,2021-05-28-06:54
VLADIMIR RUSANOV,9750701,477150100,Hong Kong,299,50,128806,96844,"Thamesport, United Kingdom (UK)",2021-05-19-03:02,"Bilbao, Spain",,2021-06-06-22:01,12.0,,195.0°,15.4 kn,-,2021-06-04,2021-06-03-23:08
CHRISTOPHE DE MARGERIE,9737187,212611000,Cyprus,299,50,128806,96779,"Rotterdam Maasvlakte, Netherlands",2021-06-03-23:01,"Rotterdam, Netherlands",,2021-06-03-22:01,12.0,,-,0.0 kn,Moored,2021-06-04,2021-06-04-07:04
FEDOR LITKE,9768370,212660000,Cyprus,299,50,128806,96839,"Zeebrugge, Belgium",2021-05-31-11:17,"Sabetta, Russia",,2021-06-07-00:01,10.8,,60.7°,17.7 kn,Under way,2021-06-04,2021-06-04-02:00
GEORGIY BRUSILOV,9768382,212770000,Cyprus,299,50,128806,96847,"Sabetta, Russia",2021-05-30-07:26,"Zeebrugge, Belgium",,2021-06-06-18:00,12.0,,201.3°,16.9 kn,Under way,2021-06-04,2021-06-04-07:06
VLADIMIR VIZE,9750658,477194200,Hong Kong,299,50,128806,96851,"Sabetta, Russia",2021-05-26-15:07,"Zeebrugge, Belgium",,2021-06-02-20:30,12.0,,-,0.0 kn,Moored,2021-06-04,2021-06-04-07:06
BORIS VILKITSKY,9768368,212654000,Cyprus,299,50,128806,96958,"Zeebrugge, Belgium",2021-05-30-06:25,"Sabetta, Russia",,2021-06-05-17:00,10.6,,57.4°,19.2 kn,-,2021-06-04,2021-06-02-22:09
LNG FUKUROKUJU,9666986,311000365,Bahamas,293,49,127242,83809,"Bonny, Nigeria",2021-05-28-18:33,"Ferrol, Spain",,2021-06-06-04:00,11.9,,14.0°,18.7 kn,Under way,2021-06-04,2021-06-04-06:50
CASTILLO DE CALDELAS,9742819,248720000,Malta,297,49,126004,93241,"Sabine, United States (USA)",2021-05-02-09:36,"Singapore Anch. 1, Singapore",,2021-06-03-20:49,12.0,,170.1°,0.0 kn,At anchor,2021-06-04,2021-06-04-07:06
CASTILLO DE MERIDA,9742807,248516000,Malta,287,49,126004,93241,"Sabine, United States (USA)",2021-05-29-12:55,"Revithoussa Desfa LNG Term., Greece",,2021-06-15-03:00,11.3,,136.4°,19.0 kn,-,2021-06-04,2021-05-30-04:08
PACIFIC ARCADIA,9621077,311072200,Bahamas,288,49,123005,78311,"Tianjin Xingang, China",2021-05-30-00:47,"Prigorodnoye, Russia",,2021-06-08-20:00,9.6,,125.8°,12.0 kn,-,2021-06-04,2021-06-01-03:50
NIKOLAY ZUBOV,9768526,209351000,Cyprus,299,50,122806,96865,"Thamesport, United Kingdom (UK)",2021-05-30-01:02,"Sabetta, Russia",,2021-06-05-20:00,10.4,,48.0°,16.2 kn,-,2021-06-04,2021-06-02-16:02
BORIS DAVYDOV,9768394,209356000,Cyprus,299,50,122806,96765,"Dunkerque, France",2021-06-03-19:12,"Sabetta, Russia",,2021-06-11-09:00,11.0,,51.2°,16.0 kn,Under way,2021-06-04,2021-06-04-06:55
CYGNUS PASSAGE,9376294,309739000,Bahamas,288,49,122444,79555,"Yura, Wakayama, Japan",2021-05-10-23:01,Destination not available,,-,7.6,,64.0°,6.3 kn,-,2021-06-04,2021-05-10-22:43
ALTO ACRUX,9343106,308592000,Bahamas,288,49,122361,80229,"Pyeongtaek, Korea",2021-05-14-22:48,"Yokkaichi, Japan",,2021-06-06-21:00,11.2,,240.0°,16.9 kn,-,2021-06-04,2021-05-15-01:02
ADRIANO KNUTSEN,9831220,224983000,Spain,299,48,122261,96354,"Rotterdam Maasvlakte, Netherlands",2021-05-27-22:40,"Corpus Christi, United States (USA)",,2021-06-08-17:00,9.8,,246.0°,17.7 kn,-,2021-06-04,2021-05-29-19:03
TRAIANO KNUTSEN,9854765,257575000,Norway,299,48,122261,95870,"Ingleside, United States (USA)",2021-05-25-16:48,"Rotterdam, Netherlands",,2021-06-06-22:00,11.2,,0.2°,19.9 kn,-,2021-06-04,2021-05-28-11:10
GRAND ANIVA,9338955,212883000,Cyprus,288,49,122239,74044,"Niigata, Japan",2021-06-04-00:24,"Prigorodnoye, Russia",,2021-06-06-07:00,9.3,,333.8°,11.9 kn,Under way,2021-06-04,2021-06-04-04:03
PRISM BRILLIANCE,9810551,371086000,Panama,299,48,122166,97494,"Swinoujscie, Poland",2021-05-15-09:13,"Freeport, United States (USA)",,2021-06-05-13:30,9.9,,272.0°,16.2 kn,-,2021-06-04,2021-06-04-06:47
PRISM AGILITY,9810549,372487000,Panama,299,48,122166,97494,"Ciwandan Anch., Indonesia",2021-05-18-03:54,"Galveston, United States (USA)",,2021-06-21-13:00,9.6,,298.4°,15.5 kn,-,2021-06-04,2021-05-31-22:33
ENERGY UNIVERSE,9758844,354114000,Panama,300,49,122142,88700,"Withnell Bay, Australia",2021-05-24-07:22,"Tongyeong, Korea",,2021-06-02-02:00,11.6,,325.9°,10.2 kn,-,2021-06-04,2021-06-02-01:22
ENERGY LIBERTY,9736092,431540000,Japan,300,49,121982,88676,"Singapore, Singapore",2021-04-15-02:23,Destination not available,,-,6.1,,234.8°,0.8 kn,Moored,2021-06-04,2021-06-04-05:34
ENERGY GLORY,9752565,431776000,Japan,300,49,121981,88677,"Yokohama, Japan",2021-05-21-03:43,>JP TSU OFF,,2021-06-09-00:00,9.6,,212.7°,12.7 kn,-,2021-06-04,2021-05-21-09:32
LNG JUPITER,9341689,311019200,Bahamas,290,49,121675,81950,"Tieshan, China",2021-05-23-06:40,"Barrow Island, Australia",,2021-06-05-00:00,9.6,,200.7°,13.2 kn,-,2021-06-04,2021-05-23-11:12
ARCTIC PRINCESS,9271248,257739000,Norway,288,49,121597,84878,"Sabine, United States (USA)",2021-05-31-22:13,"Cristobal, Panama",,2021-06-04-23:00,11.0,,115.1°,18.8 kn,-,2021-06-04,2021-06-01-15:03
ARCTIC LADY,9284192,257742000,Norway,288,49,121597,84878,"Montevideo Anch., Uruguay",2021-05-27-13:25,SABINE PASS,,2021-06-12-03:01,9.1,,43.8°,16.0 kn,-,2021-06-04,2021-05-28-12:48
LNG BARKA,9341299,308579000,Bahamas,290,49,121514,82308,"Yokohama, Japan",2021-05-11-23:11,JP YOK XX HNM,,2021-06-08-00:01,6.0,,224.6°,0.0 kn,Moored,2021-06-04,2021-06-04-07:06
ENERGY CONFIDENCE,9405588,432694000,Japan,290,49,121413,75891,"Singapore Anch. 3, Singapore",2021-06-03-01:28,"Darwin, Australia",,2021-06-27-20:30,9.7,,139.3°,11.1 kn,Under way,2021-06-04,2021-06-04-05:44
GASLOG WARSAW,9816763,241662000,Greece,297,47,120859,92996,"Ingleside, United States (USA)",2021-05-30-12:03,PAPCN,,2021-06-03-14:39,11.0,,290.9°,0.0 kn,At anchor,2021-06-04,2021-06-04-07:06
GASLOG WINDSOR,9819650,310787000,Bermuda,297,47,120709,98000,"Thamesport, United Kingdom (UK)",2021-05-09-11:36,"Cove Point, United States (USA)",,2021-06-09-00:01,9.4,,186.0°,0.0 kn,-,2021-06-04,2021-06-02-08:57
GRAND MEREYA,9338929,209856000,Cyprus,290,49,120525,74497,"Shikama, Japan",2021-05-20-04:46,"Dalian, China",,2021-06-02-23:00,11.3,,299.3°,0.0 kn,-,2021-06-04,2021-06-03-06:41
GAIL BHUWAN,9877145,209997000,Cyprus,298,48,119891,98300,"Cove Point, United States (USA)",2021-05-25-13:45,"Dahej, India",,2021-06-21-00:01,11.4,,116.3°,15.6 kn,-,2021-06-04,2021-05-25-21:27
LNG SCHNEEWEISSCHEN,9771913,357315000,Panama,298,48,119660,98747,"Boryeong, Korea",2021-05-24-04:25,"Freeport, United States (USA)",,2021-07-16-11:30,9.5,,203.3°,14.9 kn,-,2021-06-04,2021-05-31-09:58
ENERGY FRONTIER,9245720,432420000,Japan,290,49,119393,73795,"Nagoya, Japan",2021-05-19-00:24,"Prigorodnoye, Russia",,2021-06-02-08:00,9.8,,115.4°,8.9 kn,-,2021-06-04,2021-05-19-04:34
ENERGY ADVANCE,9269180,432495000,Japan,290,49,119233,73739,"Hiroshima, Japan",2021-05-19-03:58,"Yung An, Taiwan",,2021-06-05-23:30,11.2,,183.9°,12.7 kn,-,2021-06-04,2021-05-31-21:25
LNG DREAM,9277620,309065000,Bahamas,290,49,118876,80889,"Kawasaki, Japan",2021-05-22-23:06,OPL BINTULU,,2021-06-03-02:00,10.0,,232.8°,10.5 kn,-,2021-06-04,2021-05-23-18:58
ENERGY NAVIGATOR,9355264,432634000,Japan,290,49,118842,73640,"Singapore Anch. 1, Singapore",2021-05-26-06:21,AU WHEATSTONE,,2021-06-06-08:30,10.4,,82.0°,11.1 kn,-,2021-06-04,2021-05-26-11:22
TAITAR NO. 4,9403657,351767000,Panama,290,49,118634,77053,"Taichung, Taiwan",2021-06-02-22:04,"Manila, Philippines",,2021-06-04-20:00,9.9,,203.2°,19.4 kn,-,2021-06-04,2021-06-03-07:17
TAITAR NO. 1,9403669,371846000,Panama,290,49,118634,77089,"Manila Anch., Philippines",2021-06-01-08:47,RAS LFFAN QATAR,,2021-06-12-03:00,9.6,,293.1°,14.9 kn,Under way,2021-06-04,2021-06-04-07:07
TAITAR NO. 3,9403671,372195000,Panama,290,49,118634,77089,"Taichung, Taiwan",2021-05-21-21:47,"Ras Laffan, Qatar",,2021-06-04-15:00,9.9,,266.2°,18.0 kn,Under way,2021-06-04,2021-06-04-07:06
TAITAR NO. 2,9403645,372307000,Panama,290,49,118634,77089,"Ras Laffan, Qatar",2021-06-02-04:11,"Taichung, Taiwan",,2021-06-14-21:30,11.4,,144.7°,18.6 kn,-,2021-06-04,2021-06-03-12:26
IBRI LNG,9317315,355580000,Panama,290,49,118608,77282,"Lake Charles, United States (USA)",2021-05-24-23:17,"Ennore, India",,2021-06-28-06:00,11.4,,125.9°,17.3 kn,-,2021-06-04,2021-05-25-16:57
ARCTIC VOYAGER,9275335,309998000,Bahamas,290,49,118571,75485,"Ferrol, Spain",2021-05-03-02:25,Destination not available,,-,9.2,,0.0°,0.0 kn,-,2021-06-04,2021-06-03-07:27
ARCTIC DISCOVERER,9276389,309481000,Bahamas,290,49,118571,75485,"Ingleside, United States (USA)",2021-05-21-22:32,"Klaipeda, Lithuania",,2021-06-07-09:00,11.3,,86.7°,18.8 kn,Under way,2021-06-04,2021-06-04-07:07
LALLA FATMA N'SOUMER,9275347,311775000,Bahamas,290,49,118363,80920,"Arzew, Algeria",2021-06-03-15:37,LIV0RNO OPL,,2021-06-05-08:00,11.5,,45.7°,17.0 kn,Under way,2021-06-04,2021-06-04-06:48
ELISA LARUS,9852975,228385600,France,297,46,118286,82244,"Panama Canal Anch. Pacific, Panama",2021-05-31-03:21,PA CTB > ASIA,,2021-06-24-21:00,11.5,,177.6°,13.3 kn,-,2021-06-04,2021-05-31-05:07
FUJI LNG,9275359,229443000,Malta,290,49,118219,77351,"Sabine, United States (USA)",2021-05-27-10:26,Destination not available,,-,11.2,,137.7°,16.1 kn,-,2021-06-04,2021-05-28-04:26
SYMPHONIC BREEZE,9330745,309839000,Bahamas,290,49,117895,77163,"Kisarazu, Japan",2021-05-28-02:42,"Singapore, Singapore",,2021-06-07-06:00,10.0,,226.8°,11.1 kn,-,2021-06-04,2021-05-28-13:58
DIAMOND GAS METROPOLIS,9862487,311000968,Bahamas,297,46,117564,81950,"Tieshan, China",2021-05-19-07:18,"Balboa, Panama",,2021-06-15-07:00,9.7,,84.6°,16.3 kn,-,2021-06-04,2021-05-25-07:59
YAMAL SPIRIT,9781920,311000666,Bahamas,294,48,117162,91610,"Pyeongtaek, Korea",2021-05-20-23:44,Destination not available,,-,9.5,,312.0°,20.7 kn,-,2021-06-04,2021-05-27-11:30
SK AUDACE,9693161,373808000,Panama,292,48,117031,94665,"Lake Charles, United States (USA)",2021-05-30-13:24,"Zeebrugge, Belgium",,2021-06-11-13:00,10.1,,7.3°,20.2 kn,-,2021-06-04,2021-06-02-01:53
SK RESOLUTE,9693173,354184000,Panama,292,48,117031,94665,"Panama Canal Anch. Atlantic, Panama",2021-06-01-09:43,"Incheon, Korea",,2021-06-21-15:00,11.2,,179.6°,17.0 kn,-,2021-06-04,2021-06-02-00:48
SCF LA PEROUSE,9849887,636019530,Liberia,299,46,116779,81855,"Lake Charles, United States (USA)",2021-05-20-20:54,"Port Said, Egypt",,2021-06-05-16:00,11.4,,105.3°,17.8 kn,Under way,2021-06-04,2021-06-04-07:07
SCF BARENTS,9864746,636019878,Liberia,299,46,116779,81855,"Panama Canal Anch. Atlantic, Panama",2021-05-27-09:04,Destination not available,,-,11.5,,181.5°,18.8 kn,-,2021-06-04,2021-05-27-23:30
SCF TIMMERMAN,9870525,636020078,Liberia,299,46,116779,81855,"Singapore Anch. 1, Singapore",2021-05-30-14:26,FOR ORDERS,,2021-06-22-05:00,9.7,,318.0°,15.9 kn,-,2021-06-04,2021-05-31-09:20
UMM AL ASHTAN,9074652,636010647,Liberia,290,48,116703,73100,"Das Island, United Arab Emirates (UAE)",2021-05-20-06:33,"Kawasaki, Japan",,2021-06-05-16:16,11.5,,36.6°,16.5 kn,-,2021-06-04,2021-06-02-09:33
AL HAMRA,9074640,636010544,Liberia,289,48,116703,72990,"Al Fujayrah Anch., United Arab Emirates (UAE)",2021-05-30-04:50,AE DAS>CN GUT,,2021-06-11-16:16,11.6,,134.6°,16.6 kn,-,2021-06-04,2021-05-31-02:36
MUBARAZ,9074626,636010373,Liberia,290,48,116703,72950,"Dahej, India",2021-06-02-04:27,"Das Island, United Arab Emirates (UAE)",,2021-06-06-04:00,11.5,,269.6°,14.7 kn,-,2021-06-04,2021-06-02-17:17
MRAWEH,9074638,636010457,Liberia,290,48,116703,73040,"Shanghai, China",2021-04-30-03:42,"Das Island, United Arab Emirates (UAE)",,2021-06-13-03:00,9.4,,316.0°,13.8 kn,-,2021-06-04,2021-05-28-15:28
LNG ABALAMABIE,9690171,310731000,Bermuda,292,48,116568,86925,"Bonny, Nigeria",2021-05-24-04:04,FOS CAVAOU,,2021-06-04-04:00,11.5,,353.3°,1.2 kn,Under way,2021-06-04,2021-06-04-07:06
LNG FINIMA II,9690145,310722000,Bermuda,292,48,116568,86867,"Singapore Anch. 1, Singapore",2021-05-28-00:45,BONNY NG,,2021-06-21-04:00,9.7,,325.0°,17.9 kn,-,2021-06-04,2021-05-28-18:48
LNG ABUJA II,9690169,310730000,Bermuda,292,48,116568,87147,"Bonny, Nigeria",2021-05-25-19:39,MON,,2021-06-05-00:30,10.8,,12.0°,12.8 kn,Under way,2021-06-04,2021-06-04-06:47
LNG PORT-HARCOURT II,9690157,310719000,Bermuda,292,48,116568,87139,"Bonny, Nigeria",2021-05-29-22:36,"Fos sur mer, France",,2021-06-09-07:00,10.9,,1.7°,18.4 kn,Under way,2021-06-04,2021-06-03-22:17
