Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,"Anjeong, Korea",2021-06-10-00:09,"Tongyeong, Korea",,2021-06-09-22:00,12.1,,0.2°,8.4 kn,-,2021-06-10,2021-06-09-20:23
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,"Ras Laffan Anch., Qatar",2021-06-01-05:31,FAR EAST,,2021-06-22-22:00,12.0,,127.4°,14.8 kn,-,2021-06-10,2021-06-02-20:40
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"Port Said Anch., Egypt",2021-06-10-03:21,"As Suways / Suez Port, Egypt",,2021-06-10-16:16,9.2,,193.0°,8.6 kn,-,2021-06-10,2021-06-10-09:40
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,"Ras Laffan Anch., Qatar",2021-06-02-12:47,"Doha, Qatar",,2021-06-02-15:15,9.5,,347.8°,0.0 kn,At anchor,2021-06-10,2021-06-10-09:42
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,"Ras Laffan Anch., Qatar",2021-06-08-10:11,FAR EAST,,2021-07-01-16:16,11.5,,127.9°,15.6 kn,-,2021-06-10,2021-06-09-14:22
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,"As Suways (Suez) Anch., Egypt",2021-06-06-04:27,GB MLF>?? ???,,2021-06-15-23:23,12.1,,266.0°,14.9 kn,Under way,2021-06-10,2021-06-10-09:43
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,"Incheon, Korea",2021-06-10-08:17,Destination not available,,-,12.0,,255.7°,14.8 kn,Under way,2021-06-10,2021-06-10-09:00
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,"Milford Haven, United Kingdom (UK)",2021-06-10-01:05,"Gibraltar, Gibraltar",,2021-06-12-20:00,9.4,,195.5°,18.8 kn,Under way,2021-06-10,2021-06-10-09:44
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,"Port Said Anch., Egypt",2021-06-08-03:09,"Ras Laffan, Qatar",,2021-06-16-03:03,9.4,,152.6°,16.5 kn,Under way,2021-06-10,2021-06-10-09:45
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,"Gibraltar West Anch., Gibraltar",2021-06-07-03:19,"Port Said, Egypt",,2021-06-12-18:00,9.5,,102.0°,15.2 kn,Under way,2021-06-10,2021-06-10-02:35
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,"Ras Laffan, Qatar",2021-05-28-04:20,SOUTH KOREA,,2021-06-14-19:30,12.2,,48.0°,18.4 kn,-,2021-06-10,2021-06-07-02:19
RASHEEDA,9443413,538003362,Marshall Islands,345,54,163922,130208,"Ras Laffan Anch., Qatar",2021-06-08-14:38,"Incheon, Korea",,2021-05-21-22:30,12.1,,218.4°,0.4 kn,Under way,2021-06-10,2021-06-10-09:46
MEKAINES,9397303,538003365,Marshall Islands,345,54,163922,130171,"Ras Laffan, Qatar",2021-06-08-07:49,QATAR-SUEZ,,2021-06-16-17:00,12.2,,127.4°,16.8 kn,-,2021-06-10,2021-06-09-10:23
NOHSHU MARU,9796781,311000579,Bahamas,298,49,149367,97902,"Wheatstone LNG Term., Australia",2021-06-02-07:48,"Kawasaki, Japan",,2021-06-11-21:00,11.2,,178.4°,14.5 kn,-,2021-06-10,2021-05-21-05:37
BUSHU MARU,9796793,311000846,Bahamas,298,49,149367,97955,"Panama Canal Anch. Atlantic, Panama",2021-06-08-10:41,JAPAN CHITA,,2021-06-28-21:00,11.5,,164.8°,1.2 kn,-,2021-06-10,2021-06-09-14:26
PACIFIC BREEZE,9698123,538007670,Marshall Islands,300,52,144978,92830,"Singapore Anch. 1, Singapore",2021-05-29-04:26,"Darwin, Australia",,2021-06-11-10:30,10.0,,81.1°,7.8 kn,-,2021-06-10,2021-06-04-08:33
