Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,"Ras Laffan, Qatar",2021-05-21-16:45,FAR EAST,,2021-06-09-21:21,12.3,,131.5°,15.0 kn,-,2021-05-26,2021-05-22-17:55
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,"Port Said Anch., Egypt",2021-05-11-01:02,"Ras Laffan Anch., Qatar",,2021-05-19-03:14,9.1,,183.4°,0.0 kn,At anchor,2021-05-26,2021-05-26-12:49
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"Malta Anch., Malta",2021-05-23-15:50,"Milford Haven, United Kingdom (UK)",,2021-05-29-22:01,12.0,,247.6°,12.4 kn,Under way,2021-05-26,2021-05-26-12:53
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,"Port Said Anch., Egypt",2021-05-25-04:25,Destination not available,,-,9.5,,137.3°,16.7 kn,Under way,2021-05-26,2021-05-26-09:25
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,"Incheon, Korea",2021-05-14-09:55,"Ras Laffan, Qatar",,2021-05-30-19:00,9.4,,308.0°,17.6 kn,-,2021-05-26,2021-05-21-22:37
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,"Port Said Anch., Egypt",2021-05-16-03:25,"Ras Laffan Anch., Qatar",,2021-05-24-14:44,9.2,,52.8°,0.0 kn,At anchor,2021-05-26,2021-05-26-12:39
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,"Ras Laffan, Qatar",2021-05-23-13:33,Destination not available,,-,10.0,,127.2°,18.4 kn,-,2021-05-26,2021-05-24-16:24
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,"Ras Laffan, Qatar",2021-05-19-13:13,"As Suways / Suez Port, Egypt",,2021-05-27-10:00,12.0,,325.8°,15.7 kn,Under way,2021-05-26,2021-05-26-11:30
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,"Antwerpen Anch., Belgium",2021-05-26-02:53,"Zeebrugge, Belgium",,2021-05-27-07:07,11.5,,329.0°,0.0 kn,-,2021-05-26,2021-05-26-12:46
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,"As Suways (Suez) Anch., Egypt",2021-05-23-05:31,EUROPE,,2021-06-01-23:00,12.1,,103.1°,0.6 kn,Under way,2021-05-26,2021-05-26-12:54
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,"Ras Laffan Anch., Qatar",2021-05-26-07:50,"Ras Laffan, Qatar",,2021-05-26-08:11,9.5,,171.3°,0.0 kn,Moored,2021-05-26,2021-05-26-12:40
RASHEEDA,9443413,538003362,Marshall Islands,345,54,163922,130208,"Incheon, Korea",2021-05-23-06:41, GULF,,2021-06-06-12:12,9.5,,170.0°,19.3 kn,-,2021-05-26,2021-05-24-08:42
MEKAINES,9397303,538003365,Marshall Islands,345,54,163922,130171,"Port Said Anch., Egypt",2021-05-20-03:43,"Aden, Yemen",,2021-05-28-17:00,10.9,,113.2°,17.7 kn,-,2021-05-26,2021-05-24-00:54
NOHSHU MARU,9796781,311000579,Bahamas,298,49,149367,97902,"Nagoya, Japan",2021-05-21-01:30,ASHBURTON,,2021-06-01-08:00,9.7,,178.4°,14.5 kn,-,2021-05-26,2021-05-21-05:37
BUSHU MARU,9796793,311000846,Bahamas,298,49,149367,97955,"Panama Canal Anch. Pacific, Panama",2021-05-25-08:31,"Freeport, Bahamas",,2021-06-02-11:00,9.8,,3.1°,14.9 kn,-,2021-05-26,2021-05-25-22:53
PACIFIC BREEZE,9698123,538007670,Marshall Islands,300,52,144978,92830,"Singapore Anch. 1, Singapore",2021-05-24-06:49,PGBG,,2021-05-24-06:15,10.0,,84.4°,0.0 kn,At anchor,2021-05-26,2021-05-26-12:51
DIAMOND GAS SAKURA,9810020,311000771,Bahamas,294,49,144828,87494,"Thamesport, United Kingdom (UK)",2021-05-23-06:22,"Lake Charles, United States (USA)",,2021-06-04-11:00,9.8,,261.0°,15.7 kn,-,2021-05-26,2021-05-25-00:11
DIAMOND GAS ROSE,9779238,311000770,Bahamas,294,49,144828,94145,"Kawasaki, Japan",2021-05-25-02:14,Destination not available,,-,9.7,,239.4°,13.4 kn,-,2021-05-26,2021-05-25-14:30
GRACE DAHLIA,9540716,432935000,Japan,300,52,141671,86512,"Singapore Anch. 1, Singapore",2021-05-07-11:59,ME FOR ORDERS,,2021-05-27-21:01,9.8,,351.2°,10.5 kn,Under way,2021-05-26,2021-05-26-11:48
ENERGY HORIZON,9483877,432807000,Japan,300,52,141136,87257,"Hitachi, Japan",2021-05-19-05:56,>AUS DAM,,2021-05-28-06:00,9.7,,210.6°,18.0 kn,-,2021-05-26,2021-05-19-15:26
MARVEL HERON,9770440,374022000,Panama,298,49,139050,92659,"Sakai, Japan",2021-04-25-06:56,FOR ORDERS,,2021-06-06-06:00,9.8,,305.8°,15.7 kn,-,2021-05-26,2021-05-17-09:59
MARVEL CRANE,9770438,563073300,Singapore,298,49,139049,92799,"Pena Blanca Anch., Panama",2021-05-08-15:48,"Yokohama, Japan",,2021-05-31-22:30,11.5,,179.9°,16.5 kn,-,2021-05-26,2021-05-09-01:34
AL RUWAIS,9337951,309904000,Bahamas,315,50,137535,121823,"Sabine, United States (USA)",2021-05-25-16:32,HAZIRA FOR ORDERS,,2021-06-21-00:30,11.2,,117.0°,18.3 kn,-,2021-05-26,2021-05-26-12:26
AL SAFLIYA,9337963,308171000,Bahamas,315,50,137535,121963,"Sohar Anch., Oman",2021-05-11-12:26,SOHAR ANCHORAGE,,2021-05-29-16:00,9.6,,159.4°,15.1 kn,-,2021-05-26,2021-05-13-12:49
AL GHARIYA,9337987,308248000,Bahamas,315,50,137535,121730,"Ras Laffan, Qatar",2021-05-17-10:41,"Kisarazu, Japan",,2021-06-04-22:00,12.2,,65.0°,12.2 kn,-,2021-05-26,2021-05-26-10:15
DUHAIL,9337975,309599000,Bahamas,315,50,137535,121639,"Ras Laffan, Qatar",2021-05-20-16:35,"As Suways / Suez Port, Egypt",,2021-05-28-14:23,12.0,,330.1°,14.9 kn,Under way,2021-05-26,2021-05-26-12:52
AL SHEEHANIYA,9360831,538003364,Marshall Islands,315,50,136980,122006,"Ras Laffan, Qatar",2021-05-25-17:10,"As Suways / Suez Port, Egypt",,2021-06-02-14:14,11.1,,161.2°,18.8 kn,Under way,2021-05-26,2021-05-26-12:54
AL BAHIYA,9431147,538003349,Marshall Islands,315,50,136980,121957,"Ras Laffan, Qatar",2021-05-25-19:39,Destination not available,,-,9.3,,173.7°,0.0 kn,Moored,2021-05-26,2021-05-26-02:48
AL KHATTIYA,9431111,538003350,Marshall Islands,315,50,136980,121946,"Ras Laffan Anch., Qatar",2021-05-19-00:26,"Soroosh Term., Iran",,2021-05-19-04:04,9.3,,96.3°,0.0 kn,At anchor,2021-05-26,2021-05-26-12:53
AL NUAMAN,9431135,538003351,Marshall Islands,315,50,136980,121910,"Ningbo Anch., China",2021-05-13-11:14,"ZHEJIANG, CHINA",,2021-05-13-08:08,12.0,,137.4°,0.0 kn,-,2021-05-26,2021-05-17-02:54
AL KARAANA,9431123,538003358,Marshall Islands,315,50,136980,122052,"Ras Laffan, Qatar",2021-05-22-00:44,"Ras Laffan Anch., Qatar",,2021-05-22-01:02,12.3,,205.0°,0.1 kn,At anchor,2021-05-26,2021-05-26-12:52
ONAIZA,9397353,538003363,Marshall Islands,315,50,136980,121939,"Ras Laffan Anch., Qatar",2021-05-21-07:21,"Dahej, India",,2021-05-24-20:18,12.1,,199.4°,0.0 kn,-,2021-05-26,2021-05-24-21:16
AL SADD,9397341,538003361,Marshall Islands,315,50,136980,121913,"Pyeongtaek, Korea",2021-05-18-03:18,"Soroosh Term., Iran",,2021-06-02-03:03,9.3,,309.0°,14.7 kn,-,2021-05-26,2021-05-24-18:54
SEISHU MARU,9666558,311000261,Bahamas,288,49,136740,86414,"Wheatstone LNG Term., Australia",2021-05-14-06:24,"Jintang, China",,2021-05-28-22:00,11.2,,331.9°,11.9 kn,-,2021-05-26,2021-05-26-00:27
ESSHU MARU,9666560,311000285,Bahamas,288,49,136740,86455,"Nagoya, Japan",2021-05-25-01:13,PTMRSBY PNG,,2021-06-08-22:00,10.0,,167.2°,12.3 kn,-,2021-05-26,2021-05-25-14:15
LNG SATURN,9696149,311000439,Bahamas,288,49,136739,86044,"Singapore, Singapore",2021-05-26-03:36,"Singapore, Singapore",,2021-05-26-12:40,9.5,,91.7°,8.9 kn,Under way,2021-05-26,2021-05-26-12:54
LNG JUROJIN,9666998,311000420,Bahamas,288,49,136739,86121,"Gladstone, Australia",2021-05-23-03:23,"Singapore, Singapore",,2021-06-07-01:00,11.3,,68.2°,13.6 kn,-,2021-05-26,2021-05-23-07:23
PACIFIC MIMOSA,9743875,431778000,Japan,288,49,136716,86497,"Kawasaki, Japan",2021-05-16-02:07,OFF TOKYO BAY,,2021-05-31-00:00,9.5,,56.6°,2.0 kn,Under way,2021-05-26,2021-05-26-12:54
LNG MARS,9645748,431177000,Japan,288,49,136710,86161,"Shikama, Japan",2021-05-07-00:41,JP SBK,,2021-06-07-22:00,11.6,,130.7°,19.1 kn,-,2021-05-26,2021-05-25-01:11
FRAIHA,9360817,538003101,Marshall Islands,306,50,136685,121914,"Singapore Anch. 3, Singapore",2021-05-21-06:09,"Ras Laffan, Qatar",,2021-05-30-15:00,9.5,,315.0°,19.1 kn,-,2021-05-26,2021-05-22-01:17
MURWAB,9360805,538003100,Marshall Islands,315,50,136685,121843,"Ras Laffan Anch., Qatar",2021-05-12-07:34,"Yung An, Taiwan",,2021-05-26-02:00,11.3,,205.0°,0.0 kn,Moored,2021-05-26,2021-05-26-12:40
UMM AL AMAD,9360829,538003073,Marshall Islands,315,50,136685,121730,"Incheon, Korea",2021-05-20-07:18,"Singapore, Singapore",,2021-05-27-08:00,9.7,,192.0°,13.8 kn,-,2021-05-26,2021-05-22-19:12
AL AAMRIYA,9338266,538003099,Marshall Islands,315,50,136685,121935,"Ras Laffan, Qatar",2021-05-24-22:05,"As Suways / Suez Port, Egypt",,2021-06-01-20:00,2.6,,120.6°,17.8 kn,-,2021-05-26,2021-05-25-21:07
AL ORAIQ,9360790,538003072,Marshall Islands,315,50,136685,122079,"Swinoujscie, Poland",2021-05-22-13:36,"As Suways / Suez Port, Egypt",,2021-06-02-18:00,9.5,,251.0°,20.8 kn,Under way,2021-05-26,2021-05-26-12:53
AL GHARRAFA,9337717,538002920,Marshall Islands,315,50,136410,106898,"Ras Laffan Anch., Qatar",2021-05-15-01:48,"Mab Tapud, Thailand",,2021-05-28-22:00,12.3,,342.2°,15.6 kn,-,2021-05-26,2021-05-25-22:58
TEMBEK,9337731,538002921,Marshall Islands,315,50,136410,106896,"Malta Bunkering Area 3, Malta",2021-05-24-06:06,"Port Said, Egypt",,2021-05-26-18:18,9.8,,121.3°,16.4 kn,Under way,2021-05-26,2021-05-26-12:54
AL GATTARA,9337705,538002917,Marshall Islands,315,50,136410,106898,"Singapore Anch. 1, Singapore",2021-05-26-03:13,"Melaka, Malaysia",,2021-05-26-02:02,9.7,,327.0°,0.1 kn,At anchor,2021-05-26,2021-05-26-12:54
