Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,"Ras Laffan, Qatar",2021-05-21-16:45,FAR EAST,,2021-06-09-21:21,12.3,,234.2°,0.9 kn,-,2021-06-08,2021-06-07-05:10
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,"Ras Laffan Anch., Qatar",2021-06-01-05:31,FAR EAST,,2021-06-22-22:00,12.0,,127.4°,14.8 kn,-,2021-06-08,2021-06-02-20:40
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"Gibraltar West Anch., Gibraltar",2021-06-04-12:36,"Port Said, Egypt",,2021-06-09-18:18,9.2,,109.7°,15.7 kn,Under way,2021-06-08,2021-06-08-13:28
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,"Ras Laffan Anch., Qatar",2021-06-02-12:47,"Doha, Qatar",,2021-06-02-15:15,9.5,,222.8°,0.5 kn,At anchor,2021-06-08,2021-06-08-13:28
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,"Ras Laffan Anch., Qatar",2021-06-08-10:11,FAR EAST,,2021-07-01-16:16,11.5,,80.0°,16.4 kn,Under way,2021-06-08,2021-06-08-13:27
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,"As Suways (Suez) Anch., Egypt",2021-06-06-04:27,GB MLF>?? ???,,2021-06-15-23:23,12.1,,283.0°,15.4 kn,Under way,2021-06-08,2021-06-08-07:04
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,"Ras Laffan, Qatar",2021-05-23-13:33,"Incheon, Korea",,2021-06-08-03:31,12.0,,84.0°,11.5 kn,Under way,2021-06-08,2021-06-08-03:20
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,"Malta Anch., Malta",2021-06-01-21:48,"Milford Haven, United Kingdom (UK)",,2021-06-08-03:07,12.0,,186.7°,0.0 kn,Moored,2021-06-08,2021-06-08-13:27
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,"Port Said Anch., Egypt",2021-06-08-03:09,"Ras Laffan, Qatar",,2021-06-16-03:03,9.4,,171.0°,9.4 kn,-,2021-06-08,2021-06-08-13:17
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,"Gibraltar West Anch., Gibraltar",2021-06-07-03:19,"Port Said, Egypt",,2021-06-12-18:00,9.5,,83.0°,15.6 kn,Under way,2021-06-08,2021-06-08-13:18
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,"Ras Laffan, Qatar",2021-05-28-04:20,SOUTH KOREA,,2021-06-14-19:30,12.2,,48.0°,18.4 kn,-,2021-06-08,2021-06-07-02:19
