Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,"Ras Laffan, Qatar",2021-05-21-16:45,FAR EAST,,2021-06-09-21:21,12.3,,51.0°,14.1 kn,-,2021-06-01,2021-06-01-06:38
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,"Ras Laffan Anch., Qatar",2021-06-01-05:31,FAR EAST,,2021-05-22-22:22,12.0,,84.4°,15.2 kn,Under way,2021-06-01,2021-06-01-09:55
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"Milford Haven, United Kingdom (UK)",2021-05-31-13:28,"Gibraltar, Gibraltar",,2021-06-03-14:14,9.0,,198.0°,17.4 kn,-,2021-06-01,2021-06-01-09:32
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,"Port Said Anch., Egypt",2021-05-25-04:25,GULF,,2021-06-02-15:00,9.5,,309.2°,17.0 kn,Under way,2021-06-01,2021-06-01-01:22
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,"Ras Laffan Anch., Qatar",2021-05-30-16:01,RAS LAFFAN ANCHORAGE,,2021-06-12-16:54,9.3,,78.8°,0.0 kn,At anchor,2021-06-01,2021-06-01-09:51
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,"Ras Laffan, Qatar",2021-05-28-00:52,SUEZ EGP,,2021-06-05-18:19,12.1,,117.3°,15.4 kn,-,2021-06-01,2021-05-29-02:30
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,"Ras Laffan, Qatar",2021-05-23-13:33,QE RLF?KR$INS,,2021-06-07-23:00,12.2,,63.0°,14.5 kn,-,2021-06-01,2021-06-01-02:37
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,"Malta Anch., Malta",2021-05-31-05:50,"Milford Haven, United Kingdom (UK)",,2021-06-07-23:23,12.0,,334.8°,0.0 kn,At anchor,2021-06-01,2021-06-01-09:45
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,"Zeebrugge, Belgium",2021-05-28-17:06,"Gibraltar, Gibraltar",,2021-06-01-04:04,9.4,,92.8°,1.9 kn,Under way,2021-06-01,2021-06-01-09:41
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,"As Suways (Suez) Anch., Egypt",2021-05-23-05:31,NW EUROPE,,2021-06-01-23:00,12.1,,17.7°,14.8 kn,Under way,2021-06-01,2021-06-01-09:55
