Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,"Ras Laffan, Qatar",2021-05-21-16:45,FAR EAST,,2021-06-09-21:21,12.3,,131.5°,15.0 kn,-,2021-05-30,2021-05-22-17:55
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,"Ras Laffan, Qatar",2021-05-29-18:43,Destination not available,,-,9.1,,18.8°,0.0 kn,Moored,2021-05-30,2021-05-30-02:45
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"Malta Anch., Malta",2021-05-23-15:50,"Milford Haven, United Kingdom (UK)",,2021-05-30-00:09,12.0,,178.9°,0.0 kn,Moored,2021-05-30,2021-05-30-07:26
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,"Port Said Anch., Egypt",2021-05-25-04:25,GULF,,2021-06-02-15:00,9.5,,95.6°,16.3 kn,-,2021-05-30,2021-05-27-23:14
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,"Incheon, Korea",2021-05-14-09:55,"Ras Laffan, Qatar",,2021-05-30-19:00,9.4,,269.4°,14.0 kn,Under way,2021-05-30,2021-05-30-06:33
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,"Ras Laffan, Qatar",2021-05-28-00:52,SUEZ EGP,,2021-06-05-18:19,12.1,,117.3°,15.4 kn,-,2021-05-30,2021-05-29-02:30
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,"Ras Laffan, Qatar",2021-05-23-13:33,S KOREA,,2021-06-07-22:00,12.2,,127.2°,18.4 kn,-,2021-05-30,2021-05-24-16:24
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,"As Suways (Suez) Anch., Egypt",2021-05-28-04:11,"Milford Haven, United Kingdom (UK)",,2021-06-07-23:23,12.0,,284.2°,15.0 kn,Under way,2021-05-30,2021-05-30-03:13
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,"Zeebrugge, Belgium",2021-05-28-17:06,Destination not available,,-,11.7,,209.0°,17.9 kn,-,2021-05-30,2021-05-30-07:15
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,"As Suways (Suez) Anch., Egypt",2021-05-23-05:31,NW EUROPE,,2021-06-01-23:00,12.1,,316.4°,15.7 kn,Under way,2021-05-30,2021-05-30-07:26
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,"Ras Laffan, Qatar",2021-05-28-04:20,SOUTH KOREA,,2021-06-14-21:00,12.2,,140.2°,17.8 kn,-,2021-05-30,2021-05-29-02:10
RASHEEDA,9443413,538003362,Marshall Islands,345,54,163922,130208,"Incheon, Korea",2021-05-23-06:41, GULF,,2021-06-09-12:12,9.5,,320.0°,17.1 kn,-,2021-05-30,2021-05-30-07:18
MEKAINES,9397303,538003365,Marshall Islands,345,54,163922,130171,"Ras Laffan Anch., Qatar",2021-05-28-17:35,"Doha, Qatar",,2021-05-28-17:17,9.4,,5.4°,0.1 kn,At anchor,2021-05-30,2021-05-30-07:26
NOHSHU MARU,9796781,311000579,Bahamas,298,49,149367,97902,"Nagoya, Japan",2021-05-21-01:30,ASHBURTON,,2021-06-01-08:00,9.7,,178.4°,14.5 kn,-,2021-05-30,2021-05-21-05:37
BUSHU MARU,9796793,311000846,Bahamas,298,49,149367,97955,"Panama Canal Anch. Pacific, Panama",2021-05-25-08:31,"Freeport, Bahamas",,2021-06-02-11:00,9.8,,85.0°,15.4 kn,-,2021-05-30,2021-05-30-07:16
PACIFIC BREEZE,9698123,538007670,Marshall Islands,300,52,144978,92830,"Singapore Anch. 1, Singapore",2021-05-29-04:26,NIPA,,2021-05-29-05:00,10.0,,240.2°,0.0 kn,At anchor,2021-05-30,2021-05-30-07:25
DIAMOND GAS SAKURA,9810020,311000771,Bahamas,294,49,144828,87494,"Thamesport, United Kingdom (UK)",2021-05-23-06:22,"Lake Charles, United States (USA)",,2021-06-10-11:00,9.8,,261.0°,15.7 kn,-,2021-05-30,2021-05-25-00:11
DIAMOND GAS ROSE,9779238,311000770,Bahamas,294,49,144828,94145,"Kawasaki, Japan",2021-05-25-02:14,"Kawasaki, Japan",,2021-06-01-22:30,9.7,,90.3°,11.0 kn,-,2021-05-30,2021-05-29-07:55
GRACE DAHLIA,9540716,432935000,Japan,300,52,141671,86512,"Ras Laffan, Qatar",2021-05-29-03:52,ARGENTINA F.O.,,2021-06-22-00:00,10.6,,143.5°,16.4 kn,Under way,2021-05-30,2021-05-30-05:40
ENERGY HORIZON,9483877,432807000,Japan,300,52,141136,87257,"Withnell Bay, Australia",2021-05-29-17:03,"Yokohama, Japan",,2021-06-06-22:30,11.6,,27.3°,14.7 kn,Under way,2021-05-30,2021-05-29-19:33
MARVEL HERON,9770440,374022000,Panama,298,49,139050,92659,"Sakai, Japan",2021-04-25-06:56,FOR ORDERS,,2021-06-06-06:00,9.8,,305.8°,15.7 kn,-,2021-05-30,2021-05-17-09:59
MARVEL CRANE,9770438,563073300,Singapore,298,49,139049,92799,"Pena Blanca Anch., Panama",2021-05-08-15:48,"Yokohama, Japan",,2021-06-01-00:15,11.5,,179.9°,16.5 kn,-,2021-05-30,2021-05-09-01:34
AL RUWAIS,9337951,309904000,Bahamas,315,50,137535,121823,"Sabine, United States (USA)",2021-05-25-16:32,HAZIRA FOR ORDERS,,2021-06-21-00:30,11.2,,111.3°,18.6 kn,-,2021-05-30,2021-05-28-03:35
AL SAFLIYA,9337963,308171000,Bahamas,315,50,137535,121963,"Sohar Anch., Oman",2021-05-30-01:43,RAS LAFFAN ANCHORAGE,,2021-05-30-03:00,9.6,,345.1°,18.2 kn,Under way,2021-05-30,2021-05-30-07:26
AL GHARIYA,9337987,308248000,Bahamas,315,50,137535,121730,"Ras Laffan, Qatar",2021-05-17-10:41,"Kisarazu, Japan",,2021-06-04-22:00,12.2,,71.0°,9.5 kn,-,2021-05-30,2021-05-26-10:09
DUHAIL,9337975,309599000,Bahamas,315,50,137535,121639,"As Suways (Suez) Anch., Egypt",2021-05-29-04:06,"Valletta, Malta",,2021-06-01-05:30,12.0,,286.4°,15.4 kn,Under way,2021-05-30,2021-05-30-07:26
AL SHEEHANIYA,9360831,538003364,Marshall Islands,315,50,136980,122006,"Ras Laffan, Qatar",2021-05-25-17:10,"As Suways / Suez Port, Egypt",,2021-06-02-12:14,11.1,,287.8°,18.2 kn,Under way,2021-05-30,2021-05-30-06:05
AL BAHIYA,9431147,538003349,Marshall Islands,315,50,136980,121957,"Ras Laffan, Qatar",2021-05-27-05:38,"As Suways / Suez Port, Egypt",,2021-06-04-20:20,11.4,,120.5°,16.3 kn,-,2021-05-30,2021-05-28-07:57
AL KHATTIYA,9431111,538003350,Marshall Islands,315,50,136980,121946,"Ras Laffan, Qatar",2021-05-29-04:06,MED SEA,,2021-06-10-21:01,12.3,,119.9°,15.3 kn,Under way,2021-05-30,2021-05-30-07:13
AL NUAMAN,9431135,538003351,Marshall Islands,315,50,136980,121910,"Ningbo Anch., China",2021-05-13-11:14,"ZHEJIANG, CHINA",,2021-05-13-08:08,12.0,,137.4°,0.0 kn,-,2021-05-30,2021-05-17-02:54
AL KARAANA,9431123,538003358,Marshall Islands,315,50,136980,122052,"Ras Laffan, Qatar",2021-05-22-00:44,"Ras Laffan Anch., Qatar",,2021-05-22-01:02,12.3,,206.0°,0.0 kn,At anchor,2021-05-30,2021-05-30-07:24
ONAIZA,9397353,538003363,Marshall Islands,315,50,136980,121939,"Dahej, India",2021-05-26-18:13,"Doha, Qatar",,2021-05-30-09:00,9.2,,254.7°,12.5 kn,Under way,2021-05-30,2021-05-30-07:26
AL SADD,9397341,538003361,Marshall Islands,315,50,136980,121913,"Pyeongtaek, Korea",2021-05-18-03:18,"Soroosh Term., Iran",,2021-06-02-03:03,9.3,,309.0°,14.7 kn,-,2021-05-30,2021-05-24-18:54
SEISHU MARU,9666558,311000261,Bahamas,288,49,136740,86414,"Caofeidian, China",2021-05-29-07:58,JP MUTSURE,,2021-06-02-00:01,9.4,,43.8°,0.0 kn,Moored,2021-05-30,2021-05-30-07:14
ESSHU MARU,9666560,311000285,Bahamas,288,49,136740,86455,"Nagoya, Japan",2021-05-25-01:13,PTMRSBY PNG,,2021-06-07-20:00,10.0,,167.2°,12.3 kn,-,2021-05-30,2021-05-25-14:15
LNG SATURN,9696149,311000439,Bahamas,288,49,136739,86044,"Singapore Anch. 1, Singapore",2021-05-29-05:26,"Darwin, Australia",,2021-06-25-00:00,9.6,,47.1°,10.7 kn,-,2021-05-30,2021-05-29-11:22
LNG JUROJIN,9666998,311000420,Bahamas,288,49,136739,86121,"Gladstone, Australia",2021-05-23-03:23,"Singapore, Singapore",,2021-06-07-01:00,11.3,,68.2°,13.6 kn,-,2021-05-30,2021-05-23-07:23
PACIFIC MIMOSA,9743875,431778000,Japan,288,49,136716,86497,"Kawasaki, Japan",2021-05-16-02:07,OFF TOKYO BAY,,2021-05-31-00:00,9.5,,22.1°,0.2 kn,Under way,2021-05-30,2021-05-30-07:27
LNG MARS,9645748,431177000,Japan,288,49,136710,86161,"Shikama, Japan",2021-05-07-00:41,JP SBK,,2021-06-07-22:00,11.6,,130.7°,19.1 kn,-,2021-05-30,2021-05-25-01:11
FRAIHA,9360817,538003101,Marshall Islands,306,50,136685,121914,"Singapore Anch. 3, Singapore",2021-05-21-06:09,"Ras Laffan, Qatar",,2021-05-30-15:00,9.5,,273.0°,18.3 kn,Under way,2021-05-30,2021-05-30-07:26
MURWAB,9360805,538003100,Marshall Islands,315,50,136685,121843,"Yung An, Taiwan",2021-05-26-23:36,"Singapore, Singapore",,2021-05-31-09:00,9.3,,183.0°,17.7 kn,-,2021-05-30,2021-05-27-05:08
UMM AL AMAD,9360829,538003073,Marshall Islands,315,50,136685,121730,"Singapore Anch. 1, Singapore",2021-05-27-15:30,PGBG,,2021-05-27-08:00,9.4,,286.0°,16.4 kn,-,2021-05-30,2021-05-28-03:49
AL AAMRIYA,9338266,538003099,Marshall Islands,315,50,136685,121935,"Ras Laffan, Qatar",2021-05-24-22:05,"As Suways / Suez Port, Egypt",,2021-06-01-20:00,12.1,,120.6°,17.8 kn,-,2021-05-30,2021-05-25-21:07
AL ORAIQ,9360790,538003072,Marshall Islands,315,50,136685,122079,"Swinoujscie, Poland",2021-05-22-13:36,"As Suways / Suez Port, Egypt",,2021-06-02-18:00,9.5,,88.0°,18.6 kn,Under way,2021-05-30,2021-05-30-07:22
AL GHARRAFA,9337717,538002920,Marshall Islands,315,50,136410,106898,"Mab Tapud, Thailand",2021-05-30-03:46,QT RLF,,2021-06-10-09:09,9.7,,170.8°,16.7 kn,Under way,2021-05-30,2021-05-30-05:04
TEMBEK,9337731,538002921,Marshall Islands,315,50,136410,106896,"Port Said Anch., Egypt",2021-05-27-03:24,"Ras Laffan, Qatar",,2021-06-03-21:21,9.7,,154.7°,19.5 kn,-,2021-05-30,2021-05-29-04:50
AL GATTARA,9337705,538002917,Marshall Islands,315,50,136410,106898,"Singapore Anch. 1, Singapore",2021-05-26-16:54,"Soroosh Term., Iran",,2021-06-05-09:09,9.7,,308.0°,16.0 kn,-,2021-05-30,2021-05-27-09:02
AL HAMLA,9337743,538002922,Marshall Islands,315,50,136410,106983,"Kisarazu, Japan",2021-05-24-05:39,"Singapore, Singapore",,2021-05-31-08:08,9.7,,196.7°,17.7 kn,-,2021-05-30,2021-05-24-10:48
AL UTOURIYA,9360867,538003020,Marshall Islands,315,50,136355,104561,"Ras Laffan Anch., Qatar",2021-05-29-10:13,"Ras Laffan, Qatar",,2021-05-29-11:18,9.5,,15.4°,0.0 kn,Moored,2021-05-30,2021-05-30-02:58
AL SAHLA,9360855,538003019,Marshall Islands,315,50,136355,104666,"Ras Laffan, Qatar",2021-05-24-11:33,"Mab Tapud, Thailand",,2021-06-06-07:00,12.3,,128.7°,18.7 kn,-,2021-05-30,2021-05-25-21:46
AL THUMAMA,9360843,538003018,Marshall Islands,315,50,136355,104701,"Ras Laffan, Qatar",2021-05-18-17:38,QA RLF>CN ZHE,,2021-06-03-22:22,12.1,,46.0°,17.2 kn,-,2021-05-30,2021-05-28-07:40
MESAIMEER,9337729,538003360,Marshall Islands,315,50,136168,107160,"Port Said Anch., Egypt",2021-05-26-03:08,"Soroosh Term., Iran",,2021-06-03-20:00,9.5,,135.3°,11.2 kn,-,2021-05-30,2021-05-28-17:53
AL REKAYYAT,9397339,538003347,Marshall Islands,315,50,136168,107160,"Ras Laffan Anch., Qatar",2021-05-26-14:13,BANGLADESH,,2021-06-09-00:00,10.8,,134.5°,18.7 kn,-,2021-05-30,2021-05-27-12:49
AL KHARAITIYAT,9397327,538003352,Marshall Islands,315,50,136168,107153,"Ras Laffan, Qatar",2021-05-16-20:00,"Kisarazu, Japan",,2021-06-01-22:22,12.4,,55.0°,16.5 kn,-,2021-05-30,2021-05-25-08:31
LNG SAKURA,9774135,311000760,Bahamas,300,49,135977,82137,"Singapore Anch. 1, Singapore",2021-04-29-09:48,"Baltimore, USA, United States (USA)",,2021-06-18-07:01,9.7,,301.1°,16.7 kn,-,2021-05-30,2021-05-18-18:56
SOHSHU MARU,9791212,311000580,Bahamas,300,49,135951,82254,"Panama Canal Anch. Atlantic, Panama",2021-05-13-10:59,"Yeosu, Korea",,2021-06-06-06:00,11.7,,177.6°,18.1 kn,-,2021-05-30,2021-05-14-00:31
SHINSHU MARU,9791200,311000845,Bahamas,300,49,135951,82287,"Freeport, United States (USA)",2021-05-13-16:40,"Dunkerque, France",,2021-05-29-15:05,11.7,,1.0°,0.0 kn,Moored,2021-05-30,2021-05-30-07:06
AL KHUWAIR,9360908,311000140,Bahamas,315,50,135848,109555,"Ras Laffan Anch., Qatar",2021-05-30-05:26,SG PGBG>QA RAS,,2021-05-30-03:00,9.4,,199.5°,0.0 kn,At anchor,2021-05-30,2021-05-30-07:21
AL KHARSAAH,9360881,309333000,Bahamas,315,50,135848,109484,"Ras Laffan Anch., Qatar",2021-05-29-06:10,"Jebel Ali, United Arab Emirates (UAE)",,2021-05-30-04:22,11.6,,152.7°,0.0 kn,Moored,2021-05-30,2021-05-30-06:13
AL HUWAILA,9360879,309255000,Bahamas,315,50,135848,109503,"As Suways (Suez) Anch., Egypt",2021-05-26-04:58,"Gibraltar, Gibraltar",,2021-05-31-04:00,12.1,,248.7°,18.7 kn,Under way,2021-05-30,2021-05-30-07:27
AL SHAMAL,9360893,309781000,Bahamas,315,50,135848,109662,"Milford Haven, United Kingdom (UK)",2021-05-28-03:25,"Gibraltar, Gibraltar",,2021-05-31-04:00,9.4,,169.1°,14.9 kn,Under way,2021-05-30,2021-05-30-07:27
SERI CAMAR,9714305,533130687,Malaysia,290,49,133948,84295,"Kitakyushu, Japan",2021-05-12-04:56,"Pengerang, Malaysia",,2021-06-09-07:00,11.2,,53.0°,0.0 kn,At anchor,2021-05-30,2021-05-30-07:26
SERI CEMARA,9756389,533130753,Malaysia,290,49,133948,84291,"Gaolan, China",2021-05-29-10:01,"Kota Kinabalu, Malaysia",,2021-06-01-00:00,9.5,,173.7°,16.6 kn,-,2021-05-30,2021-05-29-17:54
SERI CAMELLIA,9714276,533130463,Malaysia,290,46,133948,84333,"Dapeng, China",2021-05-13-07:09,"Yung An, Taiwan",,2021-06-01-23:30,10.8,,167.9°,12.4 kn,-,2021-05-30,2021-05-13-11:16
SERI CENDERAWASIH,9714288,533180210,Malaysia,290,46,133948,84303,"Pengerang, Malaysia",2021-05-28-06:34,"Gladstone, Australia",,2021-06-12-14:30,9.7,,10.0°,0.2 kn,-,2021-05-30,2021-05-30-07:24
SERI CEMPAKA,9714290,533130607,Malaysia,290,49,133948,84311,"Gwangyang, Korea",2021-05-17-02:17,"Bintulu, Sarawak, Malaysia",,2021-05-29-23:00,9.3,,218.7°,14.1 kn,-,2021-05-30,2021-05-19-22:11
RUDOLF SAMOYLOVICH,9750713,311000627,Bahamas,299,50,128975,96703,"Bilbao, Spain",2021-05-23-17:09,"Sabetta, Russia",,2021-05-31-17:00,10.6,,46.8°,17.9 kn,-,2021-05-30,2021-05-28-20:35
EDUARD TOLL,9750696,311000548,Bahamas,299,50,128975,96840,"Zeebrugge, Belgium",2021-05-24-05:50,"Sabetta, Russia",,2021-05-31-03:00,11.0,,60.9°,18.2 kn,-,2021-05-30,2021-05-27-20:50
NIKOLAY YEVGENOV,9750725,311000631,Bahamas,299,50,128969,96821,"Sabetta, Russia",2021-05-21-03:06,GB IOG,,2021-05-31-23:30,11.9,,256.9°,0.2 kn,At anchor,2021-05-30,2021-05-30-07:26
YAKOV GAKKEL,9750672,311000634,Bahamas,299,50,128969,96839,"Dunkerque, France",2021-05-24-19:10,"Sabetta, Russia",,2021-05-31-02:00,10.8,,39.1°,18.1 kn,-,2021-05-30,2021-05-28-08:27
GEORGIY USHAKOV,9750749,311000633,Bahamas,299,50,128969,96796,"Rotterdam Maasvlakte, Netherlands",2021-05-21-00:54,"Sabetta, Russia",,2021-05-28-21:00,11.1,,62.8°,18.1 kn,-,2021-05-30,2021-05-25-20:38
VLADIMIR VORONIN,9750737,311000632,Bahamas,299,50,128969,96840,"Murmansk, Russia",2021-05-25-21:57,"Sabetta, Russia",,2021-05-29-15:00,11.3,,113.2°,1.7 kn,-,2021-05-30,2021-05-25-21:11
MARVEL EAGLE,9759240,374375000,Panama,300,49,128917,83571,"Gatun Anch., Panama",2021-04-30-15:03,"Sakaide, Japan",,2021-06-03-23:20,9.5,,221.3°,12.8 kn,Under way,2021-05-30,2021-05-29-22:18
MARVEL PELICAN,9759252,356051000,Panama,300,49,128917,83636,"Panama Canal Anch. Atlantic, Panama",2021-05-20-09:22,"Yung An, Taiwan",,2021-06-12-16:00,11.0,,283.9°,16.8 kn,-,2021-05-30,2021-05-28-06:54
VLADIMIR RUSANOV,9750701,477150100,Hong Kong,299,50,128806,96844,"Thamesport, United Kingdom (UK)",2021-05-19-03:02,"Ferrol, Spain",,2021-06-06-22:01,12.0,,44.6°,19.8 kn,-,2021-05-30,2021-05-22-09:07
CHRISTOPHE DE MARGERIE,9737187,212611000,Cyprus,299,50,128806,96779,"Sabetta, Russia",2021-05-28-00:05,"Rotterdam, Netherlands",,2021-06-03-22:01,12.0,,99.7°,19.4 kn,-,2021-05-30,2021-05-23-05:10
FEDOR LITKE,9768370,212660000,Cyprus,299,50,128806,96839,"Antwerpen Anch., Belgium",2021-05-28-15:21,"Zeebrugge, Belgium",,2021-05-28-15:30,11.8,,-,0.0 kn,At anchor,2021-05-30,2021-05-30-07:24
GEORGIY BRUSILOV,9768382,212770000,Cyprus,299,50,128806,96847,"Zeebrugge, Belgium",2021-05-19-21:42,"Sabetta, Russia",,2021-05-28-23:24,10.7,,60.3°,19.3 kn,-,2021-05-30,2021-05-23-10:13
VLADIMIR VIZE,9750658,477194200,Hong Kong,299,50,128806,96851,"Sabetta, Russia",2021-05-26-15:07,"Zeebrugge, Belgium",,2021-06-02-18:49,12.0,,246.3°,16.8 kn,Under way,2021-05-30,2021-05-30-07:26
BORIS VILKITSKY,9768368,212654000,Cyprus,299,50,128806,96958,"Zeebrugge, Belgium",2021-05-30-06:25,"Sabetta, Russia",,2021-06-07-22:00,10.6,,234.3°,14.0 kn,Under way,2021-05-30,2021-05-30-07:26
LNG FUKUROKUJU,9666986,311000365,Bahamas,293,49,127242,83809,"Bonny, Nigeria",2021-05-28-18:33,"Ferrol, Spain",,2021-06-06-04:00,11.9,,139.7°,14.4 kn,-,2021-05-30,2021-05-20-08:33
CASTILLO DE CALDELAS,9742819,248720000,Malta,297,49,126004,93241,"Sabine, United States (USA)",2021-05-02-09:36,"Jintang, China",,2021-06-09-16:00,12.0,,97.3°,16.5 kn,-,2021-05-30,2021-05-08-00:09
CASTILLO DE MERIDA,9742807,248516000,Malta,287,49,126004,93241,"Sabine, United States (USA)",2021-05-29-12:55,"Revithoussa Desfa LNG Term., Greece",,2021-06-15-03:00,11.3,,136.4°,19.0 kn,Under way,2021-05-30,2021-05-30-04:08
PACIFIC ARCADIA,9621077,311072200,Bahamas,288,49,123005,78311,"Tianjin Xingang, China",2021-05-30-00:47,"Prigorodnoye, Russia",,2021-06-08-20:00,9.6,,98.6°,10.7 kn,Under way,2021-05-30,2021-05-30-07:27
NIKOLAY ZUBOV,9768526,209351000,Cyprus,299,50,122806,96865,"Thamesport, United Kingdom (UK)",2021-05-30-01:02,"Sabetta, Russia",,2021-06-05-20:00,10.4,,29.3°,18.0 kn,Under way,2021-05-30,2021-05-30-07:27
BORIS DAVYDOV,9768394,209356000,Cyprus,299,50,122806,96765,"Sabetta, Russia",2021-05-25-08:53,"Dunkerque, France",,2021-06-01-16:00,11.9,,202.6°,16.2 kn,Under way,2021-05-30,2021-05-30-07:27
CYGNUS PASSAGE,9376294,309739000,Bahamas,288,49,122444,79555,"Yura, Wakayama, Japan",2021-05-10-23:01,Destination not available,,-,7.6,,64.0°,6.3 kn,-,2021-05-30,2021-05-10-22:43
ALTO ACRUX,9343106,308592000,Bahamas,288,49,122361,80229,"Pyeongtaek, Korea",2021-05-14-22:48,"Bintulu, Sarawak, Malaysia",,2021-05-27-22:00,9.5,,240.0°,16.9 kn,-,2021-05-30,2021-05-15-01:02
ADRIANO KNUTSEN,9831220,224983000,Spain,299,48,122261,96354,"Rotterdam Maasvlakte, Netherlands",2021-05-27-22:40,"Corpus Christi, United States (USA)",,2021-06-08-17:00,9.8,,246.0°,17.7 kn,-,2021-05-30,2021-05-29-19:03
TRAIANO KNUTSEN,9854765,257575000,Norway,299,48,122261,95870,"Ingleside, United States (USA)",2021-05-25-16:48,"Rotterdam, Netherlands",,2021-06-07-02:00,11.2,,0.2°,19.9 kn,-,2021-05-30,2021-05-28-11:10
GRAND ANIVA,9338955,212883000,Cyprus,288,49,122239,74044,"Oita, Japan",2021-05-09-23:55,>JP NIH,,2021-06-03-00:01,11.4,,218.9°,13.2 kn,-,2021-05-30,2021-05-06-19:17
PRISM BRILLIANCE,9810551,371086000,Panama,299,48,122166,97494,"Swinoujscie, Poland",2021-05-15-09:13,"Freeport, United States (USA)",,2021-06-05-13:30,9.9,,291.0°,12.3 kn,-,2021-05-30,2021-05-17-21:28
PRISM AGILITY,9810549,372487000,Panama,299,48,122166,97494,"Ciwandan Anch., Indonesia",2021-05-18-03:54,"Galveston, United States (USA)",,2021-06-21-13:00,9.6,,239.1°,16.8 kn,-,2021-05-30,2021-05-18-07:09
ENERGY UNIVERSE,9758844,354114000,Panama,300,49,122142,88700,"Withnell Bay, Australia",2021-05-24-07:22,"Pyeongtaek, Korea",,2021-06-01-15:00,11.6,,30.9°,16.3 kn,-,2021-05-30,2021-05-24-09:34
ENERGY LIBERTY,9736092,431540000,Japan,300,49,121982,88676,"Singapore, Singapore",2021-04-15-02:23,Destination not available,,-,6.0,,0.0°,0.0 kn,-,2021-05-30,2021-05-27-20:25
ENERGY GLORY,9752565,431776000,Japan,300,49,121981,88677,"Yokohama, Japan",2021-05-21-03:43,>JP TSU OFF,,2021-06-09-00:00,9.6,,212.7°,12.7 kn,-,2021-05-30,2021-05-21-09:32
LNG JUPITER,9341689,311019200,Bahamas,290,49,121675,81950,"Tieshan, China",2021-05-23-06:40,"Barrow Island, Australia",,2021-06-05-00:00,9.6,,200.7°,13.2 kn,-,2021-05-30,2021-05-23-11:12
ARCTIC PRINCESS,9271248,257739000,Norway,288,49,121597,84878,"Port Arthur Anch., United States (USA)",2021-05-29-13:47,USNSS,,2021-05-29-13:00,9.5,,243.9°,0.0 kn,At anchor,2021-05-30,2021-05-30-07:20
ARCTIC LADY,9284192,257742000,Norway,288,49,121597,84878,"Montevideo Anch., Uruguay",2021-05-27-13:25,SABINE PASS,,2021-06-12-03:01,9.1,,43.8°,16.0 kn,-,2021-05-30,2021-05-28-12:48
LNG BARKA,9341299,308579000,Bahamas,290,49,121514,82308,"Yokohama, Japan",2021-05-11-23:11,JP YOK XX HNM,,2021-05-12-01:05,6.0,,224.6°,0.0 kn,Moored,2021-05-30,2021-05-29-23:07
ENERGY CONFIDENCE,9405588,432694000,Japan,290,49,121413,75891,"Oita, Japan",2021-05-19-00:00,"Tokyo, Japan",,2021-06-02-05:00,12.2,,320.0°,9.4 kn,-,2021-05-30,2021-05-04-23:44
GASLOG WARSAW,9816763,241662000,Greece,297,47,120859,92996,"Ingleside, United States (USA)",2021-05-29-06:35,"Corpus Christi, United States (USA)",,2021-05-29-00:01,9.1,,294.9°,0.0 kn,Moored,2021-05-30,2021-05-30-07:04
