Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,"Singapore Anch. 1, Singapore",2021-06-19-09:29,"Soroosh Term., Iran",,2021-06-29-13:10,9.3,,314.0°,15.4 kn,-,2021-06-26,2021-06-20-00:00
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,"Yangkou, China",2021-06-24-22:12,"Singapore, Singapore",,2021-06-30-16:16,9.0,,176.2°,15.7 kn,-,2021-06-26,2021-06-25-14:07
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"Ras Laffan Anch., Qatar",2021-06-22-04:59,"Yangkou, China",,2021-07-08-16:01,11.4,,125.9°,16.2 kn,-,2021-06-26,2021-06-23-12:22
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,"Ras Laffan, Qatar",2021-06-14-13:23,FAR EAST,,2021-07-01-21:00,12.1,,47.0°,16.6 kn,-,2021-06-26,2021-06-23-22:40
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,"Ras Laffan Anch., Qatar",2021-06-08-10:11,"Incheon, Korea",,2021-07-01-16:16,11.5,,54.0°,17.4 kn,-,2021-06-26,2021-06-18-04:40
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,"Gibraltar West Anch., Gibraltar",2021-06-22-17:39,"Port Said, Egypt",,2021-06-26-18:18,9.2,,103.2°,15.0 kn,-,2021-06-26,2021-06-25-17:33
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,"Singapore Anch. 1, Singapore",2021-06-17-06:18,"Doha, Qatar",,2021-06-25-21:01,9.3,,228.9°,0.4 kn,At anchor,2021-06-26,2021-06-26-10:30
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,"Port Said Anch., Egypt",2021-06-19-04:07,"Doha, Qatar",,2021-06-27-15:15,9.4,,340.9°,17.3 kn,Under way,2021-06-26,2021-06-26-10:37
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,"Ras Laffan, Qatar",2021-06-17-21:20,DAL CHI,,2021-07-06-03:00,12.1,,124.0°,17.5 kn,-,2021-06-26,2021-06-26-10:24
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,"Ras Laffan, Qatar",2021-06-25-10:04,FAR EAST,,2021-07-11-22:18,12.2,,129.8°,16.2 kn,Under way,2021-06-26,2021-06-26-10:01
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,"Singapore Anch. 1, Singapore",2021-06-24-13:08,"Doha, Qatar",,2021-07-04-19:00,9.5,,314.0°,14.5 kn,-,2021-06-26,2021-06-25-05:15
RASHEEDA,9443413,538003362,Marshall Islands,345,54,163922,130208,"Singapore Anch. 1, Singapore",2021-06-23-16:02,FAR EAST,,2021-07-06-22:00,12.1,,52.0°,18.7 kn,-,2021-06-26,2021-06-23-20:32
MEKAINES,9397303,538003365,Marshall Islands,345,54,163922,130171,"As Suways (Suez) Anch., Egypt",2021-06-17-05:11,"Milford Haven, United Kingdom (UK)",,2021-06-25-23:47,12.0,,174.4°,0.0 kn,Moored,2021-06-26,2021-06-26-10:35
NOHSHU MARU,9796781,311000579,Bahamas,298,49,149367,97902,"Kawasaki, Japan",2021-06-13-02:11,"Yura, Wakayama, Japan",,2021-06-25-01:00,6.7,,64.5°,7.7 kn,-,2021-06-26,2021-06-24-22:35
BUSHU MARU,9796793,311000846,Bahamas,298,49,149367,97955,"Panama Canal Anch. Atlantic, Panama",2021-06-08-10:41,"Nagoya, Japan",,2021-06-26-23:45,11.5,,291.7°,19.8 kn,-,2021-06-26,2021-06-15-09:19
PACIFIC BREEZE,9698123,538007670,Marshall Islands,300,52,144978,92830,"Darwin Anch., Australia",2021-06-23-00:39,Destination not available,,-,10.0,,285.2°,4.5 kn,-,2021-06-26,2021-06-22-23:54
DIAMOND GAS SAKURA,9810020,311000771,Bahamas,294,49,144828,87494,"Lake Charles, United States (USA)",2021-06-11-18:44,"Naoetsu, Japan",,2021-07-07-23:00,11.5,,305.0°,16.7 kn,-,2021-06-26,2021-06-26-02:23
DIAMOND GAS ROSE,9779238,311000770,Bahamas,294,49,144828,94145,"Sasebo, Japan",2021-06-02-20:39,Destination not available,,-,9.7,,270.5°,10.9 kn,-,2021-06-26,2021-05-31-13:41
GRACE DAHLIA,9540716,432935000,Japan,300,52,141671,86512,"Bahia Blanca, Argentina",2021-06-25-16:49,"Bonny, Nigeria",,2021-07-06-23:01,9.9,,132.2°,10.5 kn,-,2021-06-26,2021-06-25-17:37
ENERGY HORIZON,9483877,432807000,Japan,300,52,141136,87257,"Withnell Bay, Australia",2021-06-18-16:48,"Yokohama, Japan",,2021-06-26-22:30,11.6,,25.2°,12.1 kn,-,2021-06-26,2021-06-18-18:42
MARVEL HERON,9770440,374022000,Panama,298,49,139050,92659,"Panama Canal Anch. Atlantic, Panama",2021-06-21-08:49,FOR ORDERS,,2021-07-10-21:00,11.8,,179.8°,19.2 kn,-,2021-06-26,2021-06-22-01:40
MARVEL CRANE,9770438,563073300,Singapore,298,49,139049,92799,"Panama Canal Anch. Pacific, Panama",2021-06-25-07:03,"Cameron, United States (USA)",,2021-06-30-11:00,9.4,,2.8°,15.0 kn,Under way,2021-06-26,2021-06-26-02:06
AL RUWAIS,9337951,309904000,Bahamas,315,50,137535,121823,"Hazira, India",2021-06-22-08:35,"Ras Laffan, Qatar",,2021-06-25-16:19,9.5,,38.4°,0.0 kn,Moored,2021-06-26,2021-06-25-23:33
