Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
ASIA INTEGRITY,9680188,311000227,Bahamas,285,43,101427,82636,AU WNB,WithnellBay,2021-04-08-22:00,9.2,19.20839 S/117.43671 E,29.0°,18.0 kn,-,2021-04-07,2021-03-15-14:46
ASIA VISION,9606948,311000182,Bahamas,285,43,101427,82487,CN ZOS,Zhoushan,2021-04-07-22:00,11.5,28.76019 N/123.71373 E,359.0°,8.0 kn,Under way,2021-04-07,2021-04-06-23:28
ASIA VENTURE,9680190,311000228,Bahamas,285,43,101427,82564,"BARROW ISLAND, AUS","BARROW ISLAND, AUS",2021-04-13-16:00,9.3,33.63758 N/141.43695 E,19.2°,11.9 kn,-,2021-04-07,2021-03-30-01:24
ASIA ENDEAVOUR,9610779,311000185,Bahamas,285,43,101427,82434,KR YOS,Yeosu,2021-04-14-23:00,11.5,18.63733 S/118.681 E,47.0°,18.0 kn,Under way,2021-04-07,2021-04-06-18:58
ASIA ENERGY,9606950,311000183,Bahamas,285,43,101427,82424,KR KAN,Gwangyang,2021-04-10-21:00,11.7,17.75074 S/118.29684 E,28.7°,17.2 kn,-,2021-04-07,2021-04-01-14:29
ASIA EXCELLENCE,9610767,311000184,Bahamas,285,43,101427,82721,TW YAN,YungAn,2021-04-12-23:00,11.5,19.72417 S/114.18498 E,348.0°,19.5 kn,-,2021-04-07,2021-04-06-00:16
POINT FORTIN,9375721,370833000,Panama,290,45,101129,79592,"FREEPORT,USA","FREEPORT,USA",2021-04-08-01:00,9.8,25.23156 N/89.86878 W,286.0°,15.8 kn,-,2021-04-07,2021-04-07-06:14
TRINITY GLORY,9350927,370668000,Panama,290,45,101126,79605,AUDRW,Darwin,2021-04-12-19:30,9.7,36.25532 N/124.66376 E,205.5°,15.2 kn,-,2021-04-07,2021-03-19-14:48
TRINITY ARROW,9319404,353392000,Panama,290,45,101094,79556,EGDAM,Dumyat,2021-04-13-19:00,9.5,24.64448 N/57.90872 E,123.0°,18.0 kn,-,2021-04-07,2021-04-04-13:41
MALANJE,9490959,311038600,Bahamas,285,43,100723,82729,SOYO- ANGOLA,Soyo,2021-04-22-06:00,9.2,3.75063 N/100.02628 E,299.0°,20.1 kn,-,2021-04-07,2021-04-05-14:09
